date,sent,buzz
2020-07-20 00:00:00+00:00,1.7455,3.0
2020-07-21 00:00:00+00:00,2.0867,13.0
2020-07-22 00:00:00+00:00,1.3002,12.0
2020-07-23 00:00:00+00:00,1.5719,4.0
2020-07-24 00:00:00+00:00,1.5055,13.0
2020-07-25 00:00:00+00:00,-0.3815,3.0
2020-07-26 00:00:00+00:00,0.0,0.0
2020-07-27 00:00:00+00:00,-0.848,6.0
2020-07-28 00:00:00+00:00,0.8523,1.0
2020-07-29 00:00:00+00:00,0.5271,6.0
2020-07-30 00:00:00+00:00,1.1476,14.0
2020-07-31 00:00:00+00:00,1.6547,19.0
2020-08-01 00:00:00+00:00,1.3738,10.0
2020-08-02 00:00:00+00:00,2.133,1.0
2020-08-03 00:00:00+00:00,1.6096,5.0
2020-08-04 00:00:00+00:00,0.7962,6.0
2020-08-05 00:00:00+00:00,1.8147,14.0
2020-08-06 00:00:00+00:00,1.7123,11.0
2020-08-07 00:00:00+00:00,2.1766,5.0
2020-08-08 00:00:00+00:00,3.0508,4.0
2020-08-09 00:00:00+00:00,0.0,0.0
2020-08-10 00:00:00+00:00,2.3115,9.0
2020-08-11 00:00:00+00:00,2.9511,14.0
2020-08-12 00:00:00+00:00,0.9022,11.0
2020-08-13 00:00:00+00:00,1.7447,12.0
2020-08-14 00:00:00+00:00,1.6261,14.0
2020-08-15 00:00:00+00:00,1.7932,9.0
2020-08-16 00:00:00+00:00,-1.8676,7.0
2020-08-17 00:00:00+00:00,-1.3624,7.0
2020-08-18 00:00:00+00:00,0.6827,7.0
2020-08-19 00:00:00+00:00,0.952,12.0
2020-08-20 00:00:00+00:00,0.6012,10.0
2020-08-21 00:00:00+00:00,0.627,7.0
2020-08-22 00:00:00+00:00,1.2695,3.0
2020-08-23 00:00:00+00:00,-0.4163,1.0
2020-08-24 00:00:00+00:00,2.7842,10.0
2020-08-25 00:00:00+00:00,1.9684,7.0
2020-08-26 00:00:00+00:00,2.2988,10.0
2020-08-27 00:00:00+00:00,1.6187,5.0
2020-08-28 00:00:00+00:00,2.1074,6.0
2020-08-29 00:00:00+00:00,2.0599,1.0
2020-08-30 00:00:00+00:00,0.0,0.0
2020-08-31 00:00:00+00:00,1.4442,10.0
2020-09-01 00:00:00+00:00,2.7985,11.0
2020-09-02 00:00:00+00:00,1.138,11.0
2020-09-03 00:00:00+00:00,1.9429,20.0
2020-09-04 00:00:00+00:00,1.8423,9.0
2020-09-05 00:00:00+00:00,-0.7257,1.0
2020-09-06 00:00:00+00:00,0.0,0.0
