date,sent,buzz
2020-07-14 00:00:00+00:00,0.8771,38.0
2020-07-15 00:00:00+00:00,1.3563,17.0
2020-07-16 00:00:00+00:00,2.2528,21.0
2020-07-17 00:00:00+00:00,1.3259,26.0
2020-07-18 00:00:00+00:00,2.6468,8.0
2020-07-19 00:00:00+00:00,0.4771,13.0
2020-07-20 00:00:00+00:00,2.826,16.0
2020-07-21 00:00:00+00:00,0.7564,12.0
2020-07-22 00:00:00+00:00,0.8884,31.0
2020-07-23 00:00:00+00:00,-0.3009,62.0
2020-07-24 00:00:00+00:00,-1.5493,245.0
2020-07-25 00:00:00+00:00,-0.9432,53.0
2020-07-26 00:00:00+00:00,0.3784,30.0
2020-07-27 00:00:00+00:00,0.4128,95.0
2020-07-28 00:00:00+00:00,0.7243,121.0
2020-07-29 00:00:00+00:00,0.3485,363.0
2020-07-30 00:00:00+00:00,0.1559,302.0
2020-07-31 00:00:00+00:00,0.8504,20.0
2020-08-01 00:00:00+00:00,2.1379,13.0
2020-08-02 00:00:00+00:00,1.5752,13.0
2020-08-03 00:00:00+00:00,0.7046,23.0
2020-08-04 00:00:00+00:00,1.4036,47.0
2020-08-05 00:00:00+00:00,1.527,41.0
2020-08-06 00:00:00+00:00,0.9288,28.0
2020-08-07 00:00:00+00:00,1.0595,28.0
2020-08-08 00:00:00+00:00,1.2986,7.0
2020-08-09 00:00:00+00:00,1.7992,4.0
2020-08-10 00:00:00+00:00,-0.4254,22.0
2020-08-11 00:00:00+00:00,1.3882,41.0
2020-08-12 00:00:00+00:00,0.4635,30.0
2020-08-13 00:00:00+00:00,1.8283,39.0
2020-08-14 00:00:00+00:00,3.0547,18.0
2020-08-15 00:00:00+00:00,1.1572,26.0
2020-08-16 00:00:00+00:00,1.1118,9.0
2020-08-17 00:00:00+00:00,0.322,39.0
2020-08-18 00:00:00+00:00,2.1049,17.0
2020-08-19 00:00:00+00:00,1.7135,25.0
2020-08-20 00:00:00+00:00,1.184,16.0
2020-08-21 00:00:00+00:00,2.686,9.0
2020-08-22 00:00:00+00:00,1.8215,10.0
2020-08-23 00:00:00+00:00,0.5585,9.0
2020-08-24 00:00:00+00:00,1.4422,41.0
2020-08-25 00:00:00+00:00,1.1109,28.0
2020-08-26 00:00:00+00:00,1.3214,30.0
2020-08-27 00:00:00+00:00,0.8648,17.0
2020-08-28 00:00:00+00:00,0.6414,15.0
2020-08-29 00:00:00+00:00,0.9545,7.0
2020-08-30 00:00:00+00:00,0.6196,6.0
2020-08-31 00:00:00+00:00,0.7245,13.0
2020-09-01 00:00:00+00:00,2.7743,39.0
2020-09-02 00:00:00+00:00,0.9364,43.0
2020-09-03 00:00:00+00:00,-1.3037,221.0
2020-09-04 00:00:00+00:00,-2.0116,115.0
2020-09-05 00:00:00+00:00,-1.3869,12.0
2020-09-06 00:00:00+00:00,-0.1278,6.0
2020-09-07 00:00:00+00:00,2.7489,15.0
2020-09-08 00:00:00+00:00,1.0466,34.0
2020-09-09 00:00:00+00:00,0.187,48.0
2020-09-10 00:00:00+00:00,2.4022,50.0
2020-09-11 00:00:00+00:00,-0.1992,48.0
2020-09-12 00:00:00+00:00,1.8988,15.0
2020-09-13 00:00:00+00:00,0.0173,5.0
2020-09-14 00:00:00+00:00,0.1054,95.0
2020-09-15 00:00:00+00:00,0.8639,35.0
2020-09-16 00:00:00+00:00,0.8845,28.0
2020-09-17 00:00:00+00:00,0.8434,21.0
2020-09-18 00:00:00+00:00,0.815,10.0
2020-09-19 00:00:00+00:00,1.0525,6.0
2020-09-20 00:00:00+00:00,0.8599,10.0
2020-09-21 00:00:00+00:00,1.8505,40.0
2020-09-22 00:00:00+00:00,2.2838,50.0
2020-09-23 00:00:00+00:00,1.1572,24.0
2020-09-24 00:00:00+00:00,2.3467,30.0
2020-09-25 00:00:00+00:00,1.1714,19.0
2020-09-26 00:00:00+00:00,0.8566,8.0
2020-09-27 00:00:00+00:00,0.9999,8.0
2020-09-28 00:00:00+00:00,2.2521,7.0
2020-09-29 00:00:00+00:00,-1.6128,107.0
2020-09-30 00:00:00+00:00,-0.0401,31.0
2020-10-01 00:00:00+00:00,1.9153,11.0
2020-10-02 00:00:00+00:00,2.9463,9.0
2020-10-03 00:00:00+00:00,-0.0294,4.0
2020-10-04 00:00:00+00:00,0.7345,4.0
2020-10-05 00:00:00+00:00,0.5699,12.0
2020-10-06 00:00:00+00:00,0.9326,15.0
2020-10-07 00:00:00+00:00,3.3244,13.0
2020-10-08 00:00:00+00:00,1.8432,20.0
2020-10-09 00:00:00+00:00,0.7971,100.0
2020-10-10 00:00:00+00:00,0.5653,53.0
2020-10-11 00:00:00+00:00,0.3708,8.0
2020-10-12 00:00:00+00:00,0.4394,21.0
2020-10-13 00:00:00+00:00,0.5996,7.0
2020-10-14 00:00:00+00:00,1.4638,5.0
2020-10-15 00:00:00+00:00,0.2002,12.0
2020-10-16 00:00:00+00:00,2.1389,4.0
2020-10-17 00:00:00+00:00,2.5262,4.0
2020-10-18 00:00:00+00:00,1.5581,5.0
2020-10-19 00:00:00+00:00,3.0278,3.0
2020-10-21 00:00:00+00:00,-1.0692,5.0
2020-10-22 00:00:00+00:00,0.9196,4.0
2020-10-23 00:00:00+00:00,-0.7822,7.0
2020-10-24 00:00:00+00:00,1.0767,5.0
2020-10-25 00:00:00+00:00,0.5723,10.0
2020-10-26 00:00:00+00:00,0.4764,20.0
2020-10-27 00:00:00+00:00,0.56,151.0
2020-10-28 00:00:00+00:00,0.1051,36.0
2020-10-29 00:00:00+00:00,1.0049,37.0
2020-10-30 00:00:00+00:00,1.6842,12.0
2020-10-31 00:00:00+00:00,4.5956,1.0
2020-11-01 00:00:00+00:00,2.1739,1.0
2020-11-02 00:00:00+00:00,-1.1182,9.0
2020-11-03 00:00:00+00:00,0.1053,7.0
2020-11-04 00:00:00+00:00,1.0853,11.0
2020-11-05 00:00:00+00:00,0.0895,4.0
2020-11-06 00:00:00+00:00,0.2582,3.0
2020-11-07 00:00:00+00:00,-1.2584,4.0
2020-11-08 00:00:00+00:00,0.2488,1.0
2020-11-09 00:00:00+00:00,1.0552,17.0
2020-11-10 00:00:00+00:00,0.8321,9.0
2020-11-11 00:00:00+00:00,1.5376,9.0
2020-11-12 00:00:00+00:00,2.507,8.0
2020-11-13 00:00:00+00:00,0.0,0.0
2020-11-14 00:00:00+00:00,0.0,0.0
2020-11-15 00:00:00+00:00,0.9294,1.0
2020-11-16 00:00:00+00:00,1.8078,9.0
2020-11-17 00:00:00+00:00,2.4781,4.0
2020-11-18 00:00:00+00:00,1.9584,43.0
2020-11-19 00:00:00+00:00,0.9123,29.0
2020-11-20 00:00:00+00:00,0.7556,27.0
2020-11-21 00:00:00+00:00,1.3344,8.0
2020-11-22 00:00:00+00:00,-1.7592,11.0
2020-11-23 00:00:00+00:00,1.6045,15.0
2020-11-24 00:00:00+00:00,2.3586,25.0
2020-11-25 00:00:00+00:00,0.3972,12.0
2020-11-26 00:00:00+00:00,1.6301,15.0
2020-11-27 00:00:00+00:00,1.0036,12.0
2020-11-28 00:00:00+00:00,0.8947,6.0
2020-11-29 00:00:00+00:00,2.1411,10.0
2020-11-30 00:00:00+00:00,1.815,21.0
2020-12-01 00:00:00+00:00,2.2391,35.0
2020-12-02 00:00:00+00:00,0.2752,18.0
2020-12-03 00:00:00+00:00,2.2849,35.0
2020-12-04 00:00:00+00:00,1.8452,22.0
2020-12-05 00:00:00+00:00,-0.3199,12.0
2020-12-06 00:00:00+00:00,0.9756,9.0
2020-12-07 00:00:00+00:00,0.9362,34.0
2020-12-08 00:00:00+00:00,1.2942,30.0
2020-12-09 00:00:00+00:00,1.7858,28.0
2020-12-10 00:00:00+00:00,1.1929,20.0
2020-12-11 00:00:00+00:00,0.1001,13.0
2020-12-12 00:00:00+00:00,0.6805,13.0
2020-12-13 00:00:00+00:00,1.1072,11.0
2020-12-14 00:00:00+00:00,1.0742,16.0
2020-12-15 00:00:00+00:00,2.0531,31.0
2020-12-16 00:00:00+00:00,0.5004,21.0
2020-12-17 00:00:00+00:00,1.6725,22.0
2020-12-18 00:00:00+00:00,0.5952,15.0
2020-12-19 00:00:00+00:00,-0.1147,34.0
2020-12-20 00:00:00+00:00,-0.9196,10.0
2020-12-21 00:00:00+00:00,-0.0397,50.0
2020-12-22 00:00:00+00:00,-0.1075,20.0
2020-12-23 00:00:00+00:00,1.6489,7.0
2020-12-24 00:00:00+00:00,-0.039,12.0
2020-12-25 00:00:00+00:00,1.709,5.0
2020-12-26 00:00:00+00:00,0.5183,4.0
2020-12-27 00:00:00+00:00,0.9941,8.0
