date,sent,buzz
2020-07-13 00:00:00+00:00,0.7635,190.0
2020-07-14 00:00:00+00:00,-0.7392,150.0
2020-07-15 00:00:00+00:00,0.1579,158.0
2020-07-16 00:00:00+00:00,-0.285,82.0
2020-07-17 00:00:00+00:00,-2.4065,39.0
2020-07-18 00:00:00+00:00,-2.1896,32.0
2020-07-19 00:00:00+00:00,2.3503,2.0
2020-07-20 00:00:00+00:00,-0.5027,57.0
2020-07-21 00:00:00+00:00,-0.4938,78.0
2020-07-22 00:00:00+00:00,-0.74,67.0
2020-07-23 00:00:00+00:00,-1.1923,77.0
2020-07-24 00:00:00+00:00,-1.2242,96.0
2020-07-25 00:00:00+00:00,-0.4355,16.0
2020-07-26 00:00:00+00:00,-0.2608,6.0
2020-07-27 00:00:00+00:00,-0.47,289.0
2020-07-28 00:00:00+00:00,-1.3798,290.0
2020-07-29 00:00:00+00:00,-2.0663,549.0
2020-07-30 00:00:00+00:00,-1.7957,308.0
2020-07-31 00:00:00+00:00,-0.8834,342.0
2020-08-01 00:00:00+00:00,-0.6158,60.0
2020-08-02 00:00:00+00:00,-0.5255,11.0
2020-08-03 00:00:00+00:00,-0.4834,179.0
2020-08-04 00:00:00+00:00,-0.6889,126.0
2020-08-05 00:00:00+00:00,-1.6326,98.0
2020-08-06 00:00:00+00:00,-0.31,76.0
2020-08-07 00:00:00+00:00,-0.5242,71.0
2020-08-08 00:00:00+00:00,-0.5178,27.0
2020-08-09 00:00:00+00:00,-2.0125,39.0
2020-08-10 00:00:00+00:00,-1.2468,71.0
2020-08-11 00:00:00+00:00,-1.3241,84.0
2020-08-12 00:00:00+00:00,-1.0958,114.0
2020-08-13 00:00:00+00:00,-1.0669,158.0
2020-08-14 00:00:00+00:00,-0.7061,184.0
2020-08-15 00:00:00+00:00,-0.5965,82.0
2020-08-16 00:00:00+00:00,-0.4442,14.0
2020-08-17 00:00:00+00:00,-0.9715,115.0
2020-08-18 00:00:00+00:00,-0.5886,82.0
2020-08-19 00:00:00+00:00,0.2686,42.0
2020-08-20 00:00:00+00:00,0.377,53.0
2020-08-21 00:00:00+00:00,-0.5819,51.0
2020-08-22 00:00:00+00:00,-0.6676,9.0
2020-08-23 00:00:00+00:00,0.1245,4.0
2020-08-24 00:00:00+00:00,0.492,41.0
2020-08-25 00:00:00+00:00,0.1791,103.0
2020-08-26 00:00:00+00:00,0.1133,74.0
2020-08-27 00:00:00+00:00,-0.8482,90.0
2020-08-28 00:00:00+00:00,-1.496,80.0
2020-08-29 00:00:00+00:00,-1.2907,50.0
2020-08-30 00:00:00+00:00,-1.9197,6.0
2020-08-31 00:00:00+00:00,-0.3679,80.0
2020-09-01 00:00:00+00:00,-0.3106,150.0
2020-09-02 00:00:00+00:00,-1.1895,89.0
2020-09-03 00:00:00+00:00,-1.7249,109.0
2020-09-04 00:00:00+00:00,-0.7221,131.0
2020-09-05 00:00:00+00:00,-0.4773,37.0
2020-09-06 00:00:00+00:00,-1.4332,13.0
2020-09-07 00:00:00+00:00,0.043,29.0
2020-09-08 00:00:00+00:00,-1.2814,128.0
2020-09-09 00:00:00+00:00,-0.9737,87.0
2020-09-10 00:00:00+00:00,-0.7092,97.0
2020-09-11 00:00:00+00:00,-0.9776,62.0
2020-09-12 00:00:00+00:00,-0.5794,24.0
2020-09-13 00:00:00+00:00,-3.4871,47.0
2020-09-14 00:00:00+00:00,0.0896,231.0
2020-09-15 00:00:00+00:00,-0.2524,109.0
2020-09-16 00:00:00+00:00,-0.8504,142.0
2020-09-17 00:00:00+00:00,-0.7771,117.0
2020-09-18 00:00:00+00:00,-1.6603,245.0
2020-09-19 00:00:00+00:00,-1.3384,68.0
2020-09-20 00:00:00+00:00,-0.9887,180.0
2020-09-21 00:00:00+00:00,-1.4471,88.0
2020-09-22 00:00:00+00:00,-1.6421,174.0
2020-09-23 00:00:00+00:00,-1.0142,237.0
2020-09-24 00:00:00+00:00,-0.6868,164.0
2020-09-25 00:00:00+00:00,-3.36,225.0
2020-09-26 00:00:00+00:00,-4.149,31.0
2020-09-27 00:00:00+00:00,-4.0533,59.0
2020-09-28 00:00:00+00:00,-1.6944,107.0
2020-09-29 00:00:00+00:00,-0.3223,65.0
2020-09-30 00:00:00+00:00,-1.507,111.0
2020-10-01 00:00:00+00:00,-0.2612,77.0
2020-10-02 00:00:00+00:00,-0.8209,104.0
2020-10-03 00:00:00+00:00,-2.5856,45.0
2020-10-04 00:00:00+00:00,-2.9368,57.0
2020-10-05 00:00:00+00:00,-2.1448,65.0
2020-10-06 00:00:00+00:00,-0.61,161.0
2020-10-07 00:00:00+00:00,-1.2398,166.0
2020-10-08 00:00:00+00:00,-0.2782,101.0
2020-10-09 00:00:00+00:00,0.5135,31.0
2020-10-10 00:00:00+00:00,-0.6922,24.0
2020-10-11 00:00:00+00:00,0.4131,10.0
2020-10-12 00:00:00+00:00,0.7876,80.0
2020-10-13 00:00:00+00:00,-0.1828,80.0
2020-10-14 00:00:00+00:00,-1.9519,62.0
2020-10-15 00:00:00+00:00,-3.7703,31.0
2020-10-16 00:00:00+00:00,-1.3791,30.0
2020-10-17 00:00:00+00:00,-1.1332,16.0
2020-10-18 00:00:00+00:00,-2.0951,11.0
2020-10-19 00:00:00+00:00,-1.0671,3.0
2020-10-21 00:00:00+00:00,-1.56,197.0
2020-10-22 00:00:00+00:00,-1.4459,24.0
2020-10-23 00:00:00+00:00,-2.0529,24.0
2020-10-24 00:00:00+00:00,-3.0744,13.0
2020-10-25 00:00:00+00:00,-2.1167,16.0
2020-10-26 00:00:00+00:00,-1.3178,43.0
2020-10-27 00:00:00+00:00,-0.5314,56.0
2020-10-28 00:00:00+00:00,-0.7871,83.0
2020-10-29 00:00:00+00:00,-1.5301,52.0
2020-10-30 00:00:00+00:00,-1.2368,31.0
2020-10-31 00:00:00+00:00,-1.4421,11.0
2020-11-01 00:00:00+00:00,-1.2131,7.0
2020-11-02 00:00:00+00:00,0.1153,30.0
2020-11-03 00:00:00+00:00,-0.4473,44.0
2020-11-04 00:00:00+00:00,-1.9942,36.0
2020-11-05 00:00:00+00:00,-2.5613,18.0
2020-11-06 00:00:00+00:00,-0.9123,37.0
2020-11-07 00:00:00+00:00,-3.4567,2.0
2020-11-08 00:00:00+00:00,-0.8134,6.0
2020-11-09 00:00:00+00:00,-0.749,43.0
2020-11-10 00:00:00+00:00,-0.596,22.0
2020-11-11 00:00:00+00:00,0.1111,39.0
2020-11-12 00:00:00+00:00,-2.9315,38.0
2020-11-13 00:00:00+00:00,-2.2119,9.0
2020-11-14 00:00:00+00:00,-1.0884,4.0
2020-11-15 00:00:00+00:00,-0.6734,1.0
2020-11-16 00:00:00+00:00,-0.1887,20.0
2020-11-17 00:00:00+00:00,-0.0736,9.0
2020-11-18 00:00:00+00:00,-0.9046,139.0
2020-11-19 00:00:00+00:00,-1.2499,151.0
2020-11-20 00:00:00+00:00,-1.4621,97.0
2020-11-21 00:00:00+00:00,-0.0681,27.0
2020-11-22 00:00:00+00:00,-0.4605,7.0
2020-11-23 00:00:00+00:00,-0.2969,49.0
2020-11-24 00:00:00+00:00,-0.7327,61.0
2020-11-25 00:00:00+00:00,-0.8021,71.0
2020-11-26 00:00:00+00:00,-1.4484,43.0
2020-11-27 00:00:00+00:00,0.7922,19.0
2020-11-28 00:00:00+00:00,-0.0143,28.0
2020-11-29 00:00:00+00:00,-0.5895,20.0
2020-11-30 00:00:00+00:00,-0.8242,30.0
2020-12-01 00:00:00+00:00,-0.0016,72.0
2020-12-02 00:00:00+00:00,-0.6743,106.0
2020-12-03 00:00:00+00:00,-3.6631,290.0
2020-12-04 00:00:00+00:00,-2.7335,88.0
2020-12-05 00:00:00+00:00,-1.2265,11.0
2020-12-06 00:00:00+00:00,-2.588,26.0
2020-12-07 00:00:00+00:00,-1.9783,103.0
2020-12-08 00:00:00+00:00,-2.321,103.0
2020-12-09 00:00:00+00:00,-2.0645,165.0
2020-12-10 00:00:00+00:00,-2.464,135.0
2020-12-11 00:00:00+00:00,-1.4927,98.0
2020-12-12 00:00:00+00:00,-1.48,69.0
2020-12-13 00:00:00+00:00,-4.2322,34.0
2020-12-14 00:00:00+00:00,-1.8397,170.0
2020-12-15 00:00:00+00:00,-0.498,160.0
2020-12-16 00:00:00+00:00,-2.3164,228.0
2020-12-17 00:00:00+00:00,-1.9145,632.0
2020-12-18 00:00:00+00:00,-1.1091,420.0
2020-12-19 00:00:00+00:00,-0.893,108.0
2020-12-20 00:00:00+00:00,-0.9011,20.0
2020-12-21 00:00:00+00:00,-0.0054,145.0
2020-12-22 00:00:00+00:00,-0.2543,226.0
2020-12-23 00:00:00+00:00,-1.222,106.0
2020-12-24 00:00:00+00:00,-0.7776,54.0
2020-12-25 00:00:00+00:00,-2.0605,8.0
2020-12-26 00:00:00+00:00,-0.1444,10.0
2020-12-27 00:00:00+00:00,-0.437,5.0
2020-12-28 00:00:00+00:00,-0.5314,29.0
2020-12-29 00:00:00+00:00,-0.4514,45.0
2020-12-30 00:00:00+00:00,-0.197,44.0
2020-12-31 00:00:00+00:00,-0.2288,77.0
2021-01-01 00:00:00+00:00,-1.0147,15.0
2021-01-02 00:00:00+00:00,-2.0676,9.0
2021-01-03 00:00:00+00:00,-0.2066,9.0
2021-01-04 00:00:00+00:00,-1.3432,73.0
2021-01-05 00:00:00+00:00,-0.7175,96.0
2021-01-06 00:00:00+00:00,-1.3576,214.0
2021-01-07 00:00:00+00:00,-2.2507,158.0
2021-01-08 00:00:00+00:00,-1.0808,149.0
2021-01-09 00:00:00+00:00,-3.464,132.0
2021-01-10 00:00:00+00:00,-2.5341,110.0
2021-01-11 00:00:00+00:00,-2.0094,100.0
2021-01-12 00:00:00+00:00,-2.1713,128.0
2021-01-13 00:00:00+00:00,-2.6882,220.0
2021-01-14 00:00:00+00:00,-0.4706,191.0
2021-01-15 00:00:00+00:00,-1.1146,107.0
2021-01-16 00:00:00+00:00,-2.0595,44.0
2021-01-17 00:00:00+00:00,-2.0725,34.0
2021-01-18 00:00:00+00:00,-1.5693,46.0
2021-01-19 00:00:00+00:00,-1.2397,81.0
2021-01-20 00:00:00+00:00,-1.9404,199.0
2021-01-21 00:00:00+00:00,-0.7825,108.0
2021-01-22 00:00:00+00:00,-2.1876,251.0
2021-01-23 00:00:00+00:00,-1.158,40.0
2021-01-24 00:00:00+00:00,-1.4171,28.0
2021-01-25 00:00:00+00:00,-0.5864,115.0
2021-01-26 00:00:00+00:00,-1.3727,148.0
2021-01-27 00:00:00+00:00,-2.4329,139.0
2021-01-28 00:00:00+00:00,-1.1846,86.0
2021-01-29 00:00:00+00:00,-0.4929,67.0
2021-01-30 00:00:00+00:00,-0.5763,8.0
2021-01-31 00:00:00+00:00,-1.118,8.0
2021-02-01 00:00:00+00:00,0.6045,108.0
2021-02-02 00:00:00+00:00,-1.87,270.0
2021-02-03 00:00:00+00:00,0.3773,292.0
2021-02-04 00:00:00+00:00,-0.3756,206.0
2021-02-05 00:00:00+00:00,-0.6138,103.0
2021-02-06 00:00:00+00:00,-0.3117,40.0
2021-02-07 00:00:00+00:00,0.3587,13.0
2021-02-08 00:00:00+00:00,1.1951,28.0
2021-02-09 00:00:00+00:00,1.3795,38.0
2021-02-10 00:00:00+00:00,-0.8048,49.0
2021-02-11 00:00:00+00:00,0.1708,23.0
2021-02-12 00:00:00+00:00,0.0119,89.0
2021-02-13 00:00:00+00:00,-0.3958,59.0
2021-02-14 00:00:00+00:00,0.146,15.0
2021-02-15 00:00:00+00:00,1.7608,169.0
2021-02-16 00:00:00+00:00,-0.146,118.0
2021-02-17 00:00:00+00:00,-0.2606,359.0
2021-02-18 00:00:00+00:00,-1.77,619.0
2021-02-19 00:00:00+00:00,-2.063,260.0
2021-02-20 00:00:00+00:00,-1.5417,144.0
2021-02-21 00:00:00+00:00,-1.1022,37.0
2021-02-22 00:00:00+00:00,-0.9691,121.0
2021-02-23 00:00:00+00:00,-0.7328,165.0
2021-02-24 00:00:00+00:00,-1.0251,110.0
2021-02-25 00:00:00+00:00,-1.7226,177.0
2021-02-26 00:00:00+00:00,-0.7665,126.0
2021-02-27 00:00:00+00:00,-1.4977,25.0
2021-02-28 00:00:00+00:00,-1.6106,5.0
2021-03-01 00:00:00+00:00,-1.6533,41.0
2021-03-02 00:00:00+00:00,0.2513,37.0
2021-03-03 00:00:00+00:00,0.2355,86.0
2021-03-04 00:00:00+00:00,-1.2909,69.0
2021-03-05 00:00:00+00:00,-3.4608,79.0
2021-03-06 00:00:00+00:00,-2.6628,51.0
2021-03-07 00:00:00+00:00,-2.1593,9.0
2021-03-08 00:00:00+00:00,-0.7491,42.0
2021-03-09 00:00:00+00:00,-0.4624,42.0
2021-03-10 00:00:00+00:00,-0.9111,72.0
2021-03-11 00:00:00+00:00,-0.3198,31.0
2021-03-12 00:00:00+00:00,0.1327,63.0
2021-03-13 00:00:00+00:00,-0.154,20.0
2021-03-14 00:00:00+00:00,-1.1035,13.0
2021-03-15 00:00:00+00:00,1.0075,127.0
2021-03-16 00:00:00+00:00,-0.9287,116.0
2021-03-17 00:00:00+00:00,-1.1913,40.0
2021-03-18 00:00:00+00:00,-0.9786,114.0
2021-03-19 00:00:00+00:00,-0.003,34.0
2021-03-20 00:00:00+00:00,-4.9616,121.0
2021-03-21 00:00:00+00:00,-0.1872,11.0
2021-03-22 00:00:00+00:00,0.2596,47.0
2021-03-23 00:00:00+00:00,-0.1613,43.0
2021-03-24 00:00:00+00:00,-0.5888,88.0
2021-03-25 00:00:00+00:00,-2.5224,90.0
2021-03-26 00:00:00+00:00,-1.3754,76.0
2021-03-27 00:00:00+00:00,-0.5225,25.0
2021-03-28 00:00:00+00:00,-2.8896,5.0
2021-03-29 00:00:00+00:00,-0.2754,27.0
2021-03-30 00:00:00+00:00,-0.1502,107.0
2021-03-31 00:00:00+00:00,0.2601,89.0
2021-04-01 00:00:00+00:00,0.7538,74.0
2021-04-02 00:00:00+00:00,0.0439,26.0
2021-04-03 00:00:00+00:00,0.7914,12.0
2021-04-04 00:00:00+00:00,0.2211,4.0
2021-04-05 00:00:00+00:00,0.5373,110.0
2021-04-06 00:00:00+00:00,-1.1576,75.0
2021-04-07 00:00:00+00:00,-0.4619,66.0
2021-04-08 00:00:00+00:00,-2.5351,69.0
2021-04-09 00:00:00+00:00,-0.1562,25.0
2021-04-10 00:00:00+00:00,-1.5231,109.0
2021-04-11 00:00:00+00:00,-1.2083,18.0
2021-04-12 00:00:00+00:00,-0.0926,83.0
2021-04-13 00:00:00+00:00,0.1323,74.0
2021-04-14 00:00:00+00:00,0.7282,63.0
2021-04-15 00:00:00+00:00,-0.0367,84.0
2021-04-16 00:00:00+00:00,-0.2326,45.0
2021-04-17 00:00:00+00:00,1.065,25.0
2021-04-18 00:00:00+00:00,0.2554,24.0
2021-04-19 00:00:00+00:00,-1.3451,36.0
2021-04-20 00:00:00+00:00,-0.2626,32.0
2021-04-21 00:00:00+00:00,-0.5595,57.0
2021-04-22 00:00:00+00:00,-0.4773,55.0
2021-04-23 00:00:00+00:00,-0.1758,50.0
2021-04-24 00:00:00+00:00,-0.7884,13.0
2021-04-25 00:00:00+00:00,-0.569,24.0
2021-04-26 00:00:00+00:00,0.0464,55.0
2021-04-27 00:00:00+00:00,-0.0198,166.0
2021-04-28 00:00:00+00:00,0.3427,170.0
2021-04-29 00:00:00+00:00,0.4691,96.0
2021-04-30 00:00:00+00:00,-0.1261,103.0
2021-05-01 00:00:00+00:00,0.52,22.0
2021-05-02 00:00:00+00:00,1.443,13.0
2021-05-03 00:00:00+00:00,1.3698,77.0
2021-05-04 00:00:00+00:00,-1.836,88.0
2021-05-05 00:00:00+00:00,-0.5523,109.0
2021-05-06 00:00:00+00:00,-0.9419,61.0
2021-05-07 00:00:00+00:00,0.1635,28.0
2021-05-08 00:00:00+00:00,-0.8331,5.0
2021-05-09 00:00:00+00:00,1.3338,44.0
2021-05-10 00:00:00+00:00,0.257,51.0
2021-05-11 00:00:00+00:00,-1.0586,72.0
2021-05-12 00:00:00+00:00,-0.7201,75.0
2021-05-13 00:00:00+00:00,-0.107,53.0
2021-05-14 00:00:00+00:00,-2.0351,74.0
2021-05-15 00:00:00+00:00,1.7361,59.0
2021-05-16 00:00:00+00:00,-0.829,22.0
2021-05-17 00:00:00+00:00,-1.9807,36.0
2021-05-18 00:00:00+00:00,-0.4902,86.0
2021-05-19 00:00:00+00:00,-0.1847,41.0
2021-05-20 00:00:00+00:00,-0.6727,164.0
2021-05-21 00:00:00+00:00,-1.2772,169.0
2021-05-22 00:00:00+00:00,-0.3936,26.0
2021-05-23 00:00:00+00:00,-0.2723,15.0
2021-05-24 00:00:00+00:00,0.1199,40.0
2021-05-25 00:00:00+00:00,-0.6273,57.0
2021-05-26 00:00:00+00:00,-1.324,120.0
2021-05-27 00:00:00+00:00,-0.648,75.0
2021-05-28 00:00:00+00:00,-0.7959,35.0
2021-05-29 00:00:00+00:00,-0.6854,11.0
2021-05-30 00:00:00+00:00,-0.799,3.0
2021-05-31 00:00:00+00:00,-0.5318,14.0
2021-06-01 00:00:00+00:00,-0.2651,49.0
2021-06-02 00:00:00+00:00,-0.0116,93.0
2021-06-03 00:00:00+00:00,0.3503,58.0
2021-06-04 00:00:00+00:00,0.697,45.0
2021-06-05 00:00:00+00:00,0.2312,26.0
2021-06-06 00:00:00+00:00,1.2589,13.0
2021-06-07 00:00:00+00:00,-0.8867,148.0
2021-06-08 00:00:00+00:00,-1.3239,82.0
2021-06-09 00:00:00+00:00,-0.5418,47.0
2021-06-10 00:00:00+00:00,0.4742,64.0
2021-06-11 00:00:00+00:00,-0.5766,55.0
2021-06-12 00:00:00+00:00,0.1255,12.0
2021-06-13 00:00:00+00:00,-0.1628,13.0
2021-06-14 00:00:00+00:00,1.3238,65.0
2021-06-15 00:00:00+00:00,-0.7025,99.0
2021-06-16 00:00:00+00:00,-0.5164,115.0
2021-06-17 00:00:00+00:00,-1.1161,40.0
2021-06-18 00:00:00+00:00,0.1761,45.0
2021-06-19 00:00:00+00:00,-1.1547,20.0
2021-06-20 00:00:00+00:00,0.9393,10.0
2021-06-21 00:00:00+00:00,0.0192,51.0
2021-06-22 00:00:00+00:00,-0.7636,85.0
