date,sent,buzz
2020-07-16 00:00:00+00:00,-1.3307,111.0
2020-07-17 00:00:00+00:00,-1.8133,160.0
2020-07-18 00:00:00+00:00,-2.7122,36.0
2020-07-19 00:00:00+00:00,-0.506,13.0
2020-07-20 00:00:00+00:00,-0.6802,144.0
2020-07-21 00:00:00+00:00,0.1308,214.0
2020-07-22 00:00:00+00:00,0.0052,72.0
2020-07-23 00:00:00+00:00,-0.3703,157.0
2020-07-24 00:00:00+00:00,-0.3277,144.0
2020-07-25 00:00:00+00:00,-0.3219,24.0
2020-07-26 00:00:00+00:00,-1.4137,7.0
2020-07-27 00:00:00+00:00,-0.3121,127.0
2020-07-28 00:00:00+00:00,-0.3589,190.0
2020-07-29 00:00:00+00:00,-0.7016,282.0
2020-07-30 00:00:00+00:00,-1.1253,346.0
2020-07-31 00:00:00+00:00,-0.7187,378.0
2020-08-01 00:00:00+00:00,-1.0104,40.0
2020-08-02 00:00:00+00:00,0.0446,14.0
2020-08-03 00:00:00+00:00,-0.4971,78.0
2020-08-04 00:00:00+00:00,-0.9988,112.0
2020-08-05 00:00:00+00:00,0.0101,104.0
2020-08-06 00:00:00+00:00,0.2893,112.0
2020-08-07 00:00:00+00:00,0.0525,83.0
2020-08-08 00:00:00+00:00,-0.3305,27.0
2020-08-09 00:00:00+00:00,-1.4874,62.0
2020-08-10 00:00:00+00:00,-1.3259,151.0
2020-08-11 00:00:00+00:00,-0.4459,145.0
2020-08-12 00:00:00+00:00,-0.3204,101.0
2020-08-13 00:00:00+00:00,0.4678,80.0
2020-08-14 00:00:00+00:00,-0.9698,111.0
2020-08-15 00:00:00+00:00,-1.1742,42.0
2020-08-16 00:00:00+00:00,-0.6948,13.0
2020-08-17 00:00:00+00:00,0.0275,111.0
2020-08-18 00:00:00+00:00,-0.0776,209.0
2020-08-19 00:00:00+00:00,-0.2977,111.0
2020-08-20 00:00:00+00:00,-0.4141,112.0
2020-08-21 00:00:00+00:00,-0.3858,120.0
2020-08-22 00:00:00+00:00,-0.7648,19.0
2020-08-23 00:00:00+00:00,-0.4302,5.0
2020-08-24 00:00:00+00:00,0.3818,46.0
2020-08-25 00:00:00+00:00,0.0456,92.0
2020-08-26 00:00:00+00:00,-0.0108,68.0
2020-08-27 00:00:00+00:00,-0.0902,155.0
2020-08-28 00:00:00+00:00,0.2666,193.0
2020-08-29 00:00:00+00:00,-0.8423,57.0
2020-08-30 00:00:00+00:00,-0.0672,25.0
2020-08-31 00:00:00+00:00,0.1967,104.0
2020-09-01 00:00:00+00:00,0.5169,178.0
2020-09-02 00:00:00+00:00,-1.194,123.0
