date,sent,buzz
2023-09-14 00:00:00+00:00,0.2704,184.0
2023-09-15 00:00:00+00:00,0.234,151.0
2023-09-16 00:00:00+00:00,-0.4239,20.0
2023-09-17 00:00:00+00:00,-0.3723,10.0
2023-09-18 00:00:00+00:00,-0.7939,58.0
2023-09-19 00:00:00+00:00,-0.3494,76.0
2023-09-20 00:00:00+00:00,-0.7307,92.0
2023-09-21 00:00:00+00:00,-1.2719,70.0
2023-09-22 00:00:00+00:00,-1.3137,28.0
2023-09-23 00:00:00+00:00,-0.9994,7.0
2023-09-24 00:00:00+00:00,-0.3335,3.0
2023-09-25 00:00:00+00:00,0.5702,13.0
2023-09-26 00:00:00+00:00,0.7439,18.0
2023-09-27 00:00:00+00:00,0.6548,13.0
2023-09-28 00:00:00+00:00,-0.4608,11.0
2023-09-29 00:00:00+00:00,0.2717,5.0
2023-09-30 00:00:00+00:00,0.8457,1.0
2023-10-01 00:00:00+00:00,0.0,0.0
2023-10-02 00:00:00+00:00,1.6139,3.0
2023-10-03 00:00:00+00:00,0.0195,5.0
2023-10-04 00:00:00+00:00,1.3374,8.0
2023-10-05 00:00:00+00:00,1.5009,8.0
2023-10-06 00:00:00+00:00,-0.6848,7.0
2023-10-07 00:00:00+00:00,0.6346,4.0
2023-10-08 00:00:00+00:00,0.0072,4.0
2023-10-09 00:00:00+00:00,-0.6091,10.0
2023-10-10 00:00:00+00:00,-0.6468,12.0
2023-10-11 00:00:00+00:00,0.5091,57.0
2023-10-12 00:00:00+00:00,-0.8476,20.0
2023-10-13 00:00:00+00:00,-0.539,7.0
2023-10-14 00:00:00+00:00,1.4644,1.0
2023-10-15 00:00:00+00:00,0.0,1.0
2023-10-16 00:00:00+00:00,0.1017,4.0
2023-10-17 00:00:00+00:00,-0.7505,17.0
2023-10-18 00:00:00+00:00,-0.0567,19.0
2023-10-19 00:00:00+00:00,-1.9477,6.0
2023-10-20 00:00:00+00:00,1.5954,3.0
2023-10-21 00:00:00+00:00,0.7778,3.0
2023-10-22 00:00:00+00:00,0.0,0.0
2023-10-23 00:00:00+00:00,-0.052,15.0
2023-10-24 00:00:00+00:00,0.2365,29.0
2023-10-25 00:00:00+00:00,0.6592,3.0
2023-10-26 00:00:00+00:00,0.8261,3.0
2023-10-27 00:00:00+00:00,-0.2214,7.0
2023-10-28 00:00:00+00:00,0.0,0.0
2023-10-29 00:00:00+00:00,1.1628,1.0
2023-10-30 00:00:00+00:00,1.1277,4.0
2023-10-31 00:00:00+00:00,0.6347,22.0
2023-11-01 00:00:00+00:00,-1.348,2.0
2023-11-02 00:00:00+00:00,1.6656,16.0
2023-11-03 00:00:00+00:00,1.4853,6.0
2023-11-04 00:00:00+00:00,-1.5065,3.0
2023-11-05 00:00:00+00:00,0.0,0.0
2023-11-06 00:00:00+00:00,0.8493,5.0
2023-11-07 00:00:00+00:00,1.0644,3.0
2023-11-08 00:00:00+00:00,0.0299,9.0
2023-11-09 00:00:00+00:00,-0.2777,32.0
2023-11-10 00:00:00+00:00,-1.9319,22.0
2023-11-11 00:00:00+00:00,0.0,0.0
2023-11-12 00:00:00+00:00,0.0,0.0
2023-11-13 00:00:00+00:00,1.0689,6.0
2023-11-14 00:00:00+00:00,0.1817,6.0
2023-11-15 00:00:00+00:00,0.9056,7.0
2023-11-16 00:00:00+00:00,1.1671,6.0
2023-11-17 00:00:00+00:00,-0.9582,5.0
2023-11-18 00:00:00+00:00,0.6006,2.0
2023-11-19 00:00:00+00:00,1.3629,1.0
2023-11-20 00:00:00+00:00,-3.0609,5.0
2023-11-21 00:00:00+00:00,0.1193,2.0
2023-11-22 00:00:00+00:00,-0.1235,1.0
2023-11-23 00:00:00+00:00,0.5214,1.0
2023-11-24 00:00:00+00:00,1.7455,3.0
2023-11-25 00:00:00+00:00,0.0,0.0
2023-11-26 00:00:00+00:00,0.0,0.0
2023-11-27 00:00:00+00:00,0.0,0.0
2023-11-28 00:00:00+00:00,-0.1924,14.0
2023-11-29 00:00:00+00:00,-0.4009,4.0
2023-11-30 00:00:00+00:00,-0.6984,7.0
2023-12-01 00:00:00+00:00,-2.5101,2.0
2023-12-02 00:00:00+00:00,1.8329,2.0
2023-12-03 00:00:00+00:00,-2.1651,1.0
2023-12-04 00:00:00+00:00,-2.2965,6.0
2023-12-05 00:00:00+00:00,1.1832,8.0
2023-12-06 00:00:00+00:00,0.0988,13.0
2023-12-07 00:00:00+00:00,0.1806,3.0
2023-12-08 00:00:00+00:00,0.8954,5.0
2023-12-09 00:00:00+00:00,-0.1972,1.0
2023-12-10 00:00:00+00:00,0.0,0.0
