date,sent,buzz
2020-07-16 00:00:00+00:00,-0.9585,1.0
2020-07-17 00:00:00+00:00,0.559,2.0
2020-07-18 00:00:00+00:00,0.0,0.0
2020-07-19 00:00:00+00:00,1.476,1.0
2020-07-20 00:00:00+00:00,1.2448,5.0
2020-07-21 00:00:00+00:00,0.5053,4.0
2020-07-22 00:00:00+00:00,0.1766,6.0
2020-07-23 00:00:00+00:00,0.6808,7.0
2020-07-24 00:00:00+00:00,0.4381,3.0
2020-07-25 00:00:00+00:00,0.9368,1.0
2020-07-26 00:00:00+00:00,0.0,0.0
2020-07-27 00:00:00+00:00,0.3127,4.0
2020-07-28 00:00:00+00:00,1.1915,2.0
2020-07-29 00:00:00+00:00,-1.0108,2.0
2020-07-30 00:00:00+00:00,0.233,14.0
2020-07-31 00:00:00+00:00,0.2293,9.0
2020-08-01 00:00:00+00:00,-1.2887,3.0
2020-08-02 00:00:00+00:00,0.0,0.0
2020-08-03 00:00:00+00:00,0.9464,3.0
2020-08-04 00:00:00+00:00,-0.0847,11.0
2020-08-05 00:00:00+00:00,0.9291,6.0
2020-08-06 00:00:00+00:00,0.0,0.0
2020-08-07 00:00:00+00:00,0.4912,3.0
2020-08-08 00:00:00+00:00,-1.4836,3.0
2020-08-09 00:00:00+00:00,0.0,0.0
2020-08-10 00:00:00+00:00,-0.6989,3.0
2020-08-11 00:00:00+00:00,0.998,6.0
2020-08-12 00:00:00+00:00,1.9652,3.0
2020-08-13 00:00:00+00:00,0.8791,4.0
2020-08-14 00:00:00+00:00,1.4244,2.0
2020-08-15 00:00:00+00:00,2.2152,1.0
2020-08-16 00:00:00+00:00,0.0,0.0
2020-08-17 00:00:00+00:00,0.0,0.0
2020-08-18 00:00:00+00:00,0.0,0.0
2020-08-19 00:00:00+00:00,0.1884,4.0
2020-08-20 00:00:00+00:00,0.2646,5.0
2020-08-21 00:00:00+00:00,1.6204,5.0
2020-08-22 00:00:00+00:00,0.2736,1.0
2020-08-23 00:00:00+00:00,1.8692,1.0
2020-08-24 00:00:00+00:00,1.7756,6.0
2020-08-25 00:00:00+00:00,0.3146,2.0
2020-08-26 00:00:00+00:00,0.6353,3.0
2020-08-27 00:00:00+00:00,-0.4016,1.0
2020-08-28 00:00:00+00:00,0.0,0.0
2020-08-29 00:00:00+00:00,0.0,0.0
2020-08-30 00:00:00+00:00,0.0,0.0
2020-08-31 00:00:00+00:00,1.4986,4.0
2020-09-01 00:00:00+00:00,0.695,6.0
2020-09-02 00:00:00+00:00,1.5512,4.0
2020-09-03 00:00:00+00:00,-0.1066,34.0
2020-09-04 00:00:00+00:00,-1.2,54.0
2020-09-05 00:00:00+00:00,-0.4634,12.0
2020-09-06 00:00:00+00:00,-2.3873,1.0
2020-09-07 00:00:00+00:00,2.2832,6.0
2020-09-08 00:00:00+00:00,1.3848,1.0
2020-09-09 00:00:00+00:00,3.3993,3.0
2020-09-10 00:00:00+00:00,1.5324,13.0
2020-09-11 00:00:00+00:00,0.6163,9.0
2020-09-12 00:00:00+00:00,0.4277,3.0
2020-09-13 00:00:00+00:00,0.4916,3.0
2020-09-14 00:00:00+00:00,0.641,19.0
2020-09-15 00:00:00+00:00,1.1313,4.0
2020-09-16 00:00:00+00:00,2.3844,12.0
2020-09-17 00:00:00+00:00,2.5449,3.0
2020-09-18 00:00:00+00:00,1.4051,3.0
2020-09-19 00:00:00+00:00,2.0033,1.0
2020-09-20 00:00:00+00:00,1.6,1.0
2020-09-21 00:00:00+00:00,2.1574,6.0
2020-09-22 00:00:00+00:00,1.1496,9.0
2020-09-23 00:00:00+00:00,-0.9402,5.0
2020-09-24 00:00:00+00:00,0.0,0.0
2020-09-25 00:00:00+00:00,-0.2473,2.0
2020-09-26 00:00:00+00:00,0.8333,2.0
2020-09-27 00:00:00+00:00,-5.0253,25.0
2020-09-28 00:00:00+00:00,2.5312,6.0
2020-09-29 00:00:00+00:00,-2.4583,2.0
2020-09-30 00:00:00+00:00,1.3508,6.0
2020-10-01 00:00:00+00:00,0.1489,6.0
2020-10-02 00:00:00+00:00,1.5149,2.0
2020-10-03 00:00:00+00:00,0.6863,1.0
2020-10-04 00:00:00+00:00,2.1021,1.0
2020-10-05 00:00:00+00:00,1.5203,3.0
2020-10-06 00:00:00+00:00,0.0,0.0
2020-10-07 00:00:00+00:00,-0.5522,12.0
2020-10-08 00:00:00+00:00,2.5866,5.0
2020-10-09 00:00:00+00:00,0.8362,2.0
2020-10-10 00:00:00+00:00,0.1575,1.0
2020-10-11 00:00:00+00:00,0.0,0.0
2020-10-12 00:00:00+00:00,0.0,0.0
2020-10-13 00:00:00+00:00,0.6123,2.0
2020-10-14 00:00:00+00:00,0.0818,1.0
2020-10-15 00:00:00+00:00,-0.0267,3.0
2020-10-16 00:00:00+00:00,3.22,1.0
2020-10-17 00:00:00+00:00,1.2569,1.0
2020-10-18 00:00:00+00:00,0.0,0.0
2020-10-19 00:00:00+00:00,0.199,1.0
2020-10-21 00:00:00+00:00,3.074,3.0
2020-10-22 00:00:00+00:00,-0.7401,4.0
2020-10-23 00:00:00+00:00,0.0,0.0
2020-10-24 00:00:00+00:00,0.0,0.0
2020-10-25 00:00:00+00:00,0.0,0.0
2020-10-26 00:00:00+00:00,0.0,0.0
2020-10-27 00:00:00+00:00,1.7127,10.0
2020-10-28 00:00:00+00:00,4.3119,1.0
2020-10-29 00:00:00+00:00,0.2893,9.0
2020-10-30 00:00:00+00:00,0.0,0.0
2020-10-31 00:00:00+00:00,0.0,0.0
2020-11-01 00:00:00+00:00,0.0,0.0
2020-11-02 00:00:00+00:00,3.2039,1.0
2020-11-03 00:00:00+00:00,1.0774,8.0
2020-11-04 00:00:00+00:00,0.0,0.0
2020-11-05 00:00:00+00:00,1.6641,4.0
2020-11-06 00:00:00+00:00,0.0,0.0
2020-11-07 00:00:00+00:00,0.0,0.0
2020-11-08 00:00:00+00:00,0.0,0.0
