date,sent,buzz
2020-07-16 00:00:00+00:00,0.0,0.0
2020-07-17 00:00:00+00:00,1.6926,4.0
2020-07-18 00:00:00+00:00,0.0,0.0
2020-07-19 00:00:00+00:00,0.0,0.0
2020-07-20 00:00:00+00:00,0.0,0.0
2020-07-21 00:00:00+00:00,0.0049,3.0
2020-07-22 00:00:00+00:00,0.8028,7.0
2020-07-23 00:00:00+00:00,-0.1617,47.0
2020-07-24 00:00:00+00:00,0.3936,9.0
2020-07-25 00:00:00+00:00,0.0,0.0
2020-07-26 00:00:00+00:00,0.0,0.0
2020-07-27 00:00:00+00:00,1.2749,8.0
2020-07-28 00:00:00+00:00,1.465,13.0
2020-07-29 00:00:00+00:00,0.9159,5.0
2020-07-30 00:00:00+00:00,-0.8904,1.0
2020-07-31 00:00:00+00:00,-5.7731,7.0
2020-08-01 00:00:00+00:00,-6.0909,2.0
2020-08-02 00:00:00+00:00,0.0,0.0
2020-08-03 00:00:00+00:00,0.0,0.0
2020-08-04 00:00:00+00:00,1.5228,2.0
2020-08-05 00:00:00+00:00,0.7212,13.0
2020-08-06 00:00:00+00:00,-0.9179,4.0
2020-08-07 00:00:00+00:00,-0.6024,1.0
2020-08-08 00:00:00+00:00,-0.0812,1.0
2020-08-09 00:00:00+00:00,0.0,0.0
2020-08-10 00:00:00+00:00,0.2765,2.0
2020-08-11 00:00:00+00:00,1.474,6.0
2020-08-12 00:00:00+00:00,-0.2988,4.0
2020-08-13 00:00:00+00:00,0.6824,2.0
2020-08-14 00:00:00+00:00,-1.4128,3.0
2020-08-15 00:00:00+00:00,-2.2491,1.0
2020-08-16 00:00:00+00:00,0.2439,1.0
2020-08-17 00:00:00+00:00,-1.2593,5.0
2020-08-18 00:00:00+00:00,-0.5388,6.0
2020-08-19 00:00:00+00:00,1.0526,1.0
2020-08-20 00:00:00+00:00,1.1699,4.0
2020-08-21 00:00:00+00:00,-0.2547,3.0
2020-08-22 00:00:00+00:00,0.0,0.0
2020-08-23 00:00:00+00:00,0.0,0.0
2020-08-24 00:00:00+00:00,1.3592,2.0
2020-08-25 00:00:00+00:00,1.6939,13.0
2020-08-26 00:00:00+00:00,0.7103,4.0
2020-08-27 00:00:00+00:00,0.0,0.0
2020-08-28 00:00:00+00:00,2.2923,4.0
2020-08-29 00:00:00+00:00,0.0,0.0
2020-08-30 00:00:00+00:00,-2.6116,1.0
2020-08-31 00:00:00+00:00,0.0,0.0
2020-09-01 00:00:00+00:00,0.8954,5.0
2020-09-02 00:00:00+00:00,1.2342,4.0
2020-09-03 00:00:00+00:00,2.0805,2.0
2020-09-04 00:00:00+00:00,-0.7699,2.0
2020-09-05 00:00:00+00:00,0.7043,2.0
2020-09-06 00:00:00+00:00,0.0,0.0
2020-09-07 00:00:00+00:00,-0.0749,1.0
2020-09-08 00:00:00+00:00,1.6393,1.0
2020-09-09 00:00:00+00:00,0.6389,3.0
2020-09-10 00:00:00+00:00,1.6022,2.0
2020-09-11 00:00:00+00:00,0.231,4.0
2020-09-12 00:00:00+00:00,0.7377,3.0
2020-09-13 00:00:00+00:00,0.0,0.0
2020-09-14 00:00:00+00:00,1.5664,4.0
2020-09-15 00:00:00+00:00,1.6915,4.0
2020-09-16 00:00:00+00:00,2.1683,2.0
