date,sent,buzz
2020-07-13 00:00:00+00:00,0.0,0.0
2020-07-14 00:00:00+00:00,0.0,0.0
2020-07-15 00:00:00+00:00,0.3422,3.0
2020-07-16 00:00:00+00:00,-0.4552,3.0
2020-07-17 00:00:00+00:00,-0.3638,2.0
2020-07-18 00:00:00+00:00,1.0236,2.0
2020-07-19 00:00:00+00:00,0.0,0.0
2020-07-20 00:00:00+00:00,0.0,0.0
2020-07-21 00:00:00+00:00,0.0,0.0
2020-07-22 00:00:00+00:00,0.3146,1.0
2020-07-23 00:00:00+00:00,0.8457,2.0
2020-07-24 00:00:00+00:00,1.35,2.0
2020-07-25 00:00:00+00:00,0.0,0.0
2020-07-26 00:00:00+00:00,1.4184,1.0
2020-07-27 00:00:00+00:00,0.0,0.0
2020-07-28 00:00:00+00:00,1.6155,2.0
2020-07-29 00:00:00+00:00,0.9651,5.0
2020-07-30 00:00:00+00:00,0.0,0.0
2020-07-31 00:00:00+00:00,0.0,0.0
2020-08-01 00:00:00+00:00,0.0,0.0
2020-08-02 00:00:00+00:00,0.0,0.0
2020-08-03 00:00:00+00:00,2.5579,2.0
2020-08-04 00:00:00+00:00,0.5347,3.0
2020-08-05 00:00:00+00:00,0.0,1.0
2020-08-06 00:00:00+00:00,0.0,0.0
2020-08-07 00:00:00+00:00,-0.3979,1.0
2020-08-08 00:00:00+00:00,0.4136,1.0
2020-08-09 00:00:00+00:00,0.0,0.0
2020-08-10 00:00:00+00:00,0.3486,4.0
2020-08-11 00:00:00+00:00,-1.0525,2.0
2020-08-12 00:00:00+00:00,-1.3372,1.0
2020-08-13 00:00:00+00:00,0.8921,1.0
2020-08-14 00:00:00+00:00,-0.1383,3.0
2020-08-15 00:00:00+00:00,-0.2519,4.0
2020-08-16 00:00:00+00:00,-1.4328,4.0
2020-08-17 00:00:00+00:00,-3.0421,3.0
2020-08-18 00:00:00+00:00,-0.6869,1.0
2020-08-19 00:00:00+00:00,3.6585,1.0
2020-08-20 00:00:00+00:00,0.0,0.0
2020-08-21 00:00:00+00:00,0.6357,1.0
2020-08-22 00:00:00+00:00,0.4815,1.0
2020-08-23 00:00:00+00:00,0.8853,2.0
2020-08-24 00:00:00+00:00,-0.0099,6.0
2020-08-25 00:00:00+00:00,0.5317,3.0
2020-08-26 00:00:00+00:00,-0.2842,2.0
2020-08-27 00:00:00+00:00,0.0,0.0
2020-08-28 00:00:00+00:00,1.8154,1.0
2020-08-29 00:00:00+00:00,-0.1371,2.0
2020-08-30 00:00:00+00:00,-0.5764,1.0
2020-08-31 00:00:00+00:00,1.5299,3.0
2020-09-01 00:00:00+00:00,2.8395,3.0
2020-09-02 00:00:00+00:00,-0.5123,16.0
2020-09-03 00:00:00+00:00,-0.2197,6.0
2020-09-04 00:00:00+00:00,1.9175,1.0
2020-09-05 00:00:00+00:00,-0.6125,1.0
2020-09-06 00:00:00+00:00,0.0,0.0
2020-09-07 00:00:00+00:00,0.0,0.0
2020-09-08 00:00:00+00:00,0.0,0.0
2020-09-09 00:00:00+00:00,0.4613,1.0
2020-09-10 00:00:00+00:00,-1.7406,1.0
2020-09-11 00:00:00+00:00,-0.2565,4.0
2020-09-12 00:00:00+00:00,0.0,0.0
2020-09-13 00:00:00+00:00,0.0,0.0
2020-09-14 00:00:00+00:00,0.0,0.0
2020-09-15 00:00:00+00:00,-0.3597,1.0
2020-09-16 00:00:00+00:00,2.9405,4.0
2020-09-17 00:00:00+00:00,0.0,0.0
2020-09-18 00:00:00+00:00,0.7222,3.0
