date,sent,buzz
2024-03-27 00:00:00+00:00,1.125,7.0
2024-03-28 00:00:00+00:00,0.8873,8.0
2024-03-29 00:00:00+00:00,-1.4331,8.0
2024-03-30 00:00:00+00:00,0.0,2.0
2024-03-31 00:00:00+00:00,1.7084,3.0
2024-04-01 00:00:00+00:00,1.0244,8.0
2024-04-02 00:00:00+00:00,-0.0873,48.0
2024-04-03 00:00:00+00:00,-0.0614,16.0
2024-04-04 00:00:00+00:00,1.4239,15.0
2024-04-05 00:00:00+00:00,-1.2464,4.0
2024-04-06 00:00:00+00:00,0.8383,2.0
2024-04-07 00:00:00+00:00,1.6827,2.0
2024-04-08 00:00:00+00:00,0.6993,10.0
2024-04-09 00:00:00+00:00,0.8679,4.0
2024-04-10 00:00:00+00:00,-0.16,4.0
2024-04-11 00:00:00+00:00,2.9727,4.0
2024-04-12 00:00:00+00:00,0.5025,1.0
2024-04-13 00:00:00+00:00,-0.3079,1.0
2024-04-14 00:00:00+00:00,0.0,0.0
2024-04-15 00:00:00+00:00,1.6979,4.0
2024-04-16 00:00:00+00:00,2.0482,5.0
2024-04-17 00:00:00+00:00,0.2889,5.0
2024-04-18 00:00:00+00:00,1.3946,10.0
2024-04-19 00:00:00+00:00,1.559,9.0
2024-04-20 00:00:00+00:00,4.6647,1.0
2024-04-21 00:00:00+00:00,1.2341,4.0
2024-04-22 00:00:00+00:00,-0.4277,11.0
2024-04-23 00:00:00+00:00,1.6134,13.0
2024-04-24 00:00:00+00:00,-0.4322,9.0
2024-04-25 00:00:00+00:00,0.1534,14.0
2024-04-26 00:00:00+00:00,0.762,14.0
2024-04-27 00:00:00+00:00,0.6211,3.0
2024-04-28 00:00:00+00:00,0.0,0.0
2024-04-29 00:00:00+00:00,2.6208,8.0
2024-04-30 00:00:00+00:00,1.3786,15.0
2024-05-01 00:00:00+00:00,1.5241,6.0
2024-05-02 00:00:00+00:00,1.3516,7.0
2024-05-03 00:00:00+00:00,0.9034,3.0
2024-05-04 00:00:00+00:00,0.5837,6.0
2024-05-05 00:00:00+00:00,1.5385,1.0
2024-05-06 00:00:00+00:00,1.1759,2.0
2024-05-07 00:00:00+00:00,0.669,4.0
2024-05-08 00:00:00+00:00,2.3385,3.0
2024-05-09 00:00:00+00:00,2.2633,3.0
2024-05-10 00:00:00+00:00,-0.0486,4.0
2024-05-11 00:00:00+00:00,0.0,0.0
2024-05-12 00:00:00+00:00,0.0,0.0
2024-05-13 00:00:00+00:00,0.0,0.0
2024-05-14 00:00:00+00:00,2.9517,4.0
2024-05-15 00:00:00+00:00,1.0409,4.0
2024-05-16 00:00:00+00:00,-2.2852,6.0
2024-05-17 00:00:00+00:00,2.0006,6.0
2024-05-18 00:00:00+00:00,5.0,1.0
2024-05-19 00:00:00+00:00,0.0,0.0
2024-05-20 00:00:00+00:00,2.0738,8.0
2024-05-21 00:00:00+00:00,2.3675,3.0
2024-05-22 00:00:00+00:00,0.0,0.0
2024-05-23 00:00:00+00:00,1.465,8.0
2024-05-24 00:00:00+00:00,2.5253,3.0
2024-05-25 00:00:00+00:00,1.6047,1.0
2024-05-26 00:00:00+00:00,2.1346,1.0
2024-05-27 00:00:00+00:00,1.1509,3.0
2024-05-28 00:00:00+00:00,1.9652,5.0
2024-05-29 00:00:00+00:00,2.4976,3.0
2024-05-30 00:00:00+00:00,0.7986,11.0
2024-05-31 00:00:00+00:00,0.9009,2.0
2024-06-01 00:00:00+00:00,0.0,0.0
2024-06-02 00:00:00+00:00,4.789,2.0
2024-06-03 00:00:00+00:00,2.1211,4.0
2024-06-04 00:00:00+00:00,1.2973,7.0
2024-06-05 00:00:00+00:00,1.7191,4.0
2024-06-06 00:00:00+00:00,0.4839,9.0
2024-06-07 00:00:00+00:00,1.7532,6.0
2024-06-08 00:00:00+00:00,-0.479,9.0
2024-06-09 00:00:00+00:00,3.7999,2.0
2024-06-10 00:00:00+00:00,1.7488,7.0
2024-06-11 00:00:00+00:00,1.4171,14.0
2024-06-12 00:00:00+00:00,0.0,0.0
2024-06-13 00:00:00+00:00,2.7611,2.0
2024-06-14 00:00:00+00:00,0.8989,4.0
2024-06-15 00:00:00+00:00,4.898,1.0
2024-06-16 00:00:00+00:00,0.0,0.0
2024-06-17 00:00:00+00:00,0.0,0.0
2024-06-18 00:00:00+00:00,0.6598,2.0
2024-06-19 00:00:00+00:00,4.13,7.0
2024-06-20 00:00:00+00:00,3.1178,2.0
2024-06-21 00:00:00+00:00,0.9901,1.0
2024-06-22 00:00:00+00:00,2.8974,3.0
2024-06-23 00:00:00+00:00,2.7375,1.0
2024-06-24 00:00:00+00:00,3.264,5.0
2024-06-25 00:00:00+00:00,2.36,4.0
2024-06-26 00:00:00+00:00,1.7837,4.0
2024-06-27 00:00:00+00:00,1.9583,6.0
