date,sent,buzz
2020-07-16 00:00:00+00:00,1.1405,20.0
2020-07-17 00:00:00+00:00,1.5337,15.0
2020-07-18 00:00:00+00:00,0.1598,7.0
2020-07-19 00:00:00+00:00,2.493,2.0
2020-07-20 00:00:00+00:00,1.2653,19.0
2020-07-21 00:00:00+00:00,1.7462,41.0
2020-07-22 00:00:00+00:00,2.0851,41.0
2020-07-23 00:00:00+00:00,1.2485,33.0
2020-07-24 00:00:00+00:00,0.3258,41.0
2020-07-25 00:00:00+00:00,-1.141,19.0
2020-07-26 00:00:00+00:00,-0.4773,9.0
2020-07-27 00:00:00+00:00,0.4483,25.0
2020-07-28 00:00:00+00:00,0.8238,43.0
2020-07-29 00:00:00+00:00,0.5178,31.0
2020-07-30 00:00:00+00:00,1.1324,27.0
2020-07-31 00:00:00+00:00,1.1565,29.0
2020-08-01 00:00:00+00:00,-0.3015,14.0
2020-08-02 00:00:00+00:00,1.4739,8.0
2020-08-03 00:00:00+00:00,0.7562,20.0
2020-08-04 00:00:00+00:00,0.1473,41.0
2020-08-05 00:00:00+00:00,1.1198,21.0
2020-08-06 00:00:00+00:00,1.9712,20.0
2020-08-07 00:00:00+00:00,0.8473,23.0
2020-08-08 00:00:00+00:00,0.8074,20.0
2020-08-09 00:00:00+00:00,-0.3036,4.0
2020-08-10 00:00:00+00:00,1.7495,18.0
2020-08-11 00:00:00+00:00,0.1494,25.0
2020-08-12 00:00:00+00:00,1.3166,17.0
2020-08-13 00:00:00+00:00,0.7646,21.0
2020-08-14 00:00:00+00:00,-0.69,35.0
2020-08-15 00:00:00+00:00,0.5923,20.0
2020-08-16 00:00:00+00:00,-2.0273,5.0
2020-08-17 00:00:00+00:00,1.09,24.0
2020-08-18 00:00:00+00:00,0.5705,24.0
2020-08-19 00:00:00+00:00,0.8298,33.0
2020-08-20 00:00:00+00:00,1.2819,54.0
2020-08-21 00:00:00+00:00,0.2431,50.0
2020-08-22 00:00:00+00:00,-2.2663,8.0
2020-08-23 00:00:00+00:00,1.5817,1.0
2020-08-24 00:00:00+00:00,0.4907,25.0
2020-08-25 00:00:00+00:00,1.503,26.0
2020-08-26 00:00:00+00:00,1.3501,32.0
2020-08-27 00:00:00+00:00,1.2837,18.0
2020-08-28 00:00:00+00:00,0.5982,28.0
2020-08-29 00:00:00+00:00,1.7984,4.0
2020-08-30 00:00:00+00:00,1.0209,7.0
2020-08-31 00:00:00+00:00,1.831,20.0
2020-09-01 00:00:00+00:00,1.0925,35.0
2020-09-02 00:00:00+00:00,1.2848,36.0
2020-09-03 00:00:00+00:00,1.9703,40.0
2020-09-04 00:00:00+00:00,1.7894,17.0
2020-09-05 00:00:00+00:00,1.7488,2.0
2020-09-06 00:00:00+00:00,2.2762,1.0
2020-09-07 00:00:00+00:00,2.2948,37.0
2020-09-08 00:00:00+00:00,1.0931,29.0
2020-09-09 00:00:00+00:00,1.2447,30.0
2020-09-10 00:00:00+00:00,1.7915,31.0
2020-09-11 00:00:00+00:00,1.3729,27.0
2020-09-12 00:00:00+00:00,0.7437,3.0
2020-09-13 00:00:00+00:00,0.6605,4.0
2020-09-14 00:00:00+00:00,0.9992,41.0
2020-09-15 00:00:00+00:00,3.4262,47.0
2020-09-16 00:00:00+00:00,0.973,51.0
2020-09-17 00:00:00+00:00,1.7556,40.0
2020-09-18 00:00:00+00:00,1.4426,31.0
2020-09-19 00:00:00+00:00,2.6254,5.0
2020-09-20 00:00:00+00:00,2.2161,2.0
2020-09-21 00:00:00+00:00,-0.0782,11.0
2020-09-22 00:00:00+00:00,1.8062,38.0
2020-09-23 00:00:00+00:00,1.9436,45.0
2020-09-24 00:00:00+00:00,1.1697,33.0
2020-09-25 00:00:00+00:00,2.2443,13.0
2020-09-26 00:00:00+00:00,2.451,3.0
2020-09-27 00:00:00+00:00,1.7458,5.0
2020-09-28 00:00:00+00:00,1.9115,11.0
2020-09-29 00:00:00+00:00,2.4796,27.0
2020-09-30 00:00:00+00:00,1.4346,23.0
2020-10-01 00:00:00+00:00,2.6991,36.0
2020-10-02 00:00:00+00:00,1.5899,18.0
2020-10-03 00:00:00+00:00,0.5254,3.0
2020-10-04 00:00:00+00:00,-0.1618,2.0
2020-10-05 00:00:00+00:00,1.7191,4.0
2020-10-06 00:00:00+00:00,2.2413,27.0
2020-10-07 00:00:00+00:00,1.063,19.0
2020-10-08 00:00:00+00:00,1.4668,29.0
2020-10-09 00:00:00+00:00,1.6282,5.0
2020-10-10 00:00:00+00:00,0.0,0.0
2020-10-11 00:00:00+00:00,0.0,0.0
2020-10-12 00:00:00+00:00,2.7289,24.0
2020-10-13 00:00:00+00:00,2.2235,39.0
2020-10-14 00:00:00+00:00,1.3866,16.0
2020-10-15 00:00:00+00:00,2.3435,36.0
2020-10-16 00:00:00+00:00,1.6934,5.0
2020-10-17 00:00:00+00:00,2.4151,6.0
2020-10-18 00:00:00+00:00,0.0,0.0
2020-10-19 00:00:00+00:00,0.8035,2.0
2020-10-21 00:00:00+00:00,2.5341,28.0
2020-10-22 00:00:00+00:00,1.3879,30.0
2020-10-23 00:00:00+00:00,0.7228,8.0
2020-10-24 00:00:00+00:00,1.6188,8.0
2020-10-25 00:00:00+00:00,0.998,6.0
2020-10-26 00:00:00+00:00,1.3935,16.0
2020-10-27 00:00:00+00:00,1.1512,25.0
2020-10-28 00:00:00+00:00,2.0251,13.0
2020-10-29 00:00:00+00:00,1.6118,11.0
2020-10-30 00:00:00+00:00,1.5106,2.0
2020-10-31 00:00:00+00:00,1.2526,1.0
2020-11-01 00:00:00+00:00,0.0,0.0
2020-11-02 00:00:00+00:00,2.7215,16.0
2020-11-03 00:00:00+00:00,0.6439,5.0
2020-11-04 00:00:00+00:00,1.9625,10.0
2020-11-05 00:00:00+00:00,1.0378,20.0
2020-11-06 00:00:00+00:00,1.4008,5.0
2020-11-07 00:00:00+00:00,0.0,0.0
2020-11-08 00:00:00+00:00,1.2248,2.0
2020-11-09 00:00:00+00:00,1.6229,4.0
2020-11-10 00:00:00+00:00,0.9528,10.0
2020-11-11 00:00:00+00:00,1.0746,15.0
2020-11-12 00:00:00+00:00,1.5051,2.0
2020-11-13 00:00:00+00:00,1.5858,2.0
2020-11-14 00:00:00+00:00,0.0,0.0
2020-11-15 00:00:00+00:00,0.0,0.0
2020-11-16 00:00:00+00:00,2.4271,8.0
2020-11-17 00:00:00+00:00,3.1387,14.0
2020-11-18 00:00:00+00:00,2.426,33.0
2020-11-19 00:00:00+00:00,2.0432,21.0
2020-11-20 00:00:00+00:00,1.6263,16.0
2020-11-21 00:00:00+00:00,0.2827,6.0
2020-11-22 00:00:00+00:00,1.0464,6.0
2020-11-23 00:00:00+00:00,1.0736,19.0
2020-11-24 00:00:00+00:00,1.9298,22.0
2020-11-25 00:00:00+00:00,1.4385,23.0
2020-11-26 00:00:00+00:00,1.685,23.0
2020-11-27 00:00:00+00:00,0.9127,15.0
2020-11-28 00:00:00+00:00,1.2557,7.0
2020-11-29 00:00:00+00:00,2.3659,4.0
2020-11-30 00:00:00+00:00,1.3545,20.0
2020-12-01 00:00:00+00:00,1.8441,36.0
2020-12-02 00:00:00+00:00,2.8488,22.0
2020-12-03 00:00:00+00:00,2.8908,38.0
2020-12-04 00:00:00+00:00,1.8817,28.0
2020-12-05 00:00:00+00:00,1.5788,26.0
2020-12-06 00:00:00+00:00,0.9926,1.0
2020-12-07 00:00:00+00:00,1.4694,25.0
2020-12-08 00:00:00+00:00,2.0814,28.0
2020-12-09 00:00:00+00:00,1.8523,46.0
2020-12-10 00:00:00+00:00,2.4566,13.0
2020-12-11 00:00:00+00:00,2.3061,21.0
2020-12-12 00:00:00+00:00,2.5739,6.0
2020-12-13 00:00:00+00:00,1.2015,3.0
2020-12-14 00:00:00+00:00,2.0527,33.0
2020-12-15 00:00:00+00:00,1.3214,22.0
2020-12-16 00:00:00+00:00,1.1096,21.0
2020-12-17 00:00:00+00:00,2.6791,32.0
2020-12-18 00:00:00+00:00,1.6479,21.0
2020-12-19 00:00:00+00:00,0.5509,5.0
2020-12-20 00:00:00+00:00,0.9584,3.0
2020-12-21 00:00:00+00:00,2.115,11.0
2020-12-22 00:00:00+00:00,1.1551,17.0
2020-12-23 00:00:00+00:00,1.7154,23.0
2020-12-24 00:00:00+00:00,1.1977,13.0
2020-12-25 00:00:00+00:00,1.0694,5.0
2020-12-26 00:00:00+00:00,1.4978,10.0
2020-12-27 00:00:00+00:00,1.2328,9.0
2020-12-28 00:00:00+00:00,1.6492,21.0
2020-12-29 00:00:00+00:00,1.362,36.0
2020-12-30 00:00:00+00:00,0.9601,47.0
2020-12-31 00:00:00+00:00,1.3797,19.0
2021-01-01 00:00:00+00:00,1.2004,3.0
2021-01-02 00:00:00+00:00,0.1897,5.0
2021-01-03 00:00:00+00:00,1.2371,4.0
2021-01-04 00:00:00+00:00,1.2775,22.0
2021-01-05 00:00:00+00:00,1.5972,59.0
2021-01-06 00:00:00+00:00,1.2137,31.0
2021-01-07 00:00:00+00:00,1.5524,57.0
2021-01-08 00:00:00+00:00,1.9644,40.0
2021-01-09 00:00:00+00:00,0.823,12.0
2021-01-10 00:00:00+00:00,5.4149,4.0
2021-01-11 00:00:00+00:00,1.8249,34.0
2021-01-12 00:00:00+00:00,1.2006,54.0
2021-01-13 00:00:00+00:00,1.4585,68.0
2021-01-14 00:00:00+00:00,1.4527,48.0
2021-01-15 00:00:00+00:00,1.3341,69.0
2021-01-16 00:00:00+00:00,1.6935,5.0
2021-01-17 00:00:00+00:00,0.8468,6.0
2021-01-18 00:00:00+00:00,1.3757,57.0
2021-01-19 00:00:00+00:00,1.5302,60.0
2021-01-20 00:00:00+00:00,1.423,84.0
2021-01-21 00:00:00+00:00,1.2841,51.0
2021-01-22 00:00:00+00:00,1.4914,63.0
2021-01-23 00:00:00+00:00,-0.2797,11.0
2021-01-24 00:00:00+00:00,-3.6585,3.0
2021-01-25 00:00:00+00:00,1.2362,36.0
2021-01-26 00:00:00+00:00,1.6937,41.0
2021-01-27 00:00:00+00:00,1.7066,39.0
2021-01-28 00:00:00+00:00,1.2701,42.0
2021-01-29 00:00:00+00:00,2.0743,27.0
2021-01-30 00:00:00+00:00,1.1454,9.0
2021-01-31 00:00:00+00:00,1.5691,7.0
2021-02-01 00:00:00+00:00,1.8823,21.0
2021-02-02 00:00:00+00:00,1.2868,36.0
2021-02-03 00:00:00+00:00,1.5123,24.0
2021-02-04 00:00:00+00:00,2.2473,15.0
2021-02-05 00:00:00+00:00,1.5464,35.0
2021-02-06 00:00:00+00:00,1.4931,9.0
2021-02-07 00:00:00+00:00,1.3917,1.0
2021-02-08 00:00:00+00:00,1.3991,23.0
2021-02-09 00:00:00+00:00,1.8094,88.0
2021-02-10 00:00:00+00:00,1.3052,29.0
2021-02-11 00:00:00+00:00,1.3019,26.0
2021-02-12 00:00:00+00:00,1.0942,33.0
2021-02-13 00:00:00+00:00,1.1488,6.0
2021-02-14 00:00:00+00:00,1.9699,1.0
2021-02-15 00:00:00+00:00,1.9196,52.0
2021-02-16 00:00:00+00:00,1.9966,33.0
2021-02-17 00:00:00+00:00,1.4195,28.0
2021-02-18 00:00:00+00:00,1.6738,52.0
2021-02-19 00:00:00+00:00,1.7363,25.0
2021-02-20 00:00:00+00:00,1.34,9.0
2021-02-21 00:00:00+00:00,0.6803,1.0
2021-02-22 00:00:00+00:00,1.698,17.0
2021-02-23 00:00:00+00:00,1.2653,61.0
2021-02-24 00:00:00+00:00,1.7929,46.0
2021-02-25 00:00:00+00:00,2.1281,31.0
2021-02-26 00:00:00+00:00,0.7343,18.0
2021-02-27 00:00:00+00:00,0.278,5.0
2021-02-28 00:00:00+00:00,0.0,0.0
2021-03-01 00:00:00+00:00,1.4319,7.0
2021-03-02 00:00:00+00:00,2.5141,45.0
2021-03-03 00:00:00+00:00,1.3826,19.0
2021-03-04 00:00:00+00:00,1.8575,35.0
2021-03-05 00:00:00+00:00,1.9733,21.0
2021-03-06 00:00:00+00:00,0.3058,1.0
2021-03-07 00:00:00+00:00,-0.7694,5.0
2021-03-08 00:00:00+00:00,1.8375,32.0
2021-03-09 00:00:00+00:00,1.7704,33.0
2021-03-10 00:00:00+00:00,1.8475,20.0
2021-03-11 00:00:00+00:00,2.532,19.0
2021-03-12 00:00:00+00:00,1.3352,23.0
2021-03-13 00:00:00+00:00,1.5168,1.0
2021-03-14 00:00:00+00:00,0.1512,3.0
2021-03-15 00:00:00+00:00,2.7911,16.0
2021-03-16 00:00:00+00:00,1.6862,25.0
2021-03-17 00:00:00+00:00,1.5046,25.0
2021-03-18 00:00:00+00:00,0.8682,21.0
2021-03-19 00:00:00+00:00,1.726,12.0
2021-03-20 00:00:00+00:00,0.3451,2.0
2021-03-21 00:00:00+00:00,2.0109,2.0
2021-03-22 00:00:00+00:00,1.2659,41.0
2021-03-23 00:00:00+00:00,1.7047,37.0
2021-03-24 00:00:00+00:00,1.6048,31.0
2021-03-25 00:00:00+00:00,1.7257,40.0
2021-03-26 00:00:00+00:00,2.973,30.0
2021-03-27 00:00:00+00:00,3.5534,8.0
2021-03-28 00:00:00+00:00,-0.6693,5.0
2021-03-29 00:00:00+00:00,0.8714,17.0
2021-03-30 00:00:00+00:00,2.0023,32.0
2021-03-31 00:00:00+00:00,1.6536,14.0
2021-04-01 00:00:00+00:00,1.377,11.0
2021-04-02 00:00:00+00:00,2.3931,3.0
2021-04-03 00:00:00+00:00,1.1215,4.0
2021-04-04 00:00:00+00:00,1.519,6.0
2021-04-05 00:00:00+00:00,1.8285,17.0
2021-04-06 00:00:00+00:00,3.0905,51.0
2021-04-07 00:00:00+00:00,3.5675,30.0
2021-04-08 00:00:00+00:00,2.0728,23.0
2021-04-09 00:00:00+00:00,0.3257,11.0
2021-04-10 00:00:00+00:00,2.6786,5.0
2021-04-11 00:00:00+00:00,0.5495,1.0
2021-04-12 00:00:00+00:00,2.1432,21.0
2021-04-13 00:00:00+00:00,1.8906,31.0
2021-04-14 00:00:00+00:00,1.305,19.0
2021-04-15 00:00:00+00:00,2.4848,15.0
2021-04-16 00:00:00+00:00,2.9623,16.0
2021-04-17 00:00:00+00:00,1.1312,1.0
2021-04-18 00:00:00+00:00,1.4641,1.0
2021-04-19 00:00:00+00:00,2.1807,11.0
2021-04-20 00:00:00+00:00,1.3359,17.0
2021-04-21 00:00:00+00:00,0.9869,24.0
2021-04-22 00:00:00+00:00,1.9736,30.0
2021-04-23 00:00:00+00:00,1.0973,21.0
2021-04-24 00:00:00+00:00,1.5735,11.0
2021-04-25 00:00:00+00:00,1.0657,4.0
2021-04-26 00:00:00+00:00,1.3782,15.0
2021-04-27 00:00:00+00:00,1.3669,22.0
2021-04-28 00:00:00+00:00,1.5031,13.0
2021-04-29 00:00:00+00:00,0.9151,32.0
2021-04-30 00:00:00+00:00,2.5316,22.0
2021-05-01 00:00:00+00:00,0.8271,5.0
2021-05-02 00:00:00+00:00,1.4639,2.0
2021-05-03 00:00:00+00:00,1.8443,26.0
2021-05-04 00:00:00+00:00,2.6538,24.0
2021-05-05 00:00:00+00:00,1.2987,12.0
2021-05-06 00:00:00+00:00,2.1654,18.0
2021-05-07 00:00:00+00:00,1.3144,13.0
2021-05-08 00:00:00+00:00,1.9119,7.0
2021-05-09 00:00:00+00:00,5.8409,2.0
2021-05-10 00:00:00+00:00,1.94,11.0
2021-05-11 00:00:00+00:00,1.6678,16.0
2021-05-12 00:00:00+00:00,1.2524,30.0
2021-05-13 00:00:00+00:00,2.7741,24.0
2021-05-14 00:00:00+00:00,0.685,13.0
2021-05-15 00:00:00+00:00,1.3596,5.0
2021-05-16 00:00:00+00:00,1.735,1.0
2021-05-17 00:00:00+00:00,2.0121,25.0
2021-05-18 00:00:00+00:00,2.0216,23.0
2021-05-19 00:00:00+00:00,2.1026,11.0
2021-05-20 00:00:00+00:00,2.6752,20.0
2021-05-21 00:00:00+00:00,1.8471,13.0
2021-05-22 00:00:00+00:00,1.7342,7.0
2021-05-23 00:00:00+00:00,1.6998,10.0
2021-05-24 00:00:00+00:00,1.4531,12.0
2021-05-25 00:00:00+00:00,2.2069,20.0
2021-05-26 00:00:00+00:00,2.0283,10.0
2021-05-27 00:00:00+00:00,2.5271,22.0
2021-05-28 00:00:00+00:00,1.6493,17.0
2021-05-29 00:00:00+00:00,2.5369,19.0
2021-05-30 00:00:00+00:00,1.0916,8.0
2021-05-31 00:00:00+00:00,1.7085,14.0
2021-06-01 00:00:00+00:00,2.0002,41.0
2021-06-02 00:00:00+00:00,2.2924,27.0
2021-06-03 00:00:00+00:00,1.4402,14.0
2021-06-04 00:00:00+00:00,1.3452,10.0
2021-06-05 00:00:00+00:00,0.6681,3.0
2021-06-06 00:00:00+00:00,0.0,0.0
2021-06-07 00:00:00+00:00,0.2001,37.0
2021-06-08 00:00:00+00:00,1.3526,13.0
2021-06-09 00:00:00+00:00,1.4694,24.0
2021-06-10 00:00:00+00:00,2.0645,17.0
2021-06-11 00:00:00+00:00,1.8322,13.0
2021-06-12 00:00:00+00:00,2.2875,8.0
2021-06-13 00:00:00+00:00,-1.8394,1.0
2021-06-14 00:00:00+00:00,2.824,7.0
2021-06-15 00:00:00+00:00,2.1221,14.0
2021-06-16 00:00:00+00:00,3.5936,24.0
2021-06-17 00:00:00+00:00,2.8601,22.0
2021-06-18 00:00:00+00:00,1.4803,14.0
2021-06-19 00:00:00+00:00,2.2277,4.0
2021-06-20 00:00:00+00:00,1.8374,6.0
2021-06-21 00:00:00+00:00,2.5284,15.0
2021-06-22 00:00:00+00:00,2.0444,21.0
2021-06-23 00:00:00+00:00,2.7791,25.0
2021-06-24 00:00:00+00:00,0.7491,16.0
2021-06-25 00:00:00+00:00,0.1565,11.0
2021-06-26 00:00:00+00:00,1.9706,2.0
2021-06-27 00:00:00+00:00,1.0448,2.0
2021-06-28 00:00:00+00:00,2.5152,19.0
2021-06-29 00:00:00+00:00,2.6766,39.0
2021-06-30 00:00:00+00:00,1.6399,12.0
2021-07-01 00:00:00+00:00,1.7406,20.0
2021-07-02 00:00:00+00:00,1.11,27.0
2021-07-03 00:00:00+00:00,0.8456,7.0
2021-07-04 00:00:00+00:00,0.612,3.0
2021-07-05 00:00:00+00:00,1.3368,10.0
2021-07-06 00:00:00+00:00,2.327,36.0
2021-07-07 00:00:00+00:00,1.7817,20.0
2021-07-08 00:00:00+00:00,2.1804,12.0
2021-07-09 00:00:00+00:00,2.037,18.0
2021-07-10 00:00:00+00:00,0.0,0.0
2021-07-11 00:00:00+00:00,3.2882,2.0
2021-07-12 00:00:00+00:00,2.4324,14.0
2021-07-13 00:00:00+00:00,1.9338,17.0
2021-07-14 00:00:00+00:00,1.9644,26.0
2021-07-15 00:00:00+00:00,1.2174,20.0
2021-07-16 00:00:00+00:00,1.0949,31.0
2021-07-17 00:00:00+00:00,0.0,0.0
2021-07-18 00:00:00+00:00,0.8892,3.0
2021-07-19 00:00:00+00:00,1.9351,15.0
2021-07-20 00:00:00+00:00,1.8301,17.0
2021-07-21 00:00:00+00:00,1.4462,12.0
2021-07-22 00:00:00+00:00,1.225,24.0
2021-07-23 00:00:00+00:00,0.5724,14.0
2021-07-24 00:00:00+00:00,0.0,0.0
2021-07-25 00:00:00+00:00,2.838,2.0
2021-07-26 00:00:00+00:00,1.5234,10.0
2021-07-27 00:00:00+00:00,1.6985,21.0
2021-07-28 00:00:00+00:00,1.613,17.0
2021-07-29 00:00:00+00:00,0.7759,29.0
2021-07-30 00:00:00+00:00,1.0049,20.0
2021-07-31 00:00:00+00:00,2.6518,1.0
2021-08-01 00:00:00+00:00,0.0,0.0
2021-08-02 00:00:00+00:00,3.0747,14.0
2021-08-03 00:00:00+00:00,2.8204,15.0
2021-08-04 00:00:00+00:00,1.9101,20.0
2021-08-05 00:00:00+00:00,2.2428,13.0
2021-08-06 00:00:00+00:00,1.6351,17.0
2021-08-07 00:00:00+00:00,1.1135,2.0
2021-08-08 00:00:00+00:00,1.4067,7.0
2021-08-09 00:00:00+00:00,1.9417,6.0
2021-08-10 00:00:00+00:00,2.4988,7.0
2021-08-11 00:00:00+00:00,2.5072,23.0
2021-08-12 00:00:00+00:00,2.4775,22.0
2021-08-13 00:00:00+00:00,1.9727,7.0
2021-08-14 00:00:00+00:00,3.0,1.0
2021-08-15 00:00:00+00:00,0.0,0.0
2021-08-16 00:00:00+00:00,1.8537,5.0
2021-08-17 00:00:00+00:00,1.295,9.0
2021-08-18 00:00:00+00:00,1.5799,13.0
