date,sent,buzz
2020-07-17 00:00:00+00:00,-0.6203,5.0
2020-07-18 00:00:00+00:00,0.4083,4.0
2020-07-19 00:00:00+00:00,-2.5773,1.0
2020-07-20 00:00:00+00:00,1.8898,5.0
2020-07-21 00:00:00+00:00,1.9053,4.0
2020-07-22 00:00:00+00:00,3.0881,9.0
2020-07-23 00:00:00+00:00,3.7966,5.0
2020-07-24 00:00:00+00:00,-1.3358,12.0
2020-07-25 00:00:00+00:00,-1.7241,1.0
2020-07-26 00:00:00+00:00,-0.1297,3.0
2020-07-27 00:00:00+00:00,-0.3003,2.0
2020-07-28 00:00:00+00:00,0.5894,6.0
2020-07-29 00:00:00+00:00,0.7701,7.0
2020-07-30 00:00:00+00:00,0.7749,42.0
2020-07-31 00:00:00+00:00,3.1695,3.0
2020-08-01 00:00:00+00:00,-2.1876,6.0
2020-08-02 00:00:00+00:00,0.678,1.0
2020-08-03 00:00:00+00:00,-0.2385,2.0
2020-08-04 00:00:00+00:00,0.7783,4.0
2020-08-05 00:00:00+00:00,4.3493,6.0
2020-08-06 00:00:00+00:00,-0.0863,7.0
2020-08-07 00:00:00+00:00,-0.8485,19.0
2020-08-08 00:00:00+00:00,-0.5453,3.0
2020-08-09 00:00:00+00:00,1.0385,2.0
2020-08-10 00:00:00+00:00,-0.7946,5.0
2020-08-11 00:00:00+00:00,2.7701,1.0
2020-08-12 00:00:00+00:00,1.6721,6.0
2020-08-13 00:00:00+00:00,-0.646,14.0
2020-08-14 00:00:00+00:00,-1.5746,6.0
2020-08-15 00:00:00+00:00,-0.1035,7.0
2020-08-16 00:00:00+00:00,-0.9028,6.0
2020-08-17 00:00:00+00:00,-0.5918,5.0
2020-08-18 00:00:00+00:00,0.8487,9.0
2020-08-19 00:00:00+00:00,0.2717,13.0
2020-08-20 00:00:00+00:00,0.8958,14.0
2020-08-21 00:00:00+00:00,0.5397,7.0
2020-08-22 00:00:00+00:00,1.6584,2.0
2020-08-23 00:00:00+00:00,-0.6313,3.0
2020-08-24 00:00:00+00:00,-0.0743,8.0
2020-08-25 00:00:00+00:00,0.9731,5.0
2020-08-26 00:00:00+00:00,1.1039,5.0
2020-08-27 00:00:00+00:00,0.0441,8.0
2020-08-28 00:00:00+00:00,1.4379,4.0
2020-08-29 00:00:00+00:00,0.0,1.0
2020-08-30 00:00:00+00:00,0.0,0.0
2020-08-31 00:00:00+00:00,0.72,4.0
2020-09-01 00:00:00+00:00,1.2867,14.0
2020-09-02 00:00:00+00:00,0.0217,42.0
2020-09-03 00:00:00+00:00,0.9301,19.0
2020-09-04 00:00:00+00:00,-0.0831,2.0
2020-09-05 00:00:00+00:00,-2.0134,1.0
2020-09-06 00:00:00+00:00,-0.527,1.0
2020-09-07 00:00:00+00:00,0.7881,9.0
2020-09-08 00:00:00+00:00,1.6219,13.0
2020-09-09 00:00:00+00:00,0.0837,5.0
2020-09-10 00:00:00+00:00,-0.2759,6.0
2020-09-11 00:00:00+00:00,-0.3947,6.0
2020-09-12 00:00:00+00:00,1.3418,1.0
2020-09-13 00:00:00+00:00,0.7465,2.0
2020-09-14 00:00:00+00:00,-0.248,21.0
2020-09-15 00:00:00+00:00,-0.0866,23.0
2020-09-16 00:00:00+00:00,-0.0264,10.0
2020-09-17 00:00:00+00:00,0.3346,12.0
2020-09-18 00:00:00+00:00,0.9254,7.0
2020-09-19 00:00:00+00:00,1.2107,1.0
2020-09-20 00:00:00+00:00,-0.5453,5.0
2020-09-21 00:00:00+00:00,0.6443,16.0
2020-09-22 00:00:00+00:00,0.9273,10.0
2020-09-23 00:00:00+00:00,1.1017,8.0
2020-09-24 00:00:00+00:00,0.2023,8.0
2020-09-25 00:00:00+00:00,-0.0588,8.0
2020-09-26 00:00:00+00:00,-0.4036,1.0
2020-09-27 00:00:00+00:00,-0.8392,4.0
2020-09-28 00:00:00+00:00,0.0078,10.0
2020-09-29 00:00:00+00:00,0.4152,39.0
2020-09-30 00:00:00+00:00,-1.0432,87.0
2020-10-01 00:00:00+00:00,-0.0846,10.0
2020-10-02 00:00:00+00:00,-0.244,6.0
2020-10-03 00:00:00+00:00,-0.9822,4.0
2020-10-04 00:00:00+00:00,2.5949,4.0
2020-10-05 00:00:00+00:00,0.0077,5.0
2020-10-06 00:00:00+00:00,0.3248,7.0
2020-10-07 00:00:00+00:00,0.4136,12.0
2020-10-08 00:00:00+00:00,0.9249,20.0
2020-10-09 00:00:00+00:00,1.6284,2.0
2020-10-10 00:00:00+00:00,0.5292,9.0
2020-10-11 00:00:00+00:00,0.0,0.0
2020-10-12 00:00:00+00:00,0.8931,7.0
2020-10-13 00:00:00+00:00,1.5632,16.0
2020-10-14 00:00:00+00:00,1.2044,5.0
2020-10-15 00:00:00+00:00,-0.5954,5.0
2020-10-16 00:00:00+00:00,0.0,0.0
2020-10-17 00:00:00+00:00,-1.4493,1.0
2020-10-18 00:00:00+00:00,1.4398,1.0
2020-10-19 00:00:00+00:00,3.9017,3.0
2020-10-21 00:00:00+00:00,2.0891,12.0
2020-10-22 00:00:00+00:00,-0.1865,11.0
2020-10-23 00:00:00+00:00,0.2033,4.0
2020-10-24 00:00:00+00:00,-1.0386,3.0
2020-10-25 00:00:00+00:00,-1.463,1.0
2020-10-26 00:00:00+00:00,1.5133,2.0
2020-10-27 00:00:00+00:00,1.3835,19.0
2020-10-28 00:00:00+00:00,3.099,1.0
2020-10-29 00:00:00+00:00,-1.3587,23.0
2020-10-30 00:00:00+00:00,-0.9294,1.0
2020-10-31 00:00:00+00:00,1.519,1.0
2020-11-01 00:00:00+00:00,0.0,0.0
2020-11-02 00:00:00+00:00,1.0417,1.0
2020-11-03 00:00:00+00:00,1.325,3.0
2020-11-04 00:00:00+00:00,0.5055,5.0
2020-11-05 00:00:00+00:00,-2.9888,1.0
2020-11-06 00:00:00+00:00,0.0,0.0
2020-11-07 00:00:00+00:00,0.0,0.0
2020-11-08 00:00:00+00:00,1.2036,1.0
2020-11-09 00:00:00+00:00,0.1684,1.0
2020-11-10 00:00:00+00:00,-0.7016,4.0
2020-11-11 00:00:00+00:00,-0.1256,5.0
2020-11-12 00:00:00+00:00,0.0,0.0
2020-11-13 00:00:00+00:00,0.0,0.0
2020-11-14 00:00:00+00:00,0.0,0.0
2020-11-15 00:00:00+00:00,-2.1406,4.0
2020-11-16 00:00:00+00:00,-2.7465,7.0
2020-11-17 00:00:00+00:00,-1.0987,6.0
2020-11-18 00:00:00+00:00,1.8813,11.0
2020-11-19 00:00:00+00:00,1.5159,12.0
2020-11-20 00:00:00+00:00,1.3649,18.0
2020-11-21 00:00:00+00:00,0.44,8.0
2020-11-22 00:00:00+00:00,-0.9704,3.0
2020-11-23 00:00:00+00:00,0.488,22.0
2020-11-24 00:00:00+00:00,1.3006,11.0
2020-11-25 00:00:00+00:00,2.3215,15.0
2020-11-26 00:00:00+00:00,0.5963,6.0
2020-11-27 00:00:00+00:00,1.8019,5.0
2020-11-28 00:00:00+00:00,-0.5375,2.0
2020-11-29 00:00:00+00:00,-1.63,5.0
2020-11-30 00:00:00+00:00,0.6235,5.0
2020-12-01 00:00:00+00:00,0.8694,64.0
2020-12-02 00:00:00+00:00,0.6395,31.0
2020-12-03 00:00:00+00:00,1.2167,9.0
2020-12-04 00:00:00+00:00,-0.1465,21.0
2020-12-05 00:00:00+00:00,0.9947,6.0
2020-12-06 00:00:00+00:00,0.2835,3.0
2020-12-07 00:00:00+00:00,0.5719,6.0
2020-12-08 00:00:00+00:00,2.0415,22.0
2020-12-09 00:00:00+00:00,1.1824,10.0
2020-12-10 00:00:00+00:00,-0.5787,11.0
2020-12-11 00:00:00+00:00,-2.8858,7.0
2020-12-12 00:00:00+00:00,-0.7937,4.0
2020-12-13 00:00:00+00:00,1.9235,2.0
2020-12-14 00:00:00+00:00,2.1117,9.0
2020-12-15 00:00:00+00:00,1.6659,3.0
2020-12-16 00:00:00+00:00,2.0225,11.0
2020-12-17 00:00:00+00:00,0.3883,8.0
2020-12-18 00:00:00+00:00,0.3603,3.0
2020-12-19 00:00:00+00:00,-2.2128,2.0
2020-12-20 00:00:00+00:00,1.2574,2.0
2020-12-21 00:00:00+00:00,1.5214,10.0
2020-12-22 00:00:00+00:00,-0.1608,4.0
2020-12-23 00:00:00+00:00,0.8965,11.0
2020-12-24 00:00:00+00:00,-1.1836,2.0
2020-12-25 00:00:00+00:00,0.0,0.0
2020-12-26 00:00:00+00:00,0.2714,1.0
2020-12-27 00:00:00+00:00,0.759,1.0
2020-12-28 00:00:00+00:00,1.4024,15.0
2020-12-29 00:00:00+00:00,0.7305,20.0
2020-12-30 00:00:00+00:00,1.1666,5.0
2020-12-31 00:00:00+00:00,0.139,7.0
2021-01-01 00:00:00+00:00,-0.4774,6.0
2021-01-02 00:00:00+00:00,-0.5797,2.0
2021-01-03 00:00:00+00:00,0.7439,6.0
2021-01-04 00:00:00+00:00,0.2805,6.0
2021-01-05 00:00:00+00:00,-0.5746,101.0
2021-01-06 00:00:00+00:00,0.4596,36.0
2021-01-07 00:00:00+00:00,1.4155,43.0
2021-01-08 00:00:00+00:00,0.2365,131.0
2021-01-09 00:00:00+00:00,0.7577,15.0
2021-01-10 00:00:00+00:00,-0.3758,8.0
2021-01-11 00:00:00+00:00,3.1944,13.0
2021-01-12 00:00:00+00:00,0.4973,15.0
2021-01-13 00:00:00+00:00,2.081,5.0
2021-01-14 00:00:00+00:00,0.8998,18.0
2021-01-15 00:00:00+00:00,0.2094,19.0
2021-01-16 00:00:00+00:00,-1.2896,3.0
2021-01-17 00:00:00+00:00,-1.6388,3.0
2021-01-18 00:00:00+00:00,-0.1391,16.0
2021-01-19 00:00:00+00:00,1.5765,6.0
2021-01-20 00:00:00+00:00,-0.159,40.0
2021-01-21 00:00:00+00:00,1.6686,8.0
2021-01-22 00:00:00+00:00,1.8611,44.0
2021-01-23 00:00:00+00:00,2.4574,9.0
2021-01-24 00:00:00+00:00,0.0,0.0
2021-01-25 00:00:00+00:00,1.0078,17.0
2021-01-26 00:00:00+00:00,1.5272,16.0
2021-01-27 00:00:00+00:00,2.2094,15.0
2021-01-28 00:00:00+00:00,0.7404,16.0
2021-01-29 00:00:00+00:00,1.6722,17.0
2021-01-30 00:00:00+00:00,2.9409,5.0
2021-01-31 00:00:00+00:00,1.1124,5.0
2021-02-01 00:00:00+00:00,-0.4164,8.0
2021-02-02 00:00:00+00:00,1.229,10.0
2021-02-03 00:00:00+00:00,2.0759,6.0
2021-02-04 00:00:00+00:00,1.8452,11.0
2021-02-05 00:00:00+00:00,0.9825,3.0
2021-02-06 00:00:00+00:00,1.2242,2.0
2021-02-07 00:00:00+00:00,0.2801,1.0
2021-02-08 00:00:00+00:00,2.8056,6.0
2021-02-09 00:00:00+00:00,2.7994,5.0
2021-02-10 00:00:00+00:00,0.2043,2.0
2021-02-11 00:00:00+00:00,0.0282,20.0
2021-02-12 00:00:00+00:00,0.3869,8.0
2021-02-13 00:00:00+00:00,-2.1158,2.0
2021-02-14 00:00:00+00:00,0.4167,1.0
2021-02-15 00:00:00+00:00,0.3145,7.0
2021-02-16 00:00:00+00:00,-0.7146,5.0
2021-02-17 00:00:00+00:00,-0.1118,21.0
2021-02-18 00:00:00+00:00,0.3705,5.0
2021-02-19 00:00:00+00:00,1.121,6.0
2021-02-20 00:00:00+00:00,0.3298,2.0
