date,sent,buzz
2020-07-15 00:00:00+00:00,1.8299,81.0
2020-07-16 00:00:00+00:00,1.2769,49.0
2020-07-17 00:00:00+00:00,1.196,52.0
2020-07-18 00:00:00+00:00,0.2604,19.0
2020-07-19 00:00:00+00:00,1.4524,7.0
2020-07-20 00:00:00+00:00,1.2742,53.0
2020-07-21 00:00:00+00:00,1.5314,70.0
2020-07-22 00:00:00+00:00,1.4807,82.0
2020-07-23 00:00:00+00:00,0.688,95.0
2020-07-24 00:00:00+00:00,-1.129,69.0
2020-07-25 00:00:00+00:00,-0.203,15.0
2020-07-26 00:00:00+00:00,0.1945,10.0
2020-07-27 00:00:00+00:00,0.7537,40.0
2020-07-28 00:00:00+00:00,0.4644,54.0
2020-07-29 00:00:00+00:00,-0.2055,38.0
2020-07-30 00:00:00+00:00,1.028,57.0
2020-07-31 00:00:00+00:00,0.9962,67.0
2020-08-01 00:00:00+00:00,-0.5506,73.0
2020-08-02 00:00:00+00:00,-1.4746,37.0
2020-08-03 00:00:00+00:00,-0.1717,73.0
2020-08-04 00:00:00+00:00,1.8466,102.0
2020-08-05 00:00:00+00:00,0.4579,53.0
2020-08-06 00:00:00+00:00,-0.0095,49.0
2020-08-07 00:00:00+00:00,-0.6361,78.0
2020-08-08 00:00:00+00:00,1.0708,47.0
2020-08-09 00:00:00+00:00,-1.3555,25.0
2020-08-10 00:00:00+00:00,-0.4049,54.0
2020-08-11 00:00:00+00:00,1.4217,44.0
2020-08-12 00:00:00+00:00,0.4993,31.0
2020-08-13 00:00:00+00:00,1.3207,72.0
2020-08-14 00:00:00+00:00,1.2837,47.0
2020-08-15 00:00:00+00:00,1.5957,30.0
2020-08-16 00:00:00+00:00,1.0679,11.0
2020-08-17 00:00:00+00:00,1.1029,44.0
2020-08-18 00:00:00+00:00,0.6023,52.0
2020-08-19 00:00:00+00:00,0.7958,40.0
2020-08-20 00:00:00+00:00,1.6643,50.0
2020-08-21 00:00:00+00:00,1.7992,36.0
2020-08-22 00:00:00+00:00,1.4226,13.0
2020-08-23 00:00:00+00:00,-1.1853,4.0
2020-08-24 00:00:00+00:00,1.2987,71.0
2020-08-25 00:00:00+00:00,0.9989,88.0
2020-08-26 00:00:00+00:00,1.4593,31.0
2020-08-27 00:00:00+00:00,0.3915,49.0
2020-08-28 00:00:00+00:00,1.6742,56.0
2020-08-29 00:00:00+00:00,1.8664,14.0
2020-08-30 00:00:00+00:00,1.2349,8.0
2020-08-31 00:00:00+00:00,1.7424,47.0
2020-09-01 00:00:00+00:00,1.245,50.0
2020-09-02 00:00:00+00:00,1.4647,62.0
2020-09-03 00:00:00+00:00,1.5076,67.0
2020-09-04 00:00:00+00:00,1.1077,71.0
2020-09-05 00:00:00+00:00,0.7072,18.0
2020-09-06 00:00:00+00:00,-0.5547,25.0
2020-09-07 00:00:00+00:00,1.5994,45.0
2020-09-08 00:00:00+00:00,1.3426,69.0
2020-09-09 00:00:00+00:00,1.1351,67.0
2020-09-10 00:00:00+00:00,0.8035,76.0
2020-09-11 00:00:00+00:00,0.7503,74.0
2020-09-12 00:00:00+00:00,1.1557,18.0
2020-09-13 00:00:00+00:00,1.1417,19.0
2020-09-14 00:00:00+00:00,-0.0786,166.0
2020-09-15 00:00:00+00:00,1.8253,63.0
