date,sent,buzz
2020-07-14 00:00:00+00:00,1.6585,6.0
2020-07-15 00:00:00+00:00,2.1416,7.0
2020-07-16 00:00:00+00:00,0.8403,1.0
2020-07-17 00:00:00+00:00,1.6248,2.0
2020-07-18 00:00:00+00:00,1.0276,2.0
2020-07-19 00:00:00+00:00,0.3704,1.0
2020-07-20 00:00:00+00:00,2.281,6.0
2020-07-21 00:00:00+00:00,1.8048,6.0
2020-07-22 00:00:00+00:00,2.2711,14.0
2020-07-23 00:00:00+00:00,1.0811,17.0
2020-07-24 00:00:00+00:00,0.2795,10.0
2020-07-25 00:00:00+00:00,0.0,0.0
2020-07-26 00:00:00+00:00,1.2867,2.0
2020-07-27 00:00:00+00:00,2.3428,2.0
2020-07-28 00:00:00+00:00,2.307,15.0
2020-07-29 00:00:00+00:00,1.4341,7.0
2020-07-30 00:00:00+00:00,0.9097,15.0
2020-07-31 00:00:00+00:00,1.7993,11.0
2020-08-01 00:00:00+00:00,0.2851,3.0
2020-08-02 00:00:00+00:00,0.6686,6.0
2020-08-03 00:00:00+00:00,1.2185,3.0
2020-08-04 00:00:00+00:00,1.7095,7.0
2020-08-05 00:00:00+00:00,0.4119,4.0
2020-08-06 00:00:00+00:00,2.5042,8.0
2020-08-07 00:00:00+00:00,1.0959,5.0
2020-08-08 00:00:00+00:00,2.0265,16.0
2020-08-09 00:00:00+00:00,0.0,0.0
2020-08-10 00:00:00+00:00,1.0873,2.0
2020-08-11 00:00:00+00:00,2.2753,3.0
2020-08-12 00:00:00+00:00,0.5435,7.0
2020-08-13 00:00:00+00:00,0.6672,6.0
2020-08-14 00:00:00+00:00,1.7897,8.0
2020-08-15 00:00:00+00:00,3.0317,5.0
2020-08-16 00:00:00+00:00,1.6698,2.0
2020-08-17 00:00:00+00:00,1.1929,17.0
2020-08-18 00:00:00+00:00,0.9159,11.0
2020-08-19 00:00:00+00:00,0.7102,15.0
2020-08-20 00:00:00+00:00,0.8299,18.0
2020-08-21 00:00:00+00:00,2.0591,5.0
2020-08-22 00:00:00+00:00,-0.299,5.0
2020-08-23 00:00:00+00:00,0.0,0.0
2020-08-24 00:00:00+00:00,1.2768,21.0
2020-08-25 00:00:00+00:00,1.4532,6.0
2020-08-26 00:00:00+00:00,0.8908,9.0
2020-08-27 00:00:00+00:00,1.6651,2.0
