date,sent,buzz
2020-07-16 00:00:00+00:00,1.5938,17.0
2020-07-17 00:00:00+00:00,1.7634,10.0
2020-07-18 00:00:00+00:00,2.7435,2.0
2020-07-19 00:00:00+00:00,1.6679,3.0
2020-07-20 00:00:00+00:00,1.1945,22.0
2020-07-21 00:00:00+00:00,1.1059,34.0
2020-07-22 00:00:00+00:00,1.1698,27.0
2020-07-23 00:00:00+00:00,0.9032,23.0
2020-07-24 00:00:00+00:00,1.7507,15.0
2020-07-25 00:00:00+00:00,0.6673,1.0
2020-07-26 00:00:00+00:00,0.675,1.0
2020-07-27 00:00:00+00:00,0.175,28.0
2020-07-28 00:00:00+00:00,1.2138,39.0
2020-07-29 00:00:00+00:00,0.602,17.0
2020-07-30 00:00:00+00:00,1.2809,25.0
2020-07-31 00:00:00+00:00,1.2611,16.0
2020-08-01 00:00:00+00:00,2.0868,7.0
2020-08-02 00:00:00+00:00,1.1821,18.0
2020-08-03 00:00:00+00:00,1.8517,6.0
2020-08-04 00:00:00+00:00,0.8231,21.0
2020-08-05 00:00:00+00:00,1.0483,16.0
2020-08-06 00:00:00+00:00,1.4479,10.0
2020-08-07 00:00:00+00:00,0.9374,7.0
2020-08-08 00:00:00+00:00,1.7122,5.0
2020-08-09 00:00:00+00:00,1.5236,6.0
2020-08-10 00:00:00+00:00,1.4588,14.0
2020-08-11 00:00:00+00:00,1.1962,18.0
2020-08-12 00:00:00+00:00,1.0407,27.0
2020-08-13 00:00:00+00:00,1.3644,14.0
2020-08-14 00:00:00+00:00,1.244,22.0
2020-08-15 00:00:00+00:00,1.7356,5.0
2020-08-16 00:00:00+00:00,2.29,8.0
2020-08-17 00:00:00+00:00,-0.9303,23.0
2020-08-18 00:00:00+00:00,-0.381,33.0
2020-08-19 00:00:00+00:00,0.6441,17.0
2020-08-20 00:00:00+00:00,0.8989,19.0
2020-08-21 00:00:00+00:00,0.7454,9.0
2020-08-22 00:00:00+00:00,-1.0224,4.0
2020-08-23 00:00:00+00:00,1.5817,1.0
2020-08-24 00:00:00+00:00,1.0585,21.0
2020-08-25 00:00:00+00:00,1.5761,22.0
2020-08-26 00:00:00+00:00,1.9193,17.0
2020-08-27 00:00:00+00:00,0.7247,15.0
2020-08-28 00:00:00+00:00,1.834,7.0
2020-08-29 00:00:00+00:00,0.5979,4.0
2020-08-30 00:00:00+00:00,-1.6851,7.0
2020-08-31 00:00:00+00:00,0.9814,18.0
2020-09-01 00:00:00+00:00,0.3238,15.0
2020-09-02 00:00:00+00:00,1.2037,18.0
2020-09-03 00:00:00+00:00,1.2189,23.0
2020-09-04 00:00:00+00:00,1.4065,9.0
2020-09-05 00:00:00+00:00,1.4172,9.0
2020-09-06 00:00:00+00:00,1.3514,2.0
2020-09-07 00:00:00+00:00,1.443,21.0
2020-09-08 00:00:00+00:00,1.4098,18.0
2020-09-09 00:00:00+00:00,0.5222,15.0
2020-09-10 00:00:00+00:00,1.4744,13.0
2020-09-11 00:00:00+00:00,1.8747,17.0
2020-09-12 00:00:00+00:00,1.3418,1.0
2020-09-13 00:00:00+00:00,1.5193,5.0
2020-09-14 00:00:00+00:00,0.4922,33.0
2020-09-15 00:00:00+00:00,1.0567,12.0
2020-09-16 00:00:00+00:00,1.1635,15.0
2020-09-17 00:00:00+00:00,0.9723,19.0
2020-09-18 00:00:00+00:00,0.0517,20.0
2020-09-19 00:00:00+00:00,-1.2111,4.0
2020-09-20 00:00:00+00:00,1.149,3.0
2020-09-21 00:00:00+00:00,2.1727,51.0
2020-09-22 00:00:00+00:00,1.4024,33.0
2020-09-23 00:00:00+00:00,1.0619,28.0
2020-09-24 00:00:00+00:00,1.9369,18.0
2020-09-25 00:00:00+00:00,0.3347,12.0
2020-09-26 00:00:00+00:00,1.5796,3.0
2020-09-27 00:00:00+00:00,3.7445,1.0
2020-09-28 00:00:00+00:00,1.1731,20.0
2020-09-29 00:00:00+00:00,1.5488,21.0
2020-09-30 00:00:00+00:00,2.2316,15.0
2020-10-01 00:00:00+00:00,2.2079,16.0
2020-10-02 00:00:00+00:00,0.0489,4.0
2020-10-03 00:00:00+00:00,1.3117,6.0
2020-10-04 00:00:00+00:00,0.0,0.0
2020-10-05 00:00:00+00:00,1.046,16.0
2020-10-06 00:00:00+00:00,2.2214,11.0
2020-10-07 00:00:00+00:00,0.9831,13.0
2020-10-08 00:00:00+00:00,1.484,37.0
2020-10-09 00:00:00+00:00,1.5861,17.0
2020-10-10 00:00:00+00:00,-0.0119,7.0
2020-10-11 00:00:00+00:00,1.3925,4.0
2020-10-12 00:00:00+00:00,1.237,14.0
2020-10-13 00:00:00+00:00,2.2806,23.0
2020-10-14 00:00:00+00:00,1.912,28.0
2020-10-15 00:00:00+00:00,2.1189,8.0
2020-10-16 00:00:00+00:00,2.1315,2.0
2020-10-17 00:00:00+00:00,3.9237,4.0
2020-10-18 00:00:00+00:00,0.0,0.0
2020-10-19 00:00:00+00:00,1.0142,2.0
2020-10-21 00:00:00+00:00,0.2981,13.0
2020-10-22 00:00:00+00:00,0.9325,6.0
2020-10-23 00:00:00+00:00,0.0,0.0
2020-10-24 00:00:00+00:00,0.1308,3.0
2020-10-25 00:00:00+00:00,-1.463,1.0
2020-10-26 00:00:00+00:00,0.5918,17.0
2020-10-27 00:00:00+00:00,1.2728,21.0
2020-10-28 00:00:00+00:00,1.3569,11.0
2020-10-29 00:00:00+00:00,1.4873,8.0
