date,sent,buzz
2024-10-21 00:00:00+00:00,-2.2935,4.0
2024-10-22 00:00:00+00:00,1.0569,1.0
2024-10-23 00:00:00+00:00,3.2787,1.0
2024-10-24 00:00:00+00:00,0.0,0.0
2024-10-25 00:00:00+00:00,1.6335,1.0
2024-10-26 00:00:00+00:00,0.0,0.0
2024-10-27 00:00:00+00:00,0.0,0.0
2024-10-28 00:00:00+00:00,-2.0619,1.0
2024-10-29 00:00:00+00:00,0.0,0.0
2024-10-30 00:00:00+00:00,0.0,0.0
2024-10-31 00:00:00+00:00,0.0,0.0
2024-11-01 00:00:00+00:00,0.0,0.0
2024-11-02 00:00:00+00:00,0.0,0.0
2024-11-03 00:00:00+00:00,0.0,0.0
2024-11-04 00:00:00+00:00,0.0,0.0
2024-11-05 00:00:00+00:00,4.2735,1.0
2024-11-06 00:00:00+00:00,0.0,0.0
2024-11-07 00:00:00+00:00,0.0,0.0
2024-11-08 00:00:00+00:00,0.0,0.0
2024-11-09 00:00:00+00:00,0.0,0.0
2024-11-10 00:00:00+00:00,0.0,0.0
2024-11-11 00:00:00+00:00,0.0,0.0
2024-11-12 00:00:00+00:00,0.0,0.0
2024-11-13 00:00:00+00:00,0.0,0.0
2024-11-14 00:00:00+00:00,0.0,0.0
2024-11-15 00:00:00+00:00,0.0,0.0
2024-11-16 00:00:00+00:00,0.0,0.0
2024-11-17 00:00:00+00:00,0.0,0.0
2024-11-18 00:00:00+00:00,0.0,0.0
2024-11-19 00:00:00+00:00,-0.7064,4.0
2024-11-20 00:00:00+00:00,1.3342,2.0
2024-11-21 00:00:00+00:00,0.0,0.0
2024-11-22 00:00:00+00:00,0.0,0.0
2024-11-23 00:00:00+00:00,0.0,0.0
2024-11-24 00:00:00+00:00,1.139,1.0
2024-11-25 00:00:00+00:00,0.0,0.0
2024-11-26 00:00:00+00:00,3.562,1.0
2024-11-27 00:00:00+00:00,0.0,0.0
2024-11-28 00:00:00+00:00,0.0,0.0
2024-11-29 00:00:00+00:00,0.0,0.0
2024-11-30 00:00:00+00:00,0.0,0.0
2024-12-01 00:00:00+00:00,0.0,0.0
2024-12-02 00:00:00+00:00,0.9457,11.0
2024-12-03 00:00:00+00:00,1.1566,3.0
2024-12-04 00:00:00+00:00,0.0,0.0
2024-12-05 00:00:00+00:00,2.8963,2.0
2024-12-06 00:00:00+00:00,-0.1368,1.0
2024-12-07 00:00:00+00:00,0.0,0.0
2024-12-08 00:00:00+00:00,0.0,0.0
2024-12-09 00:00:00+00:00,1.6546,2.0
2024-12-10 00:00:00+00:00,-1.4815,1.0
2024-12-11 00:00:00+00:00,0.0,0.0
2024-12-12 00:00:00+00:00,0.0,0.0
2024-12-13 00:00:00+00:00,4.9793,1.0
2024-12-14 00:00:00+00:00,0.0,0.0
2024-12-15 00:00:00+00:00,0.0,0.0
2024-12-16 00:00:00+00:00,0.0,0.0
2024-12-17 00:00:00+00:00,4.1152,1.0
2024-12-18 00:00:00+00:00,0.0,0.0
2024-12-19 00:00:00+00:00,0.0,0.0
2024-12-20 00:00:00+00:00,-4.2716,1.0
2024-12-21 00:00:00+00:00,0.0,0.0
2024-12-22 00:00:00+00:00,0.0,0.0
2024-12-23 00:00:00+00:00,0.0,0.0
2024-12-24 00:00:00+00:00,0.0,0.0
2024-12-25 00:00:00+00:00,0.0847,1.0
2024-12-26 00:00:00+00:00,0.0,0.0
2024-12-27 00:00:00+00:00,0.0,0.0
2024-12-28 00:00:00+00:00,0.0,0.0
2024-12-29 00:00:00+00:00,-0.1229,1.0
2024-12-30 00:00:00+00:00,0.0,0.0
2024-12-31 00:00:00+00:00,0.0,0.0
2025-01-01 00:00:00+00:00,0.0,0.0
2025-01-02 00:00:00+00:00,3.6134,1.0
2025-01-03 00:00:00+00:00,0.0,0.0
2025-01-04 00:00:00+00:00,0.0,0.0
2025-01-05 00:00:00+00:00,0.0,0.0
2025-01-06 00:00:00+00:00,0.0,0.0
2025-01-07 00:00:00+00:00,4.3103,1.0
2025-01-08 00:00:00+00:00,0.6309,1.0
2025-01-09 00:00:00+00:00,0.0,0.0
2025-01-10 00:00:00+00:00,3.6585,1.0
2025-01-11 00:00:00+00:00,0.0,0.0
2025-01-12 00:00:00+00:00,0.0,0.0
2025-01-13 00:00:00+00:00,0.0,0.0
2025-01-14 00:00:00+00:00,0.0,0.0
2025-01-15 00:00:00+00:00,3.2258,1.0
2025-01-16 00:00:00+00:00,0.0,0.0
2025-01-17 00:00:00+00:00,0.0,0.0
2025-01-18 00:00:00+00:00,2.3359,1.0
2025-01-19 00:00:00+00:00,0.2448,1.0
2025-01-20 00:00:00+00:00,0.0,0.0
2025-01-21 00:00:00+00:00,0.0,0.0
2025-01-22 00:00:00+00:00,5.0633,1.0
2025-01-23 00:00:00+00:00,0.507,1.0
2025-01-24 00:00:00+00:00,0.7465,2.0
2025-01-25 00:00:00+00:00,3.5527,2.0
2025-01-26 00:00:00+00:00,0.0,0.0
2025-01-27 00:00:00+00:00,2.2827,2.0
2025-01-28 00:00:00+00:00,-1.6827,1.0
2025-01-29 00:00:00+00:00,0.0,0.0
2025-01-30 00:00:00+00:00,0.0,0.0
2025-01-31 00:00:00+00:00,2.5385,3.0
2025-02-01 00:00:00+00:00,3.2374,1.0
2025-02-02 00:00:00+00:00,0.0,0.0
2025-02-03 00:00:00+00:00,0.0,0.0
2025-02-04 00:00:00+00:00,0.0,0.0
2025-02-05 00:00:00+00:00,0.0,0.0
2025-02-06 00:00:00+00:00,1.8738,2.0
2025-02-07 00:00:00+00:00,3.2374,1.0
2025-02-08 00:00:00+00:00,3.1373,1.0
2025-02-09 00:00:00+00:00,0.0,0.0
2025-02-10 00:00:00+00:00,-0.1695,1.0
2025-02-11 00:00:00+00:00,3.2143,1.0
2025-02-12 00:00:00+00:00,0.0,0.0
2025-02-13 00:00:00+00:00,0.0,0.0
2025-02-14 00:00:00+00:00,1.103,6.0
2025-02-15 00:00:00+00:00,2.01,2.0
2025-02-16 00:00:00+00:00,0.8629,2.0
2025-02-17 00:00:00+00:00,-0.1983,3.0
2025-02-18 00:00:00+00:00,4.026,1.0
2025-02-19 00:00:00+00:00,0.9863,3.0
2025-02-20 00:00:00+00:00,-0.1547,5.0
2025-02-21 00:00:00+00:00,2.8303,6.0
2025-02-22 00:00:00+00:00,0.4745,2.0
2025-02-23 00:00:00+00:00,0.4752,4.0
2025-02-24 00:00:00+00:00,3.5587,1.0
2025-02-25 00:00:00+00:00,1.5014,4.0
2025-02-26 00:00:00+00:00,2.0321,2.0
2025-02-27 00:00:00+00:00,0.0,0.0
2025-02-28 00:00:00+00:00,3.1239,3.0
2025-03-01 00:00:00+00:00,2.8391,1.0
2025-03-02 00:00:00+00:00,0.0,0.0
2025-03-03 00:00:00+00:00,-1.2917,1.0
2025-03-04 00:00:00+00:00,-2.7368,1.0
2025-03-05 00:00:00+00:00,2.5004,3.0
2025-03-06 00:00:00+00:00,1.6667,1.0
2025-03-07 00:00:00+00:00,3.0913,2.0
2025-03-08 00:00:00+00:00,3.3445,1.0
2025-03-09 00:00:00+00:00,0.0,2.0
2025-03-10 00:00:00+00:00,2.4631,1.0
2025-03-11 00:00:00+00:00,0.0,0.0
2025-03-12 00:00:00+00:00,-1.0145,2.0
2025-03-13 00:00:00+00:00,0.0,0.0
2025-03-14 00:00:00+00:00,3.7565,1.0
2025-03-15 00:00:00+00:00,0.0,0.0
2025-03-16 00:00:00+00:00,0.0,0.0
2025-03-17 00:00:00+00:00,2.8794,1.0
2025-03-18 00:00:00+00:00,3.6675,1.0
2025-03-19 00:00:00+00:00,2.6951,3.0
2025-03-20 00:00:00+00:00,2.7181,2.0
2025-03-21 00:00:00+00:00,2.8504,1.0
2025-03-22 00:00:00+00:00,1.3158,2.0
2025-03-23 00:00:00+00:00,0.3797,1.0
2025-03-24 00:00:00+00:00,-1.8957,1.0
2025-03-25 00:00:00+00:00,0.0,0.0
2025-03-26 00:00:00+00:00,2.6634,1.0
2025-03-27 00:00:00+00:00,-0.5477,2.0
2025-03-28 00:00:00+00:00,2.864,1.0
2025-03-29 00:00:00+00:00,0.0,0.0
2025-03-30 00:00:00+00:00,0.0,0.0
2025-03-31 00:00:00+00:00,0.0,0.0
2025-04-01 00:00:00+00:00,0.0,0.0
2025-04-02 00:00:00+00:00,2.5052,1.0
2025-04-03 00:00:00+00:00,1.7844,4.0
2025-04-04 00:00:00+00:00,0.0,0.0
2025-04-05 00:00:00+00:00,2.9163,2.0
2025-04-06 00:00:00+00:00,0.0,0.0
2025-04-07 00:00:00+00:00,0.0,0.0
2025-04-08 00:00:00+00:00,0.0,1.0
2025-04-09 00:00:00+00:00,0.0,0.0
2025-04-10 00:00:00+00:00,0.0,0.0
2025-04-11 00:00:00+00:00,0.0,0.0
