date,sent,buzz
2020-07-13 00:00:00+00:00,2.1497,27.0
2020-07-14 00:00:00+00:00,2.111,20.0
2020-07-15 00:00:00+00:00,1.9197,46.0
2020-07-16 00:00:00+00:00,1.8244,33.0
2020-07-17 00:00:00+00:00,0.7902,48.0
2020-07-18 00:00:00+00:00,1.2608,12.0
2020-07-19 00:00:00+00:00,1.3324,7.0
2020-07-20 00:00:00+00:00,2.1125,30.0
2020-07-21 00:00:00+00:00,2.077,27.0
2020-07-22 00:00:00+00:00,1.6519,44.0
2020-07-23 00:00:00+00:00,1.9416,82.0
2020-07-24 00:00:00+00:00,1.5966,29.0
2020-07-25 00:00:00+00:00,1.2899,8.0
2020-07-26 00:00:00+00:00,0.9525,4.0
2020-07-27 00:00:00+00:00,1.5922,25.0
2020-07-28 00:00:00+00:00,1.3415,23.0
2020-07-29 00:00:00+00:00,2.0856,18.0
2020-07-30 00:00:00+00:00,1.0786,27.0
2020-07-31 00:00:00+00:00,1.1835,48.0
2020-08-01 00:00:00+00:00,1.3148,19.0
2020-08-02 00:00:00+00:00,0.0,0.0
2020-08-03 00:00:00+00:00,1.4147,25.0
2020-08-04 00:00:00+00:00,1.9885,26.0
2020-08-05 00:00:00+00:00,0.5313,28.0
2020-08-06 00:00:00+00:00,1.3139,19.0
2020-08-07 00:00:00+00:00,1.9592,19.0
2020-08-08 00:00:00+00:00,1.6092,18.0
2020-08-09 00:00:00+00:00,-0.7139,1.0
2020-08-10 00:00:00+00:00,2.6863,27.0
2020-08-11 00:00:00+00:00,2.0866,44.0
2020-08-12 00:00:00+00:00,1.0514,24.0
2020-08-13 00:00:00+00:00,1.529,37.0
2020-08-14 00:00:00+00:00,2.0407,27.0
2020-08-15 00:00:00+00:00,2.3371,9.0
2020-08-16 00:00:00+00:00,2.0434,5.0
2020-08-17 00:00:00+00:00,1.2756,18.0
2020-08-18 00:00:00+00:00,0.5091,60.0
2020-08-19 00:00:00+00:00,1.4588,40.0
2020-08-20 00:00:00+00:00,0.6436,26.0
2020-08-21 00:00:00+00:00,1.2141,27.0
2020-08-22 00:00:00+00:00,1.4443,13.0
2020-08-23 00:00:00+00:00,0.1182,4.0
2020-08-24 00:00:00+00:00,1.5354,42.0
2020-08-25 00:00:00+00:00,1.2155,42.0
2020-08-26 00:00:00+00:00,1.5635,22.0
2020-08-27 00:00:00+00:00,0.9983,25.0
2020-08-28 00:00:00+00:00,1.2002,41.0
2020-08-29 00:00:00+00:00,1.1887,14.0
2020-08-30 00:00:00+00:00,0.0116,5.0
2020-08-31 00:00:00+00:00,1.2281,35.0
2020-09-01 00:00:00+00:00,0.9301,30.0
2020-09-02 00:00:00+00:00,1.1591,41.0
2020-09-03 00:00:00+00:00,1.7931,62.0
2020-09-04 00:00:00+00:00,1.3714,37.0
2020-09-05 00:00:00+00:00,1.7728,12.0
2020-09-06 00:00:00+00:00,1.7998,1.0
2020-09-07 00:00:00+00:00,1.164,30.0
2020-09-08 00:00:00+00:00,1.7582,47.0
2020-09-09 00:00:00+00:00,1.4564,31.0
2020-09-10 00:00:00+00:00,1.3053,28.0
2020-09-11 00:00:00+00:00,1.5411,42.0
2020-09-12 00:00:00+00:00,0.6789,19.0
2020-09-13 00:00:00+00:00,1.7028,7.0
2020-09-14 00:00:00+00:00,0.3563,74.0
2020-09-15 00:00:00+00:00,1.3628,49.0
2020-09-16 00:00:00+00:00,1.3172,55.0
2020-09-17 00:00:00+00:00,0.7726,47.0
2020-09-18 00:00:00+00:00,-0.8332,50.0
2020-09-19 00:00:00+00:00,0.4804,46.0
2020-09-20 00:00:00+00:00,-0.2107,104.0
2020-09-21 00:00:00+00:00,1.1929,60.0
2020-09-22 00:00:00+00:00,1.6938,50.0
2020-09-23 00:00:00+00:00,1.4935,53.0
2020-09-24 00:00:00+00:00,1.7404,39.0
2020-09-25 00:00:00+00:00,1.3081,41.0
2020-09-26 00:00:00+00:00,-0.8192,14.0
2020-09-27 00:00:00+00:00,-1.024,7.0
