date,sent,buzz
2020-07-16 00:00:00+00:00,-1.4308,10.0
2020-07-17 00:00:00+00:00,-1.4042,10.0
2020-07-18 00:00:00+00:00,-0.606,3.0
2020-07-19 00:00:00+00:00,-2.2578,2.0
2020-07-20 00:00:00+00:00,-0.6053,14.0
2020-07-21 00:00:00+00:00,0.6364,6.0
2020-07-22 00:00:00+00:00,-1.1905,13.0
2020-07-23 00:00:00+00:00,0.4984,14.0
2020-07-24 00:00:00+00:00,-0.6324,13.0
2020-07-25 00:00:00+00:00,0.8497,4.0
2020-07-26 00:00:00+00:00,1.4184,1.0
2020-07-27 00:00:00+00:00,0.5728,6.0
2020-07-28 00:00:00+00:00,1.2071,12.0
2020-07-29 00:00:00+00:00,0.8788,8.0
2020-07-30 00:00:00+00:00,1.3735,8.0
2020-07-31 00:00:00+00:00,-0.6026,10.0
2020-08-01 00:00:00+00:00,-0.439,7.0
2020-08-02 00:00:00+00:00,0.997,2.0
2020-08-03 00:00:00+00:00,0.975,7.0
2020-08-04 00:00:00+00:00,0.4512,31.0
2020-08-05 00:00:00+00:00,1.0137,14.0
2020-08-06 00:00:00+00:00,1.0156,15.0
2020-08-07 00:00:00+00:00,-4.004,1.0
2020-08-08 00:00:00+00:00,0.4348,2.0
2020-08-09 00:00:00+00:00,-0.4277,1.0
2020-08-10 00:00:00+00:00,1.0966,6.0
2020-08-11 00:00:00+00:00,0.2653,13.0
2020-08-12 00:00:00+00:00,1.9954,6.0
2020-08-13 00:00:00+00:00,0.4969,16.0
2020-08-14 00:00:00+00:00,-0.6807,7.0
2020-08-15 00:00:00+00:00,0.1996,6.0
2020-08-16 00:00:00+00:00,-0.1486,1.0
2020-08-17 00:00:00+00:00,-0.4867,7.0
2020-08-18 00:00:00+00:00,1.6901,10.0
2020-08-19 00:00:00+00:00,0.0531,10.0
2020-08-20 00:00:00+00:00,1.1217,19.0
2020-08-21 00:00:00+00:00,0.464,23.0
2020-08-22 00:00:00+00:00,-0.295,6.0
2020-08-23 00:00:00+00:00,-0.2049,5.0
2020-08-24 00:00:00+00:00,0.3768,43.0
2020-08-25 00:00:00+00:00,1.001,46.0
2020-08-26 00:00:00+00:00,1.9067,14.0
2020-08-27 00:00:00+00:00,1.6405,11.0
2020-08-28 00:00:00+00:00,-0.2924,22.0
2020-08-29 00:00:00+00:00,0.0,0.0
2020-08-30 00:00:00+00:00,0.0,0.0
2020-08-31 00:00:00+00:00,0.8054,4.0
2020-09-01 00:00:00+00:00,-0.2895,19.0
2020-09-02 00:00:00+00:00,3.318,14.0
2020-09-03 00:00:00+00:00,1.5556,21.0
2020-09-04 00:00:00+00:00,0.0784,13.0
2020-09-05 00:00:00+00:00,-4.2581,2.0
2020-09-06 00:00:00+00:00,-8.5903,1.0
2020-09-07 00:00:00+00:00,1.3392,5.0
2020-09-08 00:00:00+00:00,1.926,18.0
2020-09-09 00:00:00+00:00,0.8455,13.0
2020-09-10 00:00:00+00:00,-0.8325,12.0
2020-09-11 00:00:00+00:00,-0.8486,10.0
2020-09-12 00:00:00+00:00,-0.5572,4.0
2020-09-13 00:00:00+00:00,1.7914,2.0
2020-09-14 00:00:00+00:00,0.3401,8.0
2020-09-15 00:00:00+00:00,3.209,12.0
2020-09-16 00:00:00+00:00,-1.9968,38.0
2020-09-17 00:00:00+00:00,0.4769,17.0
2020-09-18 00:00:00+00:00,0.1054,5.0
2020-09-19 00:00:00+00:00,-3.4226,2.0
2020-09-20 00:00:00+00:00,-1.0889,2.0
2020-09-21 00:00:00+00:00,-0.9971,3.0
2020-09-22 00:00:00+00:00,1.4062,10.0
2020-09-23 00:00:00+00:00,1.5749,22.0
2020-09-24 00:00:00+00:00,0.6622,9.0
2020-09-25 00:00:00+00:00,1.5748,19.0
2020-09-26 00:00:00+00:00,1.4238,3.0
2020-09-27 00:00:00+00:00,0.8695,5.0
2020-09-28 00:00:00+00:00,1.2215,12.0
2020-09-29 00:00:00+00:00,0.5672,31.0
2020-09-30 00:00:00+00:00,0.5578,25.0
2020-10-01 00:00:00+00:00,0.7885,13.0
2020-10-02 00:00:00+00:00,0.0167,5.0
2020-10-03 00:00:00+00:00,0.1731,2.0
2020-10-04 00:00:00+00:00,2.6046,4.0
2020-10-05 00:00:00+00:00,1.9453,4.0
2020-10-06 00:00:00+00:00,0.4769,13.0
2020-10-07 00:00:00+00:00,0.6173,10.0
2020-10-08 00:00:00+00:00,2.51,15.0
2020-10-09 00:00:00+00:00,0.5128,2.0
2020-10-10 00:00:00+00:00,0.8166,2.0
2020-10-11 00:00:00+00:00,-0.9389,4.0
2020-10-12 00:00:00+00:00,-1.0911,8.0
2020-10-13 00:00:00+00:00,0.9846,10.0
2020-10-14 00:00:00+00:00,1.6709,7.0
2020-10-15 00:00:00+00:00,0.9124,3.0
2020-10-16 00:00:00+00:00,3.9796,1.0
2020-10-17 00:00:00+00:00,0.8099,2.0
2020-10-18 00:00:00+00:00,2.6135,2.0
2020-10-19 00:00:00+00:00,2.0226,2.0
2020-10-21 00:00:00+00:00,2.3943,12.0
2020-10-22 00:00:00+00:00,0.6096,5.0
2020-10-23 00:00:00+00:00,0.7818,2.0
2020-10-24 00:00:00+00:00,0.0,0.0
2020-10-25 00:00:00+00:00,0.1724,1.0
2020-10-26 00:00:00+00:00,0.091,5.0
2020-10-27 00:00:00+00:00,-0.8951,4.0
2020-10-28 00:00:00+00:00,0.2147,6.0
2020-10-29 00:00:00+00:00,3.8063,12.0
2020-10-30 00:00:00+00:00,5.2542,1.0
2020-10-31 00:00:00+00:00,0.3274,2.0
2020-11-01 00:00:00+00:00,0.3311,1.0
2020-11-02 00:00:00+00:00,1.0504,2.0
2020-11-03 00:00:00+00:00,1.3251,9.0
2020-11-04 00:00:00+00:00,1.4919,6.0
2020-11-05 00:00:00+00:00,-0.143,6.0
2020-11-06 00:00:00+00:00,-0.6154,7.0
2020-11-07 00:00:00+00:00,0.0,0.0
2020-11-08 00:00:00+00:00,4.329,1.0
2020-11-09 00:00:00+00:00,0.2583,3.0
2020-11-10 00:00:00+00:00,0.0,0.0
2020-11-11 00:00:00+00:00,1.0753,2.0
2020-11-12 00:00:00+00:00,-1.3199,4.0
2020-11-13 00:00:00+00:00,0.0,0.0
2020-11-14 00:00:00+00:00,0.0,0.0
2020-11-15 00:00:00+00:00,-0.7726,2.0
2020-11-16 00:00:00+00:00,-0.1896,16.0
2020-11-17 00:00:00+00:00,-0.606,4.0
2020-11-18 00:00:00+00:00,1.5363,34.0
2020-11-19 00:00:00+00:00,0.184,9.0
2020-11-20 00:00:00+00:00,-1.1228,13.0
2020-11-21 00:00:00+00:00,0.4591,3.0
2020-11-22 00:00:00+00:00,2.5689,6.0
2020-11-23 00:00:00+00:00,1.4366,5.0
2020-11-24 00:00:00+00:00,1.0443,23.0
2020-11-25 00:00:00+00:00,0.3906,24.0
2020-11-26 00:00:00+00:00,0.8494,12.0
2020-11-27 00:00:00+00:00,0.7343,11.0
2020-11-28 00:00:00+00:00,-1.8577,5.0
2020-11-29 00:00:00+00:00,0.8226,1.0
2020-11-30 00:00:00+00:00,0.9547,6.0
2020-12-01 00:00:00+00:00,1.1457,11.0
2020-12-02 00:00:00+00:00,1.5107,29.0
2020-12-03 00:00:00+00:00,2.0457,19.0
2020-12-04 00:00:00+00:00,3.0256,8.0
2020-12-05 00:00:00+00:00,1.6523,3.0
2020-12-06 00:00:00+00:00,-3.3639,1.0
2020-12-07 00:00:00+00:00,0.9138,7.0
2020-12-08 00:00:00+00:00,0.7858,15.0
2020-12-09 00:00:00+00:00,0.1878,18.0
2020-12-10 00:00:00+00:00,2.3276,19.0
2020-12-11 00:00:00+00:00,0.9008,10.0
2020-12-12 00:00:00+00:00,2.0038,1.0
2020-12-13 00:00:00+00:00,-1.0978,3.0
2020-12-14 00:00:00+00:00,0.8289,22.0
2020-12-15 00:00:00+00:00,0.84,21.0
2020-12-16 00:00:00+00:00,0.7624,20.0
2020-12-17 00:00:00+00:00,1.3981,22.0
2020-12-18 00:00:00+00:00,-2.5974,55.0
2020-12-19 00:00:00+00:00,-3.8967,38.0
2020-12-20 00:00:00+00:00,-2.0233,6.0
2020-12-21 00:00:00+00:00,-0.7252,9.0
2020-12-22 00:00:00+00:00,0.0623,17.0
2020-12-23 00:00:00+00:00,-0.9177,13.0
2020-12-24 00:00:00+00:00,-3.1114,21.0
2020-12-25 00:00:00+00:00,-3.2667,5.0
2020-12-26 00:00:00+00:00,-1.7042,2.0
2020-12-27 00:00:00+00:00,1.4257,1.0
2020-12-28 00:00:00+00:00,-0.6602,7.0
2020-12-29 00:00:00+00:00,2.9358,16.0
2020-12-30 00:00:00+00:00,0.9988,14.0
2020-12-31 00:00:00+00:00,0.0276,12.0
2021-01-01 00:00:00+00:00,0.7747,3.0
2021-01-02 00:00:00+00:00,1.9298,3.0
2021-01-03 00:00:00+00:00,0.0,0.0
2021-01-04 00:00:00+00:00,0.0257,9.0
2021-01-05 00:00:00+00:00,1.2277,12.0
2021-01-06 00:00:00+00:00,0.6451,7.0
2021-01-07 00:00:00+00:00,0.5515,9.0
2021-01-08 00:00:00+00:00,0.1455,13.0
2021-01-09 00:00:00+00:00,0.0,0.0
2021-01-10 00:00:00+00:00,0.0,0.0
2021-01-11 00:00:00+00:00,0.8344,14.0
2021-01-12 00:00:00+00:00,0.9958,16.0
2021-01-13 00:00:00+00:00,0.4137,24.0
2021-01-14 00:00:00+00:00,1.3214,17.0
2021-01-15 00:00:00+00:00,1.1301,5.0
2021-01-16 00:00:00+00:00,-0.7036,3.0
2021-01-17 00:00:00+00:00,0.0,0.0
2021-01-18 00:00:00+00:00,0.0716,11.0
2021-01-19 00:00:00+00:00,1.0292,16.0
2021-01-20 00:00:00+00:00,1.1441,24.0
2021-01-21 00:00:00+00:00,1.1526,12.0
2021-01-22 00:00:00+00:00,3.1967,7.0
2021-01-23 00:00:00+00:00,-0.8596,2.0
2021-01-24 00:00:00+00:00,-0.9988,4.0
