date,sent,buzz
2020-07-14 00:00:00+00:00,0.0,0.0
2020-07-15 00:00:00+00:00,-0.1471,2.0
2020-07-16 00:00:00+00:00,-0.2424,2.0
2020-07-17 00:00:00+00:00,2.9971,3.0
2020-07-18 00:00:00+00:00,2.0045,1.0
2020-07-19 00:00:00+00:00,0.0,0.0
2020-07-20 00:00:00+00:00,1.6173,1.0
2020-07-21 00:00:00+00:00,-1.9397,3.0
2020-07-22 00:00:00+00:00,1.1171,22.0
2020-07-23 00:00:00+00:00,0.0,0.0
2020-07-24 00:00:00+00:00,-1.4811,4.0
2020-07-25 00:00:00+00:00,0.0,0.0
2020-07-26 00:00:00+00:00,0.0,0.0
2020-07-27 00:00:00+00:00,3.8301,2.0
2020-07-28 00:00:00+00:00,0.9354,6.0
2020-07-29 00:00:00+00:00,0.6526,26.0
2020-07-30 00:00:00+00:00,0.5367,4.0
2020-07-31 00:00:00+00:00,0.6374,4.0
2020-08-01 00:00:00+00:00,0.0,0.0
2020-08-02 00:00:00+00:00,0.0,0.0
2020-08-03 00:00:00+00:00,-1.0545,1.0
2020-08-04 00:00:00+00:00,1.8563,10.0
2020-08-05 00:00:00+00:00,0.0,0.0
2020-08-06 00:00:00+00:00,0.7709,1.0
2020-08-07 00:00:00+00:00,1.8602,3.0
2020-08-08 00:00:00+00:00,-0.2947,2.0
2020-08-09 00:00:00+00:00,0.4071,1.0
2020-08-10 00:00:00+00:00,-0.1921,1.0
2020-08-11 00:00:00+00:00,2.718,3.0
2020-08-12 00:00:00+00:00,1.4768,2.0
2020-08-13 00:00:00+00:00,4.5589,4.0
2020-08-14 00:00:00+00:00,0.0,0.0
2020-08-15 00:00:00+00:00,0.0,0.0
2020-08-16 00:00:00+00:00,0.0,0.0
2020-08-17 00:00:00+00:00,0.9617,2.0
2020-08-18 00:00:00+00:00,1.6702,2.0
2020-08-19 00:00:00+00:00,2.0289,12.0
2020-08-20 00:00:00+00:00,1.3807,3.0
2020-08-21 00:00:00+00:00,1.8588,3.0
2020-08-22 00:00:00+00:00,0.5602,1.0
2020-08-23 00:00:00+00:00,0.0,0.0
2020-08-24 00:00:00+00:00,1.1505,5.0
2020-08-25 00:00:00+00:00,1.2136,1.0
2020-08-26 00:00:00+00:00,0.3598,2.0
2020-08-27 00:00:00+00:00,2.3249,3.0
2020-08-28 00:00:00+00:00,0.2636,2.0
2020-08-29 00:00:00+00:00,-7.1429,1.0
2020-08-30 00:00:00+00:00,-6.2016,1.0
2020-08-31 00:00:00+00:00,0.6816,1.0
2020-09-01 00:00:00+00:00,3.0904,10.0
2020-09-02 00:00:00+00:00,2.2892,3.0
2020-09-03 00:00:00+00:00,3.0555,3.0
2020-09-04 00:00:00+00:00,0.0178,4.0
2020-09-05 00:00:00+00:00,0.0,0.0
