date,sent,buzz
2020-07-16 00:00:00+00:00,0.7542,88.0
2020-07-17 00:00:00+00:00,-0.3074,44.0
2020-07-18 00:00:00+00:00,-0.3343,16.0
2020-07-19 00:00:00+00:00,1.2633,37.0
2020-07-20 00:00:00+00:00,0.4977,39.0
2020-07-21 00:00:00+00:00,0.0645,32.0
2020-07-22 00:00:00+00:00,0.3411,39.0
2020-07-23 00:00:00+00:00,-0.7376,44.0
2020-07-24 00:00:00+00:00,-1.0413,70.0
2020-07-25 00:00:00+00:00,-0.665,24.0
2020-07-26 00:00:00+00:00,-0.2083,22.0
2020-07-27 00:00:00+00:00,0.0019,128.0
2020-07-28 00:00:00+00:00,0.0865,129.0
2020-07-29 00:00:00+00:00,0.2858,49.0
2020-07-30 00:00:00+00:00,0.1654,38.0
2020-07-31 00:00:00+00:00,-0.3006,39.0
2020-08-01 00:00:00+00:00,0.0864,24.0
2020-08-02 00:00:00+00:00,1.1583,11.0
2020-08-03 00:00:00+00:00,0.4351,22.0
2020-08-04 00:00:00+00:00,0.3141,33.0
2020-08-05 00:00:00+00:00,0.1019,26.0
2020-08-06 00:00:00+00:00,0.3834,32.0
2020-08-07 00:00:00+00:00,-0.2991,30.0
2020-08-08 00:00:00+00:00,-3.062,72.0
2020-08-09 00:00:00+00:00,-1.9951,40.0
2020-08-10 00:00:00+00:00,-1.5489,52.0
2020-08-11 00:00:00+00:00,0.1768,30.0
2020-08-12 00:00:00+00:00,0.0681,43.0
2020-08-13 00:00:00+00:00,0.6029,46.0
2020-08-14 00:00:00+00:00,-0.6524,26.0
2020-08-15 00:00:00+00:00,0.264,10.0
2020-08-16 00:00:00+00:00,-1.4253,6.0
2020-08-17 00:00:00+00:00,-1.0357,106.0
2020-08-18 00:00:00+00:00,-2.6548,148.0
2020-08-19 00:00:00+00:00,-1.1119,35.0
2020-08-20 00:00:00+00:00,-1.9715,82.0
2020-08-21 00:00:00+00:00,0.0245,14.0
2020-08-22 00:00:00+00:00,0.7638,6.0
2020-08-23 00:00:00+00:00,-0.2317,12.0
2020-08-24 00:00:00+00:00,-0.5412,31.0
2020-08-25 00:00:00+00:00,0.4545,45.0
2020-08-26 00:00:00+00:00,1.0152,30.0
2020-08-27 00:00:00+00:00,0.0988,37.0
2020-08-28 00:00:00+00:00,-2.5127,45.0
2020-08-29 00:00:00+00:00,-2.2515,5.0
2020-08-30 00:00:00+00:00,0.0299,6.0
2020-08-31 00:00:00+00:00,-0.1387,30.0
2020-09-01 00:00:00+00:00,-0.0488,83.0
2020-09-02 00:00:00+00:00,0.7586,56.0
2020-09-03 00:00:00+00:00,-0.6216,48.0
2020-09-04 00:00:00+00:00,-0.7454,22.0
2020-09-05 00:00:00+00:00,-2.1243,34.0
2020-09-06 00:00:00+00:00,-0.6898,19.0
2020-09-07 00:00:00+00:00,-1.4326,53.0
2020-09-08 00:00:00+00:00,-0.395,22.0
2020-09-09 00:00:00+00:00,-0.353,31.0
2020-09-10 00:00:00+00:00,-0.1042,26.0
2020-09-11 00:00:00+00:00,1.1702,16.0
2020-09-12 00:00:00+00:00,-0.0091,15.0
2020-09-13 00:00:00+00:00,-0.4658,24.0
2020-09-14 00:00:00+00:00,-0.2603,43.0
2020-09-15 00:00:00+00:00,0.3236,41.0
2020-09-16 00:00:00+00:00,0.3863,31.0
2020-09-17 00:00:00+00:00,-0.7798,58.0
2020-09-18 00:00:00+00:00,0.5379,7.0
2020-09-19 00:00:00+00:00,0.4296,45.0
2020-09-20 00:00:00+00:00,1.0754,26.0
2020-09-21 00:00:00+00:00,-0.3387,65.0
2020-09-22 00:00:00+00:00,0.9608,67.0
2020-09-23 00:00:00+00:00,0.956,75.0
2020-09-24 00:00:00+00:00,0.6614,42.0
2020-09-25 00:00:00+00:00,-0.1849,30.0
2020-09-26 00:00:00+00:00,-0.3751,12.0
2020-09-27 00:00:00+00:00,-1.066,10.0
2020-09-28 00:00:00+00:00,-0.8738,35.0
2020-09-29 00:00:00+00:00,-0.1547,23.0
2020-09-30 00:00:00+00:00,0.617,21.0
2020-10-01 00:00:00+00:00,-0.468,21.0
2020-10-02 00:00:00+00:00,1.3027,32.0
2020-10-03 00:00:00+00:00,0.0486,16.0
2020-10-04 00:00:00+00:00,-0.5821,29.0
2020-10-05 00:00:00+00:00,-1.1515,17.0
2020-10-06 00:00:00+00:00,-0.3326,18.0
