date,sent,buzz
2020-07-13 00:00:00+00:00,1.6483,6.0
2020-07-14 00:00:00+00:00,1.5055,6.0
2020-07-15 00:00:00+00:00,1.7392,24.0
2020-07-16 00:00:00+00:00,0.7942,9.0
2020-07-17 00:00:00+00:00,0.5612,8.0
2020-07-18 00:00:00+00:00,0.6721,3.0
2020-07-19 00:00:00+00:00,2.8822,1.0
2020-07-20 00:00:00+00:00,3.2871,4.0
2020-07-21 00:00:00+00:00,1.8778,5.0
2020-07-22 00:00:00+00:00,1.1217,30.0
2020-07-23 00:00:00+00:00,2.4631,13.0
2020-07-24 00:00:00+00:00,1.007,15.0
2020-07-25 00:00:00+00:00,0.9105,4.0
2020-07-26 00:00:00+00:00,1.8911,2.0
2020-07-27 00:00:00+00:00,0.5479,8.0
2020-07-28 00:00:00+00:00,0.9824,11.0
2020-07-29 00:00:00+00:00,0.5003,13.0
2020-07-30 00:00:00+00:00,2.1661,4.0
2020-07-31 00:00:00+00:00,-0.4841,3.0
2020-08-01 00:00:00+00:00,0.9051,7.0
2020-08-02 00:00:00+00:00,1.0199,10.0
2020-08-03 00:00:00+00:00,1.3676,4.0
2020-08-04 00:00:00+00:00,2.2038,12.0
2020-08-05 00:00:00+00:00,0.2666,18.0
2020-08-06 00:00:00+00:00,-1.0271,188.0
2020-08-07 00:00:00+00:00,-0.7493,31.0
2020-08-08 00:00:00+00:00,1.4482,5.0
2020-08-09 00:00:00+00:00,-1.6917,2.0
2020-08-10 00:00:00+00:00,1.1254,5.0
2020-08-11 00:00:00+00:00,0.7975,32.0
2020-08-12 00:00:00+00:00,1.6105,14.0
2020-08-13 00:00:00+00:00,0.186,14.0
2020-08-14 00:00:00+00:00,0.6459,15.0
2020-08-15 00:00:00+00:00,0.0,0.0
2020-08-16 00:00:00+00:00,-2.1602,2.0
2020-08-17 00:00:00+00:00,0.7189,3.0
2020-08-18 00:00:00+00:00,-0.0263,6.0
2020-08-19 00:00:00+00:00,0.319,10.0
2020-08-20 00:00:00+00:00,1.4841,15.0
2020-08-21 00:00:00+00:00,0.889,26.0
2020-08-22 00:00:00+00:00,1.5735,5.0
2020-08-23 00:00:00+00:00,0.4427,4.0
2020-08-24 00:00:00+00:00,1.3572,15.0
2020-08-25 00:00:00+00:00,2.8023,12.0
2020-08-26 00:00:00+00:00,0.6587,7.0
2020-08-27 00:00:00+00:00,0.7768,17.0
2020-08-28 00:00:00+00:00,0.8488,15.0
2020-08-29 00:00:00+00:00,0.7312,4.0
2020-08-30 00:00:00+00:00,0.6552,3.0
2020-08-31 00:00:00+00:00,2.1402,6.0
2020-09-01 00:00:00+00:00,1.0489,8.0
2020-09-02 00:00:00+00:00,2.1728,12.0
2020-09-03 00:00:00+00:00,1.4128,19.0
2020-09-04 00:00:00+00:00,0.0056,14.0
2020-09-05 00:00:00+00:00,0.0,0.0
2020-09-06 00:00:00+00:00,3.0975,3.0
2020-09-07 00:00:00+00:00,1.3188,7.0
2020-09-08 00:00:00+00:00,-0.6735,9.0
2020-09-09 00:00:00+00:00,0.4437,8.0
2020-09-10 00:00:00+00:00,0.2483,8.0
2020-09-11 00:00:00+00:00,0.7897,5.0
2020-09-12 00:00:00+00:00,-1.7691,2.0
2020-09-13 00:00:00+00:00,1.2541,5.0
2020-09-14 00:00:00+00:00,1.6115,5.0
2020-09-15 00:00:00+00:00,2.1781,22.0
2020-09-16 00:00:00+00:00,0.7526,23.0
2020-09-17 00:00:00+00:00,2.2142,8.0
2020-09-18 00:00:00+00:00,1.1454,20.0
2020-09-19 00:00:00+00:00,0.2964,3.0
2020-09-20 00:00:00+00:00,0.0,0.0
2020-09-21 00:00:00+00:00,-0.0641,17.0
2020-09-22 00:00:00+00:00,-1.1957,9.0
2020-09-23 00:00:00+00:00,0.5817,35.0
2020-09-24 00:00:00+00:00,0.9778,21.0
2020-09-25 00:00:00+00:00,0.4901,9.0
2020-09-26 00:00:00+00:00,1.0908,6.0
2020-09-27 00:00:00+00:00,1.4777,5.0
2020-09-28 00:00:00+00:00,3.0991,14.0
2020-09-29 00:00:00+00:00,1.2558,8.0
2020-09-30 00:00:00+00:00,2.2475,32.0
2020-10-01 00:00:00+00:00,1.4429,18.0
2020-10-02 00:00:00+00:00,0.4498,4.0
2020-10-03 00:00:00+00:00,0.0,0.0
2020-10-04 00:00:00+00:00,-0.8595,3.0
2020-10-05 00:00:00+00:00,0.5992,9.0
2020-10-06 00:00:00+00:00,0.8872,5.0
2020-10-07 00:00:00+00:00,1.3822,5.0
2020-10-08 00:00:00+00:00,1.5214,37.0
2020-10-09 00:00:00+00:00,0.9165,6.0
2020-10-10 00:00:00+00:00,1.956,15.0
2020-10-11 00:00:00+00:00,2.738,4.0
2020-10-12 00:00:00+00:00,3.0715,10.0
2020-10-13 00:00:00+00:00,2.0341,25.0
2020-10-14 00:00:00+00:00,2.25,21.0
2020-10-15 00:00:00+00:00,3.6248,6.0
2020-10-16 00:00:00+00:00,0.7146,1.0
2020-10-17 00:00:00+00:00,0.9182,1.0
2020-10-18 00:00:00+00:00,0.782,1.0
2020-10-19 00:00:00+00:00,1.5187,8.0
2020-10-21 00:00:00+00:00,1.327,13.0
2020-10-22 00:00:00+00:00,0.1657,6.0
2020-10-23 00:00:00+00:00,0.347,5.0
2020-10-24 00:00:00+00:00,0.1676,1.0
2020-10-25 00:00:00+00:00,0.8014,3.0
2020-10-26 00:00:00+00:00,2.195,21.0
2020-10-27 00:00:00+00:00,1.8359,13.0
2020-10-28 00:00:00+00:00,3.8161,15.0
2020-10-29 00:00:00+00:00,0.7766,10.0
2020-10-30 00:00:00+00:00,-2.7431,1.0
2020-10-31 00:00:00+00:00,-1.3716,2.0
2020-11-01 00:00:00+00:00,0.0,0.0
2020-11-02 00:00:00+00:00,0.9732,1.0
2020-11-03 00:00:00+00:00,0.7606,5.0
2020-11-04 00:00:00+00:00,1.1218,5.0
2020-11-05 00:00:00+00:00,1.626,6.0
2020-11-06 00:00:00+00:00,1.1465,4.0
2020-11-07 00:00:00+00:00,0.6456,2.0
2020-11-08 00:00:00+00:00,1.7077,2.0
2020-11-09 00:00:00+00:00,1.1915,7.0
2020-11-10 00:00:00+00:00,0.9553,10.0
2020-11-11 00:00:00+00:00,1.9364,6.0
2020-11-12 00:00:00+00:00,1.0678,3.0
2020-11-13 00:00:00+00:00,0.0,0.0
2020-11-14 00:00:00+00:00,0.0,0.0
2020-11-15 00:00:00+00:00,0.3992,4.0
2020-11-16 00:00:00+00:00,2.258,5.0
2020-11-17 00:00:00+00:00,0.8839,6.0
2020-11-18 00:00:00+00:00,2.4066,24.0
2020-11-19 00:00:00+00:00,2.2626,10.0
2020-11-20 00:00:00+00:00,1.167,17.0
2020-11-21 00:00:00+00:00,1.379,4.0
2020-11-22 00:00:00+00:00,1.6625,22.0
2020-11-23 00:00:00+00:00,2.1342,10.0
2020-11-24 00:00:00+00:00,0.8426,12.0
2020-11-25 00:00:00+00:00,0.96,14.0
2020-11-26 00:00:00+00:00,0.3829,18.0
2020-11-27 00:00:00+00:00,1.2547,20.0
2020-11-28 00:00:00+00:00,1.4447,9.0
2020-11-29 00:00:00+00:00,0.8795,29.0
2020-11-30 00:00:00+00:00,0.9765,22.0
2020-12-01 00:00:00+00:00,1.1816,14.0
2020-12-02 00:00:00+00:00,-0.5774,12.0
2020-12-03 00:00:00+00:00,0.9634,12.0
2020-12-04 00:00:00+00:00,1.3715,11.0
2020-12-05 00:00:00+00:00,1.4294,2.0
2020-12-06 00:00:00+00:00,2.9881,3.0
2020-12-07 00:00:00+00:00,2.3264,7.0
2020-12-08 00:00:00+00:00,1.4503,23.0
2020-12-09 00:00:00+00:00,1.5309,17.0
2020-12-10 00:00:00+00:00,0.9446,3.0
2020-12-11 00:00:00+00:00,2.1924,7.0
2020-12-12 00:00:00+00:00,0.0,0.0
2020-12-13 00:00:00+00:00,1.6667,1.0
2020-12-14 00:00:00+00:00,0.894,10.0
2020-12-15 00:00:00+00:00,2.5845,13.0
2020-12-16 00:00:00+00:00,1.3975,11.0
2020-12-17 00:00:00+00:00,1.2247,4.0
2020-12-18 00:00:00+00:00,4.8859,22.0
2020-12-19 00:00:00+00:00,1.2437,3.0
2020-12-20 00:00:00+00:00,1.188,2.0
2020-12-21 00:00:00+00:00,0.3168,5.0
2020-12-22 00:00:00+00:00,0.6237,8.0
2020-12-23 00:00:00+00:00,1.2772,7.0
2020-12-24 00:00:00+00:00,1.4659,5.0
2020-12-25 00:00:00+00:00,1.0015,1.0
2020-12-26 00:00:00+00:00,1.6613,3.0
2020-12-27 00:00:00+00:00,0.6305,3.0
2020-12-28 00:00:00+00:00,0.9561,5.0
2020-12-29 00:00:00+00:00,1.0566,11.0
2020-12-30 00:00:00+00:00,1.3631,27.0
2020-12-31 00:00:00+00:00,1.2196,12.0
2021-01-01 00:00:00+00:00,0.6753,1.0
2021-01-02 00:00:00+00:00,0.968,2.0
2021-01-03 00:00:00+00:00,-5.4767,1.0
2021-01-04 00:00:00+00:00,1.8034,12.0
2021-01-05 00:00:00+00:00,-0.1583,11.0
2021-01-06 00:00:00+00:00,2.0421,16.0
2021-01-07 00:00:00+00:00,2.1537,9.0
2021-01-08 00:00:00+00:00,0.1861,8.0
2021-01-09 00:00:00+00:00,0.0401,2.0
2021-01-10 00:00:00+00:00,0.6994,2.0
2021-01-11 00:00:00+00:00,1.4573,19.0
2021-01-12 00:00:00+00:00,2.1492,23.0
2021-01-13 00:00:00+00:00,2.8758,10.0
2021-01-14 00:00:00+00:00,0.6957,13.0
2021-01-15 00:00:00+00:00,-1.2622,12.0
2021-01-16 00:00:00+00:00,2.8419,2.0
2021-01-17 00:00:00+00:00,1.5873,1.0
2021-01-18 00:00:00+00:00,0.2533,10.0
2021-01-19 00:00:00+00:00,2.2954,12.0
2021-01-20 00:00:00+00:00,2.0298,24.0
2021-01-21 00:00:00+00:00,1.8592,9.0
2021-01-22 00:00:00+00:00,0.8074,11.0
2021-01-23 00:00:00+00:00,2.8371,1.0
2021-01-24 00:00:00+00:00,1.3581,3.0
2021-01-25 00:00:00+00:00,1.4557,36.0
2021-01-26 00:00:00+00:00,2.0223,18.0
2021-01-27 00:00:00+00:00,1.7429,13.0
2021-01-28 00:00:00+00:00,0.4339,24.0
2021-01-29 00:00:00+00:00,2.197,38.0
2021-01-30 00:00:00+00:00,1.6507,6.0
2021-01-31 00:00:00+00:00,0.7461,2.0
