,date,title,url,domain
0,2026-06-29,"Alphabet stock pops 4% on Dow debut, but the tech giant faces major AI questions",https://news.google.com/rss/articles/CBMieEFVX3lxTE1Qc0o0SVZsMDY5RmRKQ0RmcFFiTjhqSnl5VHFRQ3dZZmNlQXp3cXNQSW41Rzl0SlBHdzkxYnl3QkZZMjBiN0htQUxFV2NhaW9DVFcxakdaSkV0dmVwbFhEX3owaHpaQl84U21ISC0ybkdCU0F3NGdSZ9IBfkFVX3lxTE9tMGUwNERJVm1pdm42NWExVGZtWHdsSUZrTjYzR1N1cEVmWk40Nm9icWNzNVMxNUI1SjN1Y0hmNUJoRkRJZ0xzTWFTUzRYZjFPYk5KZ2N6ektEMjhsazQ0M0Q4bXQwNkJtYmVBN2VuajQ1TDA3WmkxU0V3UVpXUQ?oc=5,CNBC
1,2026-06-29,Alphabet Stock Analysis: Key Support Test & Momentum Outlook,https://news.google.com/rss/articles/CBMiqwFBVV95cUxQVFRGb0FHeTl5ZTM3Z2dPQXBxRmRBZWVhTW9ZZ2I4RUJkRXpXWVQ4SnFtc0ZXT0hHckRjZ3FzT284SmRrMG9KVXF5dGlGdEtkMnRwdHJjWVhNN1ZEUk9Bb1g3MDRaOHlCT0w2Rko5Skg5amc4dnJUYjZwdjRMbDhPOEJxT1RkQjRuWXlrbWx1UDJYZzRScXRnVHk2cW81ZXRoRFllSkY3QjJQRjg?oc=5,The Cryptonomist
2,2026-06-29,Alphabet joins the DJIA and gains over 4%🚀,https://news.google.com/rss/articles/CBMihgFBVV95cUxOOXo4VFZxQjA5SmJnLXd0UTlacTVtU1NST01RSUotSmJSREFtM1BDZ0F1ZHZ3b1J0M3RJcXZ5RkNFMm5lYkJyOFpYeFY4TXctMmJOWi1kaExnamZTQ3dxNEhzRlZnTHcxT24zb0o5YjZhcFowUFNjbE9QcFBDb2U0SmI3MnNaUQ?oc=5,XTB.com
3,2026-06-29,Alphabet stock rises 4% on Dow debut amid lingering AI questions,https://news.google.com/rss/articles/CBMibEFVX3lxTE02YllveU45ZmNnTG8waEl1M0NNTEJfXzVaM3FIS2JVRlJqUkxBU3NBSU9kbFRIaGFaa0llQlk5U0JzOEhfcHh5STF0REdSVWZJa3B3ajRnOG9oTmlzU3F6MjRIb1Vxb2pwWkFaYg?oc=5,Crypto Briefing
4,2026-06-29,Why Alphabet’s Pullback May Be an Opportunity in Disguise,https://news.google.com/rss/articles/CBMimAFBVV95cUxPbWhHZUxBeE1Va1VxeEY5QjQ2OXAtR2RsakpjZG1Va0JVODBFd3NzTHFNanRSS3hkemFEckE2UVlqSU5ZRjY3TVBOdVQtYlprY1N1alRKYl82RmN5Y3dIWFY2RFZSamd1cmFRcExHUGN5WHd1QVY0ZlFoTHlfMWlJTEhueURiR1JjeVNPODA1Uzl3ZWFldXU3Yw?oc=5,MarketBeat
5,2026-06-29,Google Stock Is Down Double Digits. Warren Buffett and Greg Abel Aren't Worried -- and Here's Why You Shouldn't Be Either.,https://news.google.com/rss/articles/CBMilwFBVV95cUxQZ05WeFpwTl9FbXU4V2xyMWdUcllRMnM2U1cyUGt4UFpkWFZPYUVDUHBlM3k1dTZ3VzdIbzktWVlQVndQTUxOXzQ5bXZ5LVBSS2tTSWJ0V3QwWDJQVDIzSDlUTjZTQXdfTzJzeDlHUThlbDIwaGdPcmQ0cEVSMkpjanQ1dkdqVlY1QUlGSnladFlFZkJoVlpZ?oc=5,The Motley Fool
6,2026-06-29,Alphabet Inc.(NasdaqGS: GOOG) dropped from Russell 3000 Value Benchmark,https://news.google.com/rss/articles/CBMivgFBVV95cUxPM3l6YW9Ud09TUktkcnU2dEN6YW5wc0RyR0gxVTJIMXBHWmtFNGRoVllMYWxvMW1QbFJXQjYzWXA1bjFIbWtCVGxacVlxZ1lVNzRXODdBbVgycTU0VWVhZl95c0NnSEJwMXZ2QVRPM1ctdGlpZFVIdm13aGI1cXExbS0zNGZnNVVnM2h0bUpXZUlzSDMwS3JUMHhfWVBzUnFXUkg4MXJvanB0dWYtZTVYT0JEaVUwNjM3LTdxVnV3?oc=5,marketscreener.com
7,2026-06-29,"Riverbridge Partners LLC Sells 33,714 Shares of Alphabet Inc. $GOOGL",https://news.google.com/rss/articles/CBMixAFBVV95cUxNR1JXY1NRM2tfNTdOUVhHcm10QXBpd2RIUXczSHhnNFdkZE1hbHBYV3Fid2JwSHAzQjE2UE9BTkZaakJGbWtJc2dWYjF6UVBaLUdPVzl1cEpySmNwLVoyVmtFWTVXakwtaHhVWGE0UkM3dzJjaXdjNW5KSFBlNkFzcVM1VlNSRlNDMUxsRHhXNzVjVXF4OFJzdWdUYW1zeFl5T0o3SjZVVUJsTm1ESk1NOW9uY0RRSEdwRmh1U0ZLajViUlA2?oc=5,MarketBeat
8,2026-06-29,Big Tech Entry: Google Parent Alphabet Makes Dow Jones Debut; Stock Jumps 4%,https://news.google.com/rss/articles/CBMiuAFBVV95cUxNbEZKTmtrVmxyMlNuYWxBVVkxMlIzZVpNSjZVR193M1pQSDUxWHdVLTdfVktWUXRBSEx1ZEZLRC1abFA3VVhxbWRkc3dKdUptMnF5cXZHaXBJQThBVVhWY3RWTUx1NlVtVHo2OS1sdVpIVDIzZ1BZRkVsNFUxQndJTVZxaGxyWUUxR1h2a2JYZHVyeDdKY0dMU293ZDRRSURHR3U3T3VkVjVEdC1KbzlOdHAtSEh2RDBm0gHAAUFVX3lxTE9BYmlBdFlOa19KM2FpeGp5dkRvaXJwVWJEZ0FkTU14amFpaHRwX20zN09yeFZ6bTZGSldOZTZjSmdJSzVpS1JzVURGZE5CS2IzRW9KbUt5cmNpbkMwRmFVa0pYbGN1czhiZ0hHODc5Z3JLaUlGbVdFbW5waDd0bHdNb0RBLWFLNmNnUWxfb2psX3ByS05CbVFLS0xadVdGZzBjZlI0U2N6M3dVLXZPM09HdkhvRjJQWTFNLU14c05FRw?oc=5,NDTV Profit
9,2026-06-29,Alphabet debuts in Dow Jones Industrial Average as index tilts toward tech,https://news.google.com/rss/articles/CBMi3AFBVV95cUxPTFF6aE1fWWc2Z2NJWWgtWk5aMW9WNXRiRnVOZmhtZFA1akRYR2twSUxxbjFBaE5hYlVVUGJDS0JJTm9Qb0NOd3NSQkIxVnZLN1dJRVZkME9PTzktM185UlkwNHppd1pZV05xYU5ScHJjT0dkMG1ZT0ROZjE2Y2VJN2FTQW9XNVE4cWtEVmZZUkZuTFRfUTZTdnJXaTVGd0xnUEpaeE1xdkV4ZzJELS1pMHZyUFV0UEE1cTJvNGVuZ25jdWYwNXRVRWZhLVRMdDEtbWEtRzc2U1M5TVQw?oc=5,TradingView
