,date,title,url,domain
0,2026-06-23,"Eat Your Way Through The Alphabet, And I'll Determine How Adventurous Your Taste Buds Are",https://news.google.com/rss/articles/CBMiakFVX3lxTFBTWWJBbnhpaUdIblk2WmRHMUIyV242MGJNR3p2Rzc1ZEhVWXhXV1NQRHV0aHFseDJvOENqS1dndzA3NXRXQ3c1Y2ZleEhLUnM2cVE2VURXdC1HdU9mOUNHNmZNeU1sWUpFN0E?oc=5,BuzzFeed
1,2026-06-23,"Alphabet losing AI talent is just 'noise, not thesis changing,' Jefferies says (GOOG:NASDAQ)",https://news.google.com/rss/articles/CBMisgFBVV95cUxPdW9leEV2UVg5OWRzMGwwYy1rYTh6dUNHN0NBaUJnUHpqMFdqelZpOC1RV0paTURWTDk0dzJpTnMzV1ctNTBxYnU0TmhWQm5UQkFfMmRFRDJnelIxeFBicUgzNmJpSElqRWFHZ3dlZDN2QXd4VUxCQzdjcW9yWl9hU2tOdWRvekdkN1c5SFJxbzhHbDNPV0xCbmJaekhab0xBSUxhVl9hNWY3aTJvRGdsRENn?oc=5,Seeking Alpha
2,2026-06-23,Alphabet Investors Flood Options Market for Lottery Tickets as Sentiment Sours: Options Chatter,https://news.google.com/rss/articles/CBMixAFBVV95cUxOZzRQeXdMc2RDMTVxOHZFd2J5eHJYRU9tSXNNcHRqM2hiVmNVeEo3Y0JYZURxRDRzb2dCXy1QdFBGSVFoY3NNaWJwdXdtdDN2TW1ONEUwcVF3UHVWdkJBV0hCZ3luQ2FhaHdBSnkzSkVnSC1PT3FNc2hCMWtrRl9lYUVHR25IUDdRZnpBRUlIT3FIUGcyYnJkbWtiMHpYbEM4XzBkQ2lVMDhlV3VQVjlCZFU2NE9fa0x6RjM0MWFRM3pxZjVq?oc=5,Moomoo
3,2026-06-23,"Google Cloud, a subsidiary of Alphabet Inc. (GOOGL.US), has expanded its collaboration with Nokia (NOK.US) to embed AI agents into network operations systems.",https://news.google.com/rss/articles/CBMipwFBVV95cUxNS01GRGM4ZmJKbktheEVfV3BwSF9wYVB4cFZUaFp6elJ3a3hIWWtfZXZqTGtRLXNaRG94dXU4T1o2ckNiOEJ1WUNyLUdwbTcxVFkxVllQRjlHczV4Y2l5TFlGRHlObjVnMl9YSnlQNERmaV9pRzJPR3RyZ1BNblRBc01xT1hXUm16dVRITGdXN25yLVVuak5ieTR0Z2JRanNMNllvelF0UQ?oc=5,Moomoo
4,2026-06-23,UBS Airbag Autocallable Notes Linked to Alphabet (NASDAQ: AMUB),https://news.google.com/rss/articles/CBMinAFBVV95cUxQQk92ZHlYZmVOdFZMVjR4TW5IR1cxcEZlVzBSMVZoNFhuOHdWQnMxS1ZMMnpHTDNUejNfVER2akc2WmcycVdnQ0ZURVNGRERsSXMwUW5KUUFZV1BlRUVGNjN0ZXlVZ0t2RC10aTF3TzVvcExJN3BTNDNRbUZyWTN6UlRZNjBLdl9NT2VZblNsa2w0Y0tnWjlncjVKMVc?oc=5,Stock Titan
5,2026-06-23,What's Going on with Alphabet Stock Tuesday,https://news.google.com/rss/articles/CBMiiAFBVV95cUxOcGgyRzM0aElabExGampzS1MyWnh4Qzc0RWJpV3k1M0VuOHY2ZUhBT1FzQ0IwMHBQRE81Z2lHRlRvUDdCUkw4U0E0R0NWV0RGNjVXdVE1T2ZIdUNnVGVibkF5aDlxZTVTYlg5dFl6UFhOT1llMzkwYXpxa3dGUWxJTmg0bHpUOXh2?oc=5,GuruFocus
6,2026-06-23,A To Z: 2026 World Cup Goalscorers Complete Alphabet,https://news.google.com/rss/articles/CBMif0FVX3lxTFA1RTM4VUxudXRBTER6eHEzaWdyc010LVhXbEFHN0lkNVc5OVBSRnN5WlVMTV9xYUZ3VDVCWVY1bS13WnVtUzYybWU2M2VsZEpsTC0wekFFQW5LSjg2VEdTcGs2Rk5zbmNYemd0YURUWUpCbS1iSGRULUlIaFFOSWvSAX9BVV95cUxOSXRIeTc1LVF2WHVXdHJFRHN2SjJYTFBLY3NEMFNnZ0RwdjZJQXN6bktlNTZtX2FOeDl1eENmZU43cnRBWlZFelI3WjBKTkpLVXNMMTVRd25yRC1McHhCZmEydDl2SzJZdURnbzBISnZzcUtkMzRJLWpGT2hWOVg4?oc=5,FOX Sports
7,2026-06-23,Alphabet Slides as AI Talent Departures Raise Investor Concerns,https://news.google.com/rss/articles/CBMiogFBVV95cUxOdDRtY2pib3NkazZIWXp3SGJ4ckhzSzBTRkE1QUJkZlF3cUF2bGp0MTlFWW5jZFY3SU16RzRhY0pzU08wSzMzVDNpd0hjSk1CaXNYQ0trTXBhLVRPTUlwSnpJOU9UX2JyUU4weExSbTJNTFo4cjF6SktJdHlta3pWczRuUG1zeGg3bERsTzUtdG53LUdGbHBpd3J5RGRKNXYycmc?oc=5,Yahoo Finance
8,2026-06-23,Tech stocks tumble for a second day. Here's what's behind the selloff.,https://news.google.com/rss/articles/CBMikwFBVV95cUxQRy1Bc1RLNEo2NzhVSl9sOFhWTjhkeEVpM3liUmhIdjIzRnJIXzY4bUYxUHV6dXlkNUdPd2FmQlNkaWJCWXdmdWE1N1JWX3FjY0p5Rl9id3pqWnhoVW9lcG5jVE8wREh3bkpOWnRIbW9TN1Y3VnJ0REhpMzZHOXk4dWltUVgwenRtS1Noc1V0Q1VUc00?oc=5,CBS News
9,2026-06-23,Alphabet Rides on Accelerating AI Infrastructure Demand: What's Ahead?,https://news.google.com/rss/articles/CBMiwgFBVV95cUxOVFJTUXA5Q3o1WUJlamxJSlV6WFRfdi1Ka0ozU2NQTGMtbmxSQXJORURhZkoyM1M0ZHRSek1JODZCa3Q0NjNmQjdJNllLa3hYMDRqTGZTR3J4aUMxSW9lZFN2ak9FZEdMQ005UHhMZTNBQjhNdHpjdTNFNkE5MGo2T2JxZjZyUExibUR3cEdWbkZ3ZTJCMTA2OXlxNFc2bFVmUDlOS2dOQUh5TlY0SDZmZzAyZTcwTW5aeU44VHBIMG5DUQ?oc=5,TradingView
10,2026-06-23,Jim Cramer Wonders How Many Times Alphabet (GOOG) Has Announced NVIDIA Chip Competitors,https://news.google.com/rss/articles/CBMimgFBVV95cUxNN0NZWW50QnFFaHpjaFcwanBuNlJkWWdPTXc3dTZaeEVFTGtyZ3VHV3k2ZWYtV2VUN2lYX0JTTElETzkzdFJ0ckpIeGpvTTZ0VGhrZl9pY3R1MnZVQ1BGSTJkT3VVVk54aGFoX1EydmltVFViXzRoSXkyTDJWazExb0Z6d3E0OV9xQkI5UUhXR09sM1dERWdOMGdB?oc=5,Yahoo Finance
