,date,title,url,domain
0,2026-06-21,Forget Ads: Alphabet’s CEO Says This Is Now the Biggest Growth Driver,https://news.google.com/rss/articles/CBMilwFBVV95cUxQV2ZnX21Sc1lEb05ZdWNfR0EwMEx3S2VRYXp1clhfbTlCclF1NUhPOTllSG42anhfMndLWEM3amtpTUxQTGMxQlRQS1locG85UWJGM1NYZURTbzVpU2E1QzBjRkxoZ0R2MUhIcUJyRE1EeURMTHpXWVVrLWprYWY0azJYYl9aSk9XQ2tmM1IxN2pNRDhKR2lr?oc=5,Yahoo Finance
1,2026-06-21,Where Will Alphabet Stock Be in 5 Years?,https://news.google.com/rss/articles/CBMiigFBVV95cUxNdk81VnlVc0VyT0k3bDROalZMMFN0c3ExRnUzdkplZkdUM2NkQnlSNUNxQllpZ2x4amdjRzNKVHNGRGJFNWRQM1NQWmhsR1BybGpGX3BmV0pXMEYtZjBzMm9yanJYdFpPQ3VValNLWUJXbFlMN0FBOUxhcThtLU00Y202T1lBZW1laFE?oc=5,The Motley Fool
2,2026-06-21,Berkshire Hathaway's Greg Abel Dumps Amazon and Loads Up on Alphabet. Is It the Better Buy?,https://news.google.com/rss/articles/CBMiogFBVV95cUxNaC1iOG9rU1lEd3hYeWpkd3kzdUUyUDFQLU5FSGZMTWZ6VEpWUWxWNHpRZ0IyVlJGMngxb1BEcDNCcnVWTFlDV2VlSTRfZURVLWxhNWtjdk5FcWxfUzNnMnB5N1phaUU5dmpUTHBXMWJ5YU5sRk9UWFNFLWRLLWR5UmlTVl95dkVaa1RTd1FNVTBoM2dydWM3aUNrSXRpWVBocmc?oc=5,Yahoo Finance
3,2026-06-20,Alphabet: Why I Am Diluting My Largest Position (Rating Downgrade),https://news.google.com/rss/articles/CBMikAFBVV95cUxPeEV5emlXSUd6bnZoR0h6eTNQam5CU0lZYXlKZWlPcXZkNjdyQkJWM3B4akp6XzFBN2w3blp5UExGc1B0bnNKZ1ljVWdzYXAzajF0ejN3WHZBNllHRXpGU2VjcU5iV1E3OFJfaGlPUXBRMzdtblZBbkhiWEx6SThsai00cVY0QS13NnZUbnFRWng?oc=5,Seeking Alpha
4,2026-06-20,Google Losing Top AI Executive Is 'The Most Significant AI Talent Move of the Year.' Is It Time to Sell Alphabet Stock?,https://news.google.com/rss/articles/CBMi8AFBVV95cUxQbmVHang4VjdoVXZ6M25lYkxBTk9YVDJxVVVvY0doZ2x1TkM0N2hlaVIzUi1kSzR3UWVEVkdaRjZSNGREYk9WZGJ6Um0zTjRjYjdXVllDZ0ctZE82ZnZlTEYzUFZYeFVNbDY5VHFob21uWDdWZFJZZVhNd0NuSmRpMEFmem51YU12M01YbUhMQmJTQnM4RXlDTVFJOXBuRU9uMnYzTGtkUEhHTS1QSEVMYnBmM1d6Q2hMc2kxLXgtYjJnaUdxOEM2NVoyZkh4QnM5M1h2TWVFcXd1blFWQVRFeWtWU0x5MmtzdjZVRjNyZHA?oc=5,24/7 Wall St.
5,2026-06-20,"Nvidia or Alphabet: Billionaire Daniel Loeb Scoops Up One AI Stock, Abandons the Other",https://news.google.com/rss/articles/CBMitAFBVV95cUxNLVJleUx4aHVzWVUxd0h0Y3NFdDhDZ3JmTFlMQzh4SUptbGFXSkRNMFFydzU5eldJSmxDNTJpMkdOWEdxRTNBcTdrYjNzeWw1a3NKZEg1NnROWlhPSVM5YlJma1J0cC1fZy1WWWpfMTdBVU5pc0JmX1l6NXZCb0ZLV1JLeE1KcTNmN3BKbC1aTW5fSjBoMWpNMzJGMmJNWTVmY0pNX0s3cTdTSUpqUzJfMEZmOG8?oc=5,TipRanks
6,2026-06-20,Alphabet (GOOGL) Stock After 121% Year Gain Is There Still Value Here,https://news.google.com/rss/articles/CBMiwwFBVV95cUxOYmVjaDRkT2pRM1lJa0xuc2dEZXA2QUJHbm9pOEtLQUpJbmFvUDZrTDZ2NXFfLW1BVDZxY3htaEpZNnBpQXB0QWdUTndBNUtoTHduZ09JWVpaOWNiS1lhcU93NmhWSUhWT0QtYXl0a2U0d3VxajJSaEhMWlZ6N2NJQmRhLUxYUVJkYzBObXVFS2VqbEQ2ZXE0VmMwcWIyUm41a2MybnAzNmlSN1JaNDAtT0s0eUcwTEllTndfNDluXzRDRjDSAcgBQVVfeXFMTTFkY2JFZVFpdVpfUDNhWEhrU3VwLV9ORzJNV0pSSzhSYzVnaWl2Q05HR3lzdFRvTmlVY3lDYzUzOEo0VkVsMlN4em9WQTBQVjdGUFZkUXRFUURaVjV4cWpraTYyVEk2M3pQTkpUUzMxNkx2eHF5MGdlc3dRNUozZlZoUS1zTDZERGpORGxpZDZ6MHhfdi1FZVB0SkNMZlYwY1VUdElvWmJ6YjEzamRIRE5idTltZUZOdXQ5WmFBUkNmR0VRZmdjUjY?oc=5,simplywall.st
7,2026-06-20,This Metric From Google Cloud Proves Its $185 Billion in Capital Spending This Year Is Worth It,https://news.google.com/rss/articles/CBMimAFBVV95cUxPczVqYkF0R3l4Y1VSWUdkT2lfOGNVYnpqeG94TXRUcklVNnlWX19LNG1GbWNtWHdQZjdrcThBTXlFaEpsa0hWWEcxVEZZckZIQWpNT0FtcFQwWmlmOGc1em1hVjE2NThJQ1pNeDQ4WTZrTjZDWVRKRUROQXR3elZaRnlNd21KMjN5VmU0dmhNV0g3dmlJMlczVg?oc=5,The Motley Fool
8,2026-06-20,Key facts: Alphabet starts AI chip unit; merges teams; meets UAE rules,https://news.google.com/rss/articles/CBMiyAFBVV95cUxQWmdid2Q5MjczaktYYWxEWVN4UTZGUXk0S1ppcTMwR2J0ZUdXNXpsenRIWDFjem84U05HaGI1YzZjRmpZY2hEQl9Jc0F5N2Y0SnpfcHBWc19DUlRnQl9VTEdDcmRMYW1KWjJzM3kwaFhnWVZNUm1aUmJDekRhS3pRVHpkeF9USVZ0N29Kc1R1b2h5R19rZFFDWmI4dVBnVVkwUVhFcmF3LUZGbnc2SGFaVlJ5aDd0aWx1M09fQ3ZqRmxkX0p6dmdNSw?oc=5,TradingView
9,2026-06-19,Google Has The Best Problem Money Can’t Quite Buy,https://news.google.com/rss/articles/CBMirwFBVV95cUxPYlVzbERsYkFONlNEWmVDRkp6a2N1LVY3M2lmWTFaVGl6ZkhZLVlWeEdkNWhNY1hHRVUzVnVrV0FSMGtneVlISEtyMFM3MnlhdUlRSjM2dUpfVDNKRDlYZ1JpLVhlSGxYZGZGR0tVX09rd003YWozUEFJai1VNllXdnA4cG5Sb0RPQ01aMXFIMXBLbVc4VzRFTUdVVVBNQWtjRS1LVlhEUDNoUVNBTE1J?oc=5,Trefis
10,2026-06-19,Alphabet: Google Cloud Is Outperforming Azure And AWS; $462 Billion Backlog Requires More AI Investments,https://news.google.com/rss/articles/CBMi0AFBVV95cUxQMkJEejlEUFo5cTl3RTlYWGtJd3MyZk9reHo1YXNxTkxtdUFtWVZMaVR1S0xKT2U2SXd6R082eE5zS0NHNm9mdWd2Q2N5a0p0SWVaTWxIUmpCZ0JmTmlmU0dnZEpjWE9ydWNmMXRmTzJ4V09OT0x4YW1pb28tOTVVUUlPM2p3ckdLX1NwUnZqX0o4NEN2YTdVQkdGLVdsSVI4b1RFRGVKMlA2bWFiemlZR2x6YW9hLURkb0tJcEVfSmZ6WTFncDBBUm5Yc0Q5UXRM?oc=5,Seeking Alpha
11,2026-06-19,Alphabet Stock (GOOGL) Opinions on AI Capital Raise,https://news.google.com/rss/articles/CBMikgFBVV95cUxNSWYyOFFSN25iSjlEc3BnaTBpVTI3MnF4TmJKWHZ0V3l6bEo1SUJQOGNQYV9zVlE2amZwbzlQc3JzMDVvNzZXWjQxdXRXSUQtbnFRSUFoRXFBSk1mYmQ2RG9vdjVNcVpHUUpUTGVtanFXSmdZOGczbFFfcU5aWldIWkpyZ3JtTjdvbHdVcl96MUc5Zw?oc=5,Quiver Quantitative
12,2026-06-19,Here is What to Know Beyond Why Alphabet Inc. (GOOG) is a Trending Stock,https://news.google.com/rss/articles/CBMimAFBVV95cUxQOUpkMU5KY0lKVzgwNTJOd0Q4TGhicFVZbXlmLW9uTzh1SW8tMFBSZVUyd21fUXJ2dTE2MmxmQ2tJTmxrdWRpV2JObURoa0ZQNmRMRTNZQmZnUkRrZjFxaEtXYzJZU3Vyb3Q5V0FmVlhkNTd2blNCdW55N0MwSFVLMUl6U2VVR25ZZlBCNnJwbi13VE5OLTZjaw?oc=5,Yahoo Finance
