,date,title,url,domain
0,2026-06-23,It Was the First Unionized Apple Store in the U.S. Apple Just Closed It.,https://news.google.com/rss/articles/CBMif0FVX3lxTE1Hb0hLVkpKYUpkQ0lVYXpoZWcyQU1ja044ejRjVC1RalpQcmJPQmg3ZVQyV2Q2NTB6RkZOQ21rd2o4U2RqMU40Y3RHdjhwbW9wVGpySDFBLUlSbDZfN2ZaNlppUXJlTWp1amtLUUhzVmVWZFJlU3lhb1FCWDVpTWc?oc=5,The New York Times
1,2026-06-23,Apple is doomed just as everyone is loving iOS 27,https://news.google.com/rss/articles/CBMikwFBVV95cUxPVmRKcGM4VzJ5YjB4WENtSzBlUUp5TGhNRGlGdHUwaU5nT3M1UVFoMlNnNFU2dHF6aW1zbEYxeGJTLXNOTlRyRV9IUjBnb0NXWEZEMlNFYUZId1BnSC1tNzFBTXg4TWlqb3RCSmpmUmRQNGdxQUlEZnlZeVMxVUJVN3JPRVFBVVRwa3NpblJaTURwY1E?oc=5,Macworld
2,2026-06-23,"Save Up to 50% on Apple, Samsung, More With Massive Prime Day Tablet Deals",https://news.google.com/rss/articles/CBMie0FVX3lxTE1lUHBENzdqdG10LUN6d044Q2E1VkVZaFF5b2dKeHR2RktSVjFoblJ5ODEtdmJNUmhzUm01ZVE0cDZoQzVZaWR2SnFwVExJZGNUR1NzZHktaHhhaEpHR1ZaVy1SblBpOWtUYUQyQWliUnM0clFtdUE3ZXRkbw?oc=5,PCMag
3,2026-06-23,Jim Cramer Discusses President Trump’s Big Announcement For Apple (AAPL),https://news.google.com/rss/articles/CBMiowFBVV95cUxPUTdtVmViMHNlcEo4VkVjSGpESzEyeFJtZG5yT3BZVi1OV0xqWEM1eklNLXdONnZlT3E4SjhPV2tZU2NlUVhCcnI5TmZhRlc4YUI3Z2JLUWFSaTUzZ2pQS28ybXYzUmxkcjMzNTdxNXd1ZmRESTRNODZPeHliZEp6WERiUEpmNDF0VVhlSXZKU002bUpseHR6S0h1Q2VDMTgxQ1dB?oc=5,Yahoo Finance
4,2026-06-23,"New Exploit Bypasses Apple’s Boot Defenses, Affects Millions of iPhones",https://news.google.com/rss/articles/CBMixwFBVV95cUxQaVlfem95STk5MXNkLWhDVnZYVkN2aG56Q0VudWpvSXhBb2RTU2h0SDJYOC1hLTNDRG4zZS1ISGhwRTlpcjhISjVtWGZYamFxaUtwbDJDd3VQaU9wcG9kX1FjMlhkZUI4RjdKUWtScmVZMHl4bG5ET01VTHk3ZWJla08tMFh6TXdSUW9talVUZGFwbTE3UTFlbS1qR2VQdzdzZEVWbjdJZWRSMk5PTmF5Qm5SNzJ4cGFFSG5iMVVwV1lzWUpwNHNj?oc=5,Homeland Security Today
5,2026-06-23,"Apple's Foldable iPhone Could Lose Almost $1,300 in Value in First Year, Study Suggests",https://news.google.com/rss/articles/CBMiiwFBVV95cUxNT2pHZUl0NEdRSXFaVlhCWDZLQnl5NG9uSG1PQ3pnSUt1WTVKWHVIcUZDa2tvaHh0Ny1zbWRDRkZ0YXVjYlJGZGExaHltZHlCOUZIV0JkVjlTZ0dDR204VU5oZ0ZiUEVsd1g0VERiMkpTMHBLYmR3S0lWdWowY2JNOWJEZUFyNHVXSjhn?oc=5,MacRumors
6,2026-06-23,How To Get The Most Out Of Your Apple TV+ Subscription,https://news.google.com/rss/articles/CBMihwFBVV95cUxNQl9zVXJ2T21lcDBLckxYbG5PLXpMNTRkQXRiNXF4T0V5UEIzRVUzZUZOZVdFUEhYYmVjVkh6WkpnLWEyR3RmaUVpT3Q2d3dfTTNOajZGbjNkNTBLMHpyTHJBOGtLaS1zOVY1aVRWd09paG8zUFJocU94Q0U3dTZ5WFZoZkVWaUU?oc=5,Engadget
7,2026-06-23,New Apple TV comedy sees injured tennis star grudgingly embrace pickleball,https://news.google.com/rss/articles/CBMiqgFBVV95cUxQdXduaExxN0k2cG9tYld3eWJCaWFxcXRtZHlMMVBxb2syX2dIWHl0NlBROGkxOExiUFZFeEgwMHE3akZyVkJ4eUtTUTdDYWhyUnM1aG9WczFkR2dMMWdPYTZ3ODlNTWx5WTR5OXFTQjU3WFJEdzVMbmJRaDRkbmJUbkVhX2lWNmlhSEJmTGY0aVprUmk0bDBHWHF4SzZwWnFxdkZkWWlzRUpodw?oc=5,9to5Mac
8,2026-06-23,Why Apple’s foldable iPhone could plummet in value,https://news.google.com/rss/articles/CBMigAFBVV95cUxPQ25vVEJFQXhUVDRETm1sM2stTVo3SF93alEydnctTnZSRl9vMk4xblBrUHN1UlRXSjZBYVEtRjI5QXltZUItUF9uVVZMQ3Rwc2E0MENYd2k4bHZtR2xoMWc1aWpjSGkyNnJ5R3FEcloyX3Rxb1Y2Zlg2c0tTZHdraQ?oc=5,Cult of Mac
9,2026-06-23,CPI | Developers Urge Antitrust Review of Apple’s App Store Practices,https://news.google.com/rss/articles/CBMinAFBVV95cUxOS3pDVDR3bTZpLUhkd3ByWjUxWVdiMERQd3JsQU5WYkdhd1FlNTVNSGRtV3BfaHhvTFBERWFBLXJWaDYxekt2T3hZOG9MTzdENFdBMW8ycm1IWXEyS3JYWldVNDc5b1l2c0hfYkRsY0pYQjlrNkpyX0Q1MWFsUWZJRVFWOEk4Um5pa3ZpN1NaakxQc01MYWJfVFRoOGI?oc=5,PYMNTS.com
10,2026-06-23,"The best deals on noise-cancelling headphones for Prime Day — shop Apple, Sony, and Bose",https://news.google.com/rss/articles/CBMihgFBVV95cUxOVVA1NmRIZV9mVHBKVG5QbFVTVzBQRHlnN0o2UmlXUVRsLWJpMkQ5ak9zRHhoMnRfeEw2cjVZWkNKV1E2VDlaWVVlWmE3ZVdhbXRsNVBGNHo5bDFodThOUGMwV19tb0FhX1llcGp0a0xmY01oVlE5MUF5N29jTnd6d25kOGR0Zw?oc=5,Mashable
11,2026-06-23,"tvOS 27 beta code references Siri AI for HomePod, Apple TV",https://news.google.com/rss/articles/CBMikwFBVV95cUxNTmxCOTNfWFhpNVF2SE8wVVhzUzhfUWFTRHFnaGFfOXN4NzZFdDNTcTRHeDNnbHdidzVtTnh0Rnp0NDFIYUg3ZnVhaDkwY3Y1TC1rdkNoZHdRMUNTYjB4SlM1bG1UUlYxZlpZT3NOcTlqTnNJWktkTXRfQjBabGpLRkVLM1RGXzhZZ0E2NmNnRmhBaFE?oc=5,9to5Mac
12,2026-06-23,Caught in the iCloud: Apple trial set in the UK,https://news.google.com/rss/articles/CBMingFBVV95cUxNZTlBNFBSWGx4T3NHZXJiXzRkSzAxZHM5UjcwWkhFcDdfR3V5QzZ3OWlZMFFId2ZXd2htdmk5VXFteF9WbnllbTk0M1hUVXczRE55VmgySjBzM2xxMUY3WTVkcnpoTFlzN3NhQU9WSkRhUTJXMEEzNUFVWlVfNzB1NG5WTnN3UWNrM1BzMWM1WGdmMS1MeDdGR00yazlMUQ?oc=5,Computerworld
13,2026-06-23,Stop scrolling—this Apple iPad Prime Day deal is under $300,https://news.google.com/rss/articles/CBMipAFBVV95cUxQY19ac2ZTUE1xSTFDY2hNVTVicnA5STF6SkxmWTUwRXNEUTNMbmN5cDFockRaT3Z6blA4a1RlaWYtUUdsT1VrUUF1UXRMQnI3cXRMbkRnb2FicEZXNzJTdXZoVm9kaW1NbW83c1A1cW0zU0psVjNad05Tcl8wXzI5dHFDazVkU2xtWFhsTFBHVkdwajBTQzJkaFlPenJlaUhCREFTUg?oc=5,USA Today
14,2026-06-23,New Apple AirTags are finally on sale at Amazon — save $10 on Prime Day,https://news.google.com/rss/articles/CBMidkFVX3lxTE9TMUVZSWZvNlBTTXRubmtBczBkdG9qR3U0cU5IUFVhOEFjcHJJYUxkQ0RHZ2JZbDZyRmFDUFJSNm5OWVJEZS1pdlJJVUZDdXJ3dEZ4dkxmdmYxWTNQQU93Y3pkTGpBMUV3LWFVcVZkWjRoSDF0elE?oc=5,Mashable
15,2026-06-23,tvOS 27 beta code backs up HomePod and Apple TV Siri AI rumors,https://news.google.com/rss/articles/CBMiqAFBVV95cUxOVnNQN2RRaFNqcWVPdGN2MXVyMnI2ODluY21nT0YxSFh1Ml9mcXFxVHdxNm1adWpyaWtwVkRmNU1QSXpSRW9obVVSNDZ3eVh4UF9jeUVjbkxnWjJGMHVjcGdXVVFNQ0JVMEgzNjZmdjctNFZmWDFoSk5HRk52RHRYdmY4QmpwMHYzanJaWEptMm9YSHZLSnkzLWZfRFVPbDBHbXF6ZzRWdVM?oc=5,AppleInsider
16,2026-06-23,Apple's Reality Composer Pro 3 uses code from a dead game engine,https://news.google.com/rss/articles/CBMiqgFBVV95cUxOSHNlaGE1WE5ua3ozSHlEWjlQd3JjeWgwZXVnbUtRa3hGZkZINVBsTDhPQ2c2YmVyNW1fN01VZ2hfMUhxUVRQdlZLMUxvWXN4N2hNWjZCRHR5TVo4bkFfenFvUG1JdEZITGQzdGZiZlhfYTVFSHZZWTRoT2oxaWVPc2pfeWVpZldZUEw0alhJYklQQnZBT2xuSFlGZWduVUdGTmV1TDZpNTdvQQ?oc=5,AppleInsider
17,2026-06-23,How Apple Watch is enhancing pro surfing for athletes with real-time data and scoring,https://news.google.com/rss/articles/CBMiuAFBVV95cUxPd3I4WTVxNUZxVUloNFdYd1dqdTAxV0hsT2xBQ01GUmFhNDFkSEstRHp2TVNSQnFjNkIwZWRPRk1EcXE1eEFZN2xxbkVGVDRSMDFBc2pZbzFhR0tnc1JFZFhYcEZNNllwM1cxVS0wVVVCdDRqb3NIa2tNeEVLd2FaVTF3NUV2UDNuXzRMUkJnaXNiMXM5TXF5c1g4WTZpU25CNGNYaGZOMktKUGtmeTRGbG1JUVcxazZT?oc=5,9to5Mac
18,2026-06-23,Author says universal child care should be as American as apple pie. And here’s why.,https://news.google.com/rss/articles/CBMigAFBVV95cUxNcEVRTW9QYVZ0a1hvOXhDNzYxMUtOSTVkVjhUeFl2d29fVjRIMWVEcVcxdkE1Y2Z0ZUdZOWFPNEJzcGNXYkZiNks1VU93ZXlfeXIyLTh6X2xKdW5tbGlYOEhiVWpVWDQzSEdNUDRwVjctU3gtSkc0M1N6QktyRGlVcQ?oc=5,Colorado Public Radio
19,2026-06-23,At the Races: Big Apple dreams,https://news.google.com/rss/articles/CBMiW0FVX3lxTFBqUEg2U0xfd1pfMDhyenY1VTNtMFF5OG13WVZFQzVRY3lEb0t6N0JPanlsQVhnZXBpY0FCUlNqUUNzd2pxYXZKckw5cEs3Si1oZkxYOHh0WkR6VXc?oc=5,Roll Call
20,2026-06-23,Apple Seeds watchOS 27 Beta 2 to Developers,https://news.google.com/rss/articles/CBMiiAFBVV95cUxNSXBPeHRWckJZcDJOVGNQNk1UT0xxTEJBblYzaW81dDFOazN4YTR3Nm5VaHF6RVRsLTFDSGFOdDRQZjN4N2tNRkx5eEFDREhHbjk1bXpqWWZKLUxtVE0zcVZZekx2TlJ1amZyX3lmanJYSGtJTlpFQU5qbEU5RE5UemVMTHJid1Fh?oc=5,MacRumors
21,2026-06-23,21+ actually good Apple deals happening right now,https://news.google.com/rss/articles/CBMijAFBVV95cUxOSTRVRVktbjVjYXJ0R0ZiR1REZ0E5cTdnQWFtZEFVYWFPSUt2aGYzcHM3Wjh1WkFXME40TV9Fejl4U1pWeTd4bDRPOWFLOVNWUlR1eUVmcWJfMFgxTVZIcHJ1ZlkyMkRtNEs0Q082R2w0NkJPQ1NHLUtVWGMteHNKdkhGMGdLN0FIMXpkWg?oc=5,NBC News
22,2026-06-23,Meta Launches Its Own $299 Smart Glasses Ahead of Apple's Debut,https://news.google.com/rss/articles/CBMigwFBVV95cUxQbFpycGE5Um1pRHNhSVlqV2FUTWU1bmY0UGk2VlBPODVaSnJOMHRZbG5vR3pzd000WEhUcmh0aXpsa3QtaGZqcURRNDd0MTdfNmlZU3o1S2ZHNHQ3b1VWRzR2dnlxYUtMcnFCZkY2VzBlVTlkNFVpUTBqVTZqRy1UczFvbw?oc=5,MacRumors
23,2026-06-23,"Prime Day Apple deals are hot this week: Save up to 32% on AirPods, iPads, MacBooks and more",https://news.google.com/rss/articles/CBMi6gFBVV95cUxPLUljdGhFQktTZmJCXzBERVUtZ1J5WGVBelVjQWxKQUduN05IOWZKUjEyWWhUOXJsdjNrdkNjSXhHTTFfRGV6VURxaUFUZ05aLVJ4RnlLZlRpWXUzSm1RdHVnTzQ1MzI3NFNVZE1FRkFTVjdtUkt5XzRNX0R5V29MTzd3TU9UejlSUm1Ma2hlb2ZkRmVDVkl0RTV6Z2R5X2x2UzJGbUZHNGx1TWsyQ2F6VThQcXNoTExRWl9QNlphQlp2QjZEYjZtWGJlOWRsZmR2Wm55bnZnWUxqdWxxWmFQMTNpcHNNTHE2Vnc?oc=5,Yahoo Tech
24,2026-06-23,McDonald's Fried Apple Pie returns after 30 years! Where to get one,https://news.google.com/rss/articles/CBMitwFBVV95cUxQTThDNlJnMlFjX1AxWXZRTWhDNHVIRm9EbHlhTi1uenpJN21XWTloWWRQX1hvZVFHSGZudHNkcWRUNk9OcnpyNFRUcVNvSTJVSDQzNk8xWG14UkJJejZKRlo4dnViUmRNTUZFaXFqVVBvb1NsMmF0SmF6bDhINDVUVDE2SmtidFB3MF85TDM3SWs0dFB5WEpZZHBZWXk5V0JZRDNlX3hXa2M4TmIxeTYyWXVjemphTkU?oc=5,Cincinnati Enquirer
25,2026-06-23,watchOS 27 developer beta 2 now available,https://news.google.com/rss/articles/CBMilwFBVV95cUxQNGc3ZmliWjlHVWF6aHZJcnJpT0VkM1A3OW9FN1ZBdVBZaGJvb3Z6NUh0OTJ6VEFnSVlWZ2hvMHBjMzVuVXJLcFdKVjVOQnlTOWFXNjBJc1FESVdRQ3J4cTlSRFJid2toMkhjOXctOE1aM1BISk1EQUo0Qk5KLUUxYThIdTdkUDRkaFFWbjZOYW1GdnNhc3JJ?oc=5,AppleInsider
