,date,title,url,domain
0,2026-06-23,"Stocks to Watch: Intel, Micron, SpaceX, Oracle",https://news.google.com/rss/articles/CBMi4wFBVV95cUxQZGxPWFNTQ0ZFUjduTGl1T09VYjV6RktMNUdsaFhiVnE5MDR3QjBSc1UwQktNaHdzLVFBRUE0eGt6N0tPVVpmaXozRm1ndktuQTllcVZXTmV3dERYeUdGZ3VtNVVoM0p1T2V5ZWNBUU4wbmR5YkRvdWZYd3JRTVdPRmwtQ25rZ0VXVUlRWmxmWV82VHJDSUo0c1hwTVpUMUlEQVh0QXVZQnM0QVZLMFJQZXhLY2tKQXJfWXhQYlRYMkdkTHhPZ1lORHc5YVIzajFDN1BWNExKdXBNbVhmQ18wUEhsZw?oc=5,WSJ
1,2026-06-23,"2026 NBA Draft preview: Top picks, trade scenarios and Cavs intel for the 80th NBA Draft",https://news.google.com/rss/articles/CBMizAFBVV95cUxONXZabVQ0cjkyNVhXMWI0UFJsUVdKOGZESVV0U0ltNlRPSzVoLUhsMVFKRTJObGV6Q1NfckowbzZyWkhiVzlCWXRiQjRpQUkzSll5dHp2VjBqd1BGNHhNeVljNF9UdmFDZXNrZW1VUV9NY0c2eVJxWl9yWTBxaWlyMFE2SUI5NDY2X0ZFODBVa05sdEhRSlE1ZXRBNUYwUWZoR1VNdnVDWVJ5X01pLWxud2Fxb3lqS1ZqUHIxd25LUE9YVWY4UnpiUlZzam8?oc=5,Cleveland.com
2,2026-06-23,Jim Cramer Says “Intel’s Now My Favorite Stock in My Charitable Trust”,https://news.google.com/rss/articles/CBMisAFBVV95cUxPWmpYY2FJS1ZZX3NnTGdmbjJBNV84UlpiaUs3WFhKTW5YRjRVamRzejZzc0NpWDVwNXlzMzA4WVZUVWxVcXpYRHVHbFVWd2VzWjloODVoT0pGczFIMHk0UWlsUG9fZDlMLVNEcXJhY3N5UzA3ZXdoU3Nxd2xtVUhxdXpHeFZFRGQyZXZKLW45N0ZoUGw1a190V2VycVlWRlY0cngxVGxxMWcxRXRNeGExeNIBuAFBVV95cUxPaHFpYjRPRThvWWZDT25vZ0NWNGNVa0RYOWtybHVsOE9NeU13ZFlfakVDdzZOczBFVUktLVg0dUNURXVNQVhUMTZ5anBDQ2NEZ2VteVFmX25OSDZZSUswMWUyR3VKRGNBamY3TTVBb2ZwdzdPQ1BqOWp4UHZxbkItdWFkODdxWVdfTjhQb3VydzlPeng1Q3RsYjhZOHBLN1JNWWV1d1ZWUTVhVjZZM0pUaFR1NU1iT1ll?oc=5,Insider Monkey
3,2026-06-23,"Intel, Micron Among Winners as BofA Supercharges Semiconductor Outlook",https://news.google.com/rss/articles/CBMiyAFBVV95cUxNSkRCcnR0V1VWUjBUUUw1R091OGNzaDluVVR1cW5pNnNKdkVybkVoTlZzM0pCbi1fQVlMbk5FT0VtWFMxcmtqSFpYQTJXdWZDNkM2MGxoWVcxSG5UampKYXpGalFvSmQyQjNEMHFsWW8xZ3hHMUEzZ1ZJTXNoUjVGRlNXaVp2aXJkYzl0MU5uUkk3YllwMWtYaUVlbjB2SlQtYjEyaV9heDFvZnNjWGlYNjY1MkZtNERCTHIzeXNhTlpmSjRGaWIxVg?oc=5,TradingView
4,2026-06-23,"Ohio State QB commit leaves door open for UCLA – West Coast intel with decisions, flip buzz and leaders",https://news.google.com/rss/articles/CBMivgFBVV95cUxPajh6U0V1WjRnRm5fTjJCRW1QaS1qQjFhRzNsUGc3THVDeDRLWkY1VFVYUzM1TzF2R1l2T0FHM3pEdW8yN0xsZmpZYVFBaDBBMDlzcjZpSU1jWGs1N0hnUHloMjVyTVFMTTFYMmk3RXhaTDhFZEZpaWR6ZHBTVG9YYlNNMTV4dW4wNlB4UzdLRGZ6aWFlUEdPQjNvcFdNVHVxMWlyc3MxSjUxOVViQlJVMlphZ1RzMnEyUV9qUDdn?oc=5,On3
5,2026-06-23,"2026 NBA Draft intel: Latest buzz on Wizards' No. 1 pick, trade chatter and prospects rising late",https://news.google.com/rss/articles/CBMimwFBVV95cUxQQklPMFFFcTQ4VEtlaU9uanUzbzduQ0I3M3pPbl9MbkxQSDhRYkIxZ0xzZ1BFRG9QdndfOTdCRll3aDhPcEluOUUzU0R6eElCamd3TFNGcGd4X2VxNjhxOXpIMC1UVTlVbXdIUTFDUEFzVno4cE9Da1hmQzI0aVFuZTRKTnJKYm16YTV6dC1KSG40aUhhR3cwTVdKQQ?oc=5,CBS Sports
6,2026-06-23,Intel: The Three Things The Bulls And Bears Are Both Getting Wrong (NASDAQ:INTC),https://news.google.com/rss/articles/CBMiqgFBVV95cUxPLTlVejhQUUVGQ25aSzdoU2RzZWV2TENVa1ZhVE9jd0lpQmtxbFFlNG94WXlrSk5HZDdHQTc5TXRrSlJwcWVMdUZPZ0NJbFNNZWo3a1ZEWFJpUF9TRnNZU0l1LXlHM2V0a0F0dm4zVFRIZzBXRlgzZVdhVXBTLW5CVE1kOHlCQjNwVVBxSHBPWlhzd1FRVHNxOXAxQVVGNXk4NFNaLWktdEZHUQ?oc=5,Seeking Alpha
7,2026-06-23,"Stocks to Watch: Intel, Micron, SpaceX, Oracle -- WSJ",https://news.google.com/rss/articles/CBMikgFBVV95cUxPRUJ6SDhPcTJWMXRQTWFwXzJRR1hiMjJxZmlrNElsN0NWR2JRb0gyOW5YLUZQZUtDYnIyR2R2djF2QlVrcGZmTkNXWktMMlpJX0txV3RHYkV1Wk9QUVI5MjdNYmt3Ny0xVE13Nm1KZy1MMDFOajVGSVVHdnlVNlZGTkY0TjZIYzlteklZNHhjNUJBUQ?oc=5,Moomoo
8,2026-06-23,Insider Intel: The best tech era in F1? Sam Collins tells all,https://news.google.com/rss/articles/CBMiswFBVV95cUxNR2M3S0YxSWktYkltQ1JvLV9MVXZiYVZRSDA1RWh5X1k3MjBPVDNubTdkNFpaNXMxTF9zbldaVTIwdS1JMG5FNFhLT3I1cDZSTG1JY1N1QzVaNlktYkM0ZFpNQmtLeXdxRm5IbHJuVll3NFlYWmNFMlBxdE8yWU9ZSk5RSm1oWU1sWGJnTmFpY2lXMC1zazJjeWJEbmcyZk16bUlaQXJRS1NIcC05cG5rS09oQQ?oc=5,Formula 1
9,2026-06-23,"What to Watch for NBA Draft 2026: Latest Intel Around No. 1 Pick, Predicted Risers and Fallers",https://news.google.com/rss/articles/CBMirgFBVV95cUxOTFdRMEltMThGbEJIbXh4WUd6Ul9VYnJvckhVTmV2bGVvbFdTaG5CaXB6UzlPMzRPTkhreVNYNjN6SldOY3NUOWlpNzVxRTRJNWJ1RW5yakI1ZzBjeE1POVp1TXJrVHg2VjF4ZlIyTTNyVzR6VEs1eXM1TW1lSU5pMEJWenhoS2ktYlFlX0Q0SUZXVFBvbVl6QkF1aUQ2emREaU5Xa0hMSFZmdWUxQWc?oc=5,Sports Illustrated
