,date,title,url,domain
0,2026-06-20,Google Is Using Nvidia’s Playbook to Build a Rival AI Chip Business,https://news.google.com/rss/articles/CBMipgFBVV95cUxQUmFaN3pTeVAxSml4aXpYZlZMdi1tTGtkU3JncjZUR2h2a196eklrVWt1cklqTkh2bWh2VmNMZlgtTTlmZFFqS05rMlF1WG1mYnA4eVg3SGJDQWlDNVdnRDhQZ3dtd3FCMlZPckExSUVKRS1XU1JoQ1Awc3lxYkJkYkZodmJwM1NlcTJONnRHWjF3NmpBM2RFRUs5UkVROGdpd1hac2VR?oc=5,WSJ
1,2026-06-20,Prediction: This Will Be Nvidia's Stock Price in 2030,https://news.google.com/rss/articles/CBMimAFBVV95cUxPYUtZSjdOSHdWZnlVbWRzQTBVb0ZfWnpNbUpuN0JDR1B5TlA1VDlPOTBnak5OcmRKWjdiaXBmOGFrUXUwRFpQc3M5ZDZCYm1nSUMzWloydlpyb3dyTkl5c2ZNY3FxNkcyOE5ocWhMdWo4UF9fMmhxVmdKZjlfdXlKVzgxMElvTF8yQ1ptRDZjMlRNNVdZek1RXw?oc=5,The Motley Fool
2,2026-06-20,Agentic AI And The Next Layer Of The Trade: Beyond Nvidia,https://news.google.com/rss/articles/CBMirgFBVV95cUxNQnF5QTYzRERUYTB1MmprUGx2UkdhUlNYdkNnNU5zbkR5Z0FJaHp3QTVfNHI0aGNqZGFzV19fS3ViY1pHeDhseTlSVTVCazZ0V2NhVXhQYy1EOWhidUItT2Y1dy1LeDNaZE1wai1ITlplNVRTMVhXRVNPNTI3Mnc0SmJHN1lUZEkwQ1lWSmI3b2NzLXdSeWpkUFhaM2ZGTVlCMkh2UUo5Q01jbmcyM2c?oc=5,Forbes
3,2026-06-20,Key facts: NVIDIA speeds AI chip cycles; prices $25B bonds,https://news.google.com/rss/articles/CBMiuAFBVV95cUxPY3FENXZxRlVHaDE1ZGNSVE0tVmpabDlySDF0Q3MwOVlvSUlFSjBEb3BBZk43bFhQcTh2S1Vrb3JScGpNallMeDU5MlZCMjdzS0x1clpfRXpOd2JXT0FyOGI1UE1sNHFiWkVrbE1ndmswZGtqMVQ1WW5rVlZRZGZDd2I1N0JuU0ptQ2lsSV9KUHFudU1SbkxvUWFCREYtbVVscDcySXVtMnY3ZUxSX2J6WFRGQkhqQmFu?oc=5,TradingView
4,2026-06-20,"Nvidia RTX Spark platform is AI workhorse first, gamer's friend second",https://news.google.com/rss/articles/CBMic0FVX3lxTE9ienNpUG1fSHRDbjVPUEhWc3pNdXhqZnF6V1ZRcEM1RnJxNmlIMGFOV25fYzViRU8xWlQ5VHZIemlpQTBxV0tvR2xUc09wdWIxMnhJcjVqVWZDUlBVbWk0UjJYQno4ZXdNalF1Q0NUaVl4UEU?oc=5,New Atlas
5,2026-06-20,"Corning (GLW) Is Up 8.8% After AI Fiber Deals With Nvidia, Meta, Amazon - What's Changed",https://news.google.com/rss/articles/CBMiuwFBVV95cUxPQ3czOG9Hb2RqalcySjhHRm56ZzVhdjV4WWdEUVdGNV8wMTV2dWJ6eVl6NDFFTEdiVzRJT05uMkNGbjRuVXV5VzJuMlMyMFJULW1sTDRCY29YM3dvY29ZQzFFRk9aQUpObkU4Ynl3MWdPSk5xOUFkOC1TVVdSTjZhUGdiandxclRfLW1uaTRzNDFveG8yT3hHUGdQemE4QlE4MVJkcVVPYy0xZkw2d3NuVWwzeEFjUmpvMlpn0gHAAUFVX3lxTFBVbGRieFRieFIwTTJZWVVWWkZBYkFhYTk0ODB3YzMtdVVfOGZoWmhNWkxPTDJ1RldBd0s2MmNibzZJZ0ZvQ1FfMDdvaHhUUE11d0taSW1VbUctYVdEVGJ2MjhjNk5pNDRTZU90QTlEM2RCQTdTbEdpTnR2bkNSQXJkSnNCWmdIM2tvVEVidllnUzhRVC1fMHVYMXJnMUJuNVh1YjVnemphSHJlQWpodURCd3RmNG92X1M4SEdJMS1Ccw?oc=5,simplywall.st
6,2026-06-20,$SpaceX (SPCX.US)$$SpaceX (SPCX.US)$$NVIDIA (NVDA.US)$$Intel (INTC.US)$$Micron Technology (MU.US)$$Moderna (MRNA.US)$,https://news.google.com/rss/articles/CBMipwFBVV95cUxPcldyVTl4LS1UYWpNQ3ZkSFlxMnZqNlhGV1RzVkpYNEVwN05uM0tIVjZXdy1GTERWOUw1aFJuVUs1QmJBVFJ0cHptVkMtd3YwRzlnd25sVFVLNWw5T2poR2NFRk1hdEcwSXZBZllKLUJkSDJxSUo2V1NFbWZsWlFDa0xFRmw2ZlhWMjZwUWF6TjBhUWxWUUpFeVdDdzQzYWlOcU90ai1qcw?oc=5,Moomoo
7,2026-06-20,"NVIDIA JetPack 7.2 adds NemoClaw support, Yocto Project support, and AGX Orin 32GB Super Mode",https://news.google.com/rss/articles/CBMitwFBVV95cUxQc2J2VlVXVzhZbXM5OXdRLUF4clhiMmswcUJxc2pvb0ZDWk1tUGZnRHZ5Wkw4Mk8wTU0zWkp6cEZTOGhhendZdE43QWowY2ZoZURzb1JzX1U5MjhkdXVITFpOc3NwamVaMWtEcHhxelQ0SU1GUVpYekF0ZjdEaGlIM05CeUdzVlg4bDZEekcyZWpGQWhtTkhjdlExeEFYSkEyY3VWSmlveWxEUFV1UnI5cjhCQnJDTW8?oc=5,LinuxGizmos.com
8,2026-06-20,NVIDIA Open-Source Linux NVK Driver Gets Experimental DLSS Support,https://news.google.com/rss/articles/CBMiowFBVV95cUxOTUVDTG9LQi1pZUlnR2pRZWNleF82OXJMbF8yYkNtbFdfbDFEcnFCYVVZZVJBeWk2bEFYWEFSanBlV2wxeTB4N0YtMGhGcUFwU0hlSVl0ZFZTQ0JFSlY0cEVrdWNyd3RhUFo5UEpjdFdmZTdSenNMOHRraGpiYXV3Ynp6S29rMGtvZjBpaWhOdWEySXdVRkdsWmlHZDU3aXJzdWZv0gGoAUFVX3lxTE5ZbUFDUVR6OWZFYnBDZUY2cFFILUo3RDA0cllsLVpNTlVydk9iS1RMdi1kZkpKY19zZG4zdm5xTHE0N2NMUTh2UjF3NDhwUlUzc3JfRjZWUTVYWE1tb296eG1DVHE4cmtjZDRtNGhyQ1QyOWExMnhiX0JwVzV3QXZCd3JIUVM4V0hZMGlSczk0Zk5hUFpBV1R6bHZ2aENzSnU2b3hDcWRweA?oc=5,TechPowerUp
9,2026-06-20,NVIDIA Releases JetPack 7.2 with NemoClaw Support,https://news.google.com/rss/articles/CBMilAFBVV95cUxPMHMzTm5QLXR0NXk5c1Q5T1JzaDVxWXNjSnYzSkhrZmhBYzFWek5hcFBzYWNJbWlOeHIyNjFaS1RKWnRmaEU4ZW5MV0M3VXczUjBsbkltbzlKUW9DbW1pLWhMQ2MwbG10a3VmVU1CRjVWLWJKNkpqVlFza2tJM195VUVVWElodWRsQTJGQ3pFVV9JS2E1?oc=5,Let's Data Science
